t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.0,0.0,10
3,0.1,0.31622776601683794,10
4,0.3,0.48304589153964794,10
5,0.3,0.48304589153964794,10
6,0.5,0.5270462766947299,10
7,0.6,0.6992058987801011,10
8,0.9,0.8755950357709131,10
9,1.0,1.1547005383792515,10
10,1.3,1.4181364924121764,10
11,1.7,1.567021236472421,10
12,1.8,1.6865480854231356,10
13,1.8,1.5491933384829668,10
14,1.9,1.66332999331662,10
15,2.1,1.66332999331662,10
16,2.3,1.8287822299126937,10
17,2.4,1.9550504398153572,10
18,2.5,1.7159383568311668,10
19,2.8,1.8737959096740262,10
20,2.6,1.6465452046971292,10
21,2.6,1.6465452046971292,10
22,2.6,1.6465452046971292,10
23,2.5,1.7795130420052185,10
24,2.5,1.90029237516523,10
25,2.5,1.8408935028645435,10
26,2.5,1.7795130420052185,10
27,2.6,1.9550504398153572,10
28,2.5,2.4608038433722332,10
29,2.7,2.6687491868330797,10
30,2.5,2.41522945769824,10
31,2.6,2.5473297566057065,10
32,2.7,2.5841396591085743,10
33,2.9,2.4244128727957577,10
34,3.0,2.6246692913372702,10
35,3.1,2.469817807045694,10
36,3.5,2.758824226207808,10
37,3.6,2.8751811537130436,10
38,3.5,2.9907264074877267,10
39,3.5,3.0276503540974917,10
40,3.4,2.836272984824353,10
41,3.4,2.913569784454954,10
42,3.6,2.913569784454954,10
43,3.6,2.7568097504180447,10
44,3.7,2.7507574714370344,10
45,3.5,2.6352313834736494,10
46,3.9,2.726414006223804,10
47,4.1,3.142893217686178,10
48,4.3,3.1989581637360205,10
49,4.1,3.212821536005731,10
50,4.3,3.2676869155073254,10
51,4.4,3.062315754094894,10
52,4.4,2.9514591494904874,10
53,4.3,3.093002855909879,10
54,4.4,3.438345855527367,10
55,4.7,3.3349995835415367,10
56,4.5,3.5978388574871505,10
57,4.4,3.533962208186286,10
58,4.5,3.689323936863109,10
59,4.7,3.8887301554906353,10
60,4.8,3.7058512292499457,10
61,4.5,3.7490739597339973,10
62,4.5,3.719318934070233,10
63,4.5,3.5978388574871505,10
64,4.4,3.717824931626316,10
65,4.7,3.802046232695699,10
66,4.7,3.6832956257496714,10
67,4.9,3.4140233677518315,10
68,5.1,3.4785054261852175,10
69,5.0,3.5901098714230026,10
70,5.0,3.3333333333333335,10
71,5.0,3.3333333333333335,10
72,5.1,3.3482997343593826,10
73,5.5,3.3747427885527643,10
74,5.7,3.465704994818675,10
75,6.1,3.5418137224371984,10
76,6.1,3.6953424138441564,10
77,6.1,3.784471194529326,10
78,6.2,3.7058512292499457,10
79,6.4,3.9496835316262997,10
80,6.7,3.8311588035185613,10
81,6.7,4.164666186436128,10
82,6.7,4.243949942107129,10
83,7.1,4.254409477236529,10
84,7.4,4.168666186896929,10
85,7.4,4.168666186896929,10
86,7.5,4.089281382128433,10
87,7.7,3.945461527713414,10
88,7.9,4.012480529547776,10
89,7.8,4.077035960378842,10
90,8.2,4.211096452627668,10
91,8.5,4.403281604540969,10
92,8.4,4.765617600176404,10
93,8.6,4.718756898449704,10
94,8.9,4.863697724525606,10
95,8.9,4.677368680976279,10
96,9.0,4.714045207910317,10
97,9.2,4.685675570881488,10
98,9.4,4.926120853842978,10
99,9.3,5.121848624601603,10
100,9.3,5.250396810400779,10
101,9.4,5.521674464226309,10
102,9.6,5.777350411544878,10
103,10.3,5.735852159879995,10
104,10.2,5.513619500836089,10
105,10.5,5.338539126015656,10
106,10.8,5.28730134903956,10
107,11.0,5.374838498865699,10
108,10.9,5.762908216439952,10
109,11.1,5.70477382938574,10
110,11.3,5.598610938835137,10
111,11.5,5.359311730271176,10
112,11.4,5.501514942874069,10
113,11.5,5.835713800003866,10
114,11.6,5.910442735813733,10
115,11.6,5.910442735813733,10
116,11.8,5.827139568909908,10
117,11.9,5.7242175593408975,10
118,12.2,5.902918298980975,10
119,12.0,5.868938953886336,10
120,11.8,5.940445175985457,10
121,11.9,5.8013408411810765,10
122,12.1,6.081849134012524,10
123,12.3,6.254775952999614,10
124,12.2,6.124631508189788,10
