Q_diff,Q_router,Q_oracle
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
1,2,1
1,2,1
2,3,1
2,2,0
2,2,0
1,1,0
1,2,1
1,3,2
1,3,2
1,3,2
1,3,2
1,3,2
1,3,2
0,3,3
0,3,3
1,4,3
1,4,3
1,3,2
0,3,3
0,3,3
0,3,3
0,3,3
0,2,2
1,3,2
1,3,2
1,3,2
1,2,1
0,1,1
0,2,2
0,1,1
0,2,2
1,3,2
1,3,2
1,2,1
1,3,2
1,3,2
1,3,2
1,3,2
1,3,2
1,3,2
1,3,2
1,2,1
1,3,2
1,3,2
1,4,3
1,4,3
1,4,3
1,4,3
1,4,3
1,4,3
2,5,3
2,5,3
2,4,2
2,5,3
2,5,3
2,4,2
2,5,3
2,5,3
2,5,3
2,5,3
2,5,3
2,5,3
2,5,3
2,4,2
2,4,2
2,4,2
2,5,3
2,5,3
2,5,3
2,5,3
2,5,3
2,5,3
3,6,3
4,7,3
4,7,3
4,7,3
4,7,3
4,7,3
4,7,3
4,7,3
5,8,3
5,8,3
6,9,3
6,9,3
6,8,2
6,9,3
6,9,3
6,9,3
6,9,3
6,9,3
6,9,3
6,9,3
7,10,3
7,10,3
7,10,3
7,9,2
6,9,3
6,9,3
6,9,3
6,8,2
5,8,3
6,9,3
6,9,3
6,9,3
6,9,3
6,9,3
6,9,3
6,9,3
6,9,3
7,10,3
7,10,3
7,10,3
7,10,3
7,10,3
7,10,3
7,10,3
7,10,3
7,10,3
7,11,4
7,11,4
7,11,4
7,11,4
7,11,4
7,11,4
7,11,4
7,11,4
7,10,3
8,11,3
8,11,3
8,11,3
8,11,3
8,12,4
8,13,5
9,13,4
9,13,4
9,13,4
9,13,4
9,13,4
9,14,5
9,14,5
9,14,5
9,14,5
9,14,5
10,15,5
10,16,6
10,16,6
10,16,6
10,16,6
10,16,6
10,16,6
10,16,6
10,16,6
10,16,6
10,16,6
10,16,6
10,16,6
10,16,6
10,16,6
10,16,6
10,16,6
11,16,5
12,16,4
13,17,4
13,17,4
13,17,4
13,17,4
13,17,4
13,17,4
13,16,3
12,16,4
12,16,4
12,16,4
12,16,4
12,16,4
12,16,4
12,16,4
12,15,3
11,15,4
11,15,4
11,15,4
11,15,4
11,15,4
11,14,3
10,14,4
10,14,4
10,14,4
10,14,4
10,14,4
10,14,4
10,14,4
10,14,4
10,14,4
10,14,4
10,14,4
10,14,4
10,14,4
10,14,4
10,14,4
10,14,4
10,14,4
10,14,4
10,14,4
10,14,4
10,14,4
9,13,4
9,14,5
9,13,4
9,13,4
9,13,4
9,13,4
9,13,4
9,13,4
9,13,4
9,13,4
9,13,4
9,13,4
9,12,3
8,12,4
8,12,4
8,12,4
8,12,4
8,12,4
8,12,4
8,12,4
8,13,5
8,13,5
8,13,5
8,13,5
8,13,5
8,13,5
8,13,5
8,13,5
8,12,4
8,13,5
8,13,5
8,13,5
8,13,5
8,13,5
8,13,5
8,13,5
8,12,4
7,11,4
7,12,5
7,12,5
7,11,4
7,10,3
7,11,4
7,11,4
7,10,3
7,11,4
7,10,3
7,11,4
7,11,4
7,11,4
7,11,4
7,10,3
7,11,4
7,11,4
7,11,4
7,11,4
7,11,4
7,12,5
7,12,5
7,12,5
7,12,5
7,12,5
7,12,5
7,12,5
7,12,5
8,13,5
8,13,5
8,13,5
8,13,5
8,13,5
8,13,5
8,13,5
8,13,5
8,13,5
8,13,5
8,13,5
8,13,5
8,13,5
8,12,4
8,13,5
9,14,5
9,14,5
9,14,5
9,13,4
9,14,5
9,13,4
9,14,5
9,14,5
9,14,5
9,14,5
9,14,5
9,13,4
9,14,5
9,14,5
9,13,4
8,13,5
8,13,5
8,12,4
7,11,4
7,12,5
7,12,5
7,12,5
7,12,5
7,12,5
7,12,5
7,12,5
8,13,5
8,13,5
8,12,4
8,13,5
8,14,6
8,14,6
8,15,7
9,16,7
9,16,7
9,16,7
9,16,7
9,16,7
9,16,7
9,16,7
9,17,8
9,17,8
9,17,8
9,17,8
10,18,8
10,19,9
10,19,9
10,19,9
11,19,8
11,19,8
11,19,8
11,19,8
11,18,7
11,18,7
11,18,7
11,18,7
11,19,8
11,19,8
12,20,8
13,21,8
14,22,8
14,22,8
14,22,8
15,23,8
15,23,8
15,23,8
16,24,8
17,24,7
18,25,7
18,25,7
18,26,8
18,26,8
19,27,8
19,27,8
20,28,8
20,28,8
21,29,8
21,28,7
20,28,8
21,29,8
21,29,8
21,28,7
21,28,7
21,28,7
21,28,7
21,28,7
21,28,7
21,28,7
21,28,7
21,28,7
21,28,7
21,29,8
21,29,8
21,28,7
21,27,6
20,27,7
20,28,8
21,29,8
21,29,8
21,29,8
21,29,8
21,29,8
22,30,8
23,31,8
23,31,8
23,30,7
23,31,8
23,31,8
23,31,8
23,31,8
23,31,8
23,31,8
23,31,8
23,31,8
23,30,7
22,30,8
22,29,7
22,29,7
22,29,7
22,28,6
21,28,7
21,28,7
21,28,7
21,28,7
21,28,7
21,27,6
21,28,7
22,29,7
23,30,7
23,31,8
24,32,8
24,32,8
24,32,8
25,33,8
25,33,8
25,33,8
25,33,8
25,33,8
25,33,8
25,34,9
26,34,8
25,33,8
24,33,9
25,34,9
25,34,9
25,34,9
25,34,9
25,34,9
25,34,9
25,33,8
24,33,9
24,32,8
23,32,9
23,32,9
23,32,9
23,32,9
23,32,9
23,32,9
23,32,9
23,32,9
23,32,9
23,32,9
23,33,10
23,32,9
23,32,9
23,31,8
22,31,9
22,31,9
22,31,9
23,32,9
24,32,8
23,32,9
23,32,9
23,31,8
23,31,8
23,31,8
23,31,8
22,31,9
22,31,9
22,31,9
22,31,9
22,31,9
22,31,9
22,31,9
22,31,9
22,31,9
22,30,8
22,29,7
22,29,7
22,29,7
22,28,6
22,29,7
22,29,7
23,30,7
23,30,7
23,30,7
24,31,7
24,30,6
24,31,7
24,30,6
23,30,7
23,30,7
23,30,7
23,30,7
23,29,6
22,29,7
22,28,6
22,29,7
22,29,7
22,29,7
22,29,7
22,28,6
22,29,7
22,29,7
22,28,6
21,28,7
21,28,7
21,28,7
21,28,7
21,28,7
21,28,7
21,28,7
22,29,7
22,29,7
23,29,6
