t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.0,0.0,10
3,0.0,0.0,10
4,0.0,0.0,10
5,0.0,0.0,10
6,0.1,0.31622776601683794,10
7,0.3,0.6749485577105528,10
8,0.3,0.48304589153964794,10
9,0.4,0.6992058987801011,10
10,0.5,0.7071067811865476,10
11,0.6,0.9660917830792959,10
12,0.7,0.9486832980505138,10
13,0.8,0.7888106377466155,10
14,1.0,0.816496580927726,10
15,1.3,1.0593499054713802,10
16,1.3,1.3374935098492586,10
17,1.2,1.4757295747452437,10
18,1.1,1.66332999331662,10
19,1.1,1.5238839267549946,10
20,1.0,1.4907119849998598,10
21,1.2,1.6193277068654823,10
22,1.4,1.837873166945363,10
23,1.5,1.7795130420052185,10
24,1.5,1.90029237516523,10
25,1.7,2.0575065816014617,10
26,1.8,2.201009869229224,10
27,1.7,2.1628170930011112,10
28,1.5,1.8408935028645435,10
29,1.6,2.0110804171997807,10
30,1.5,1.90029237516523,10
31,1.5,2.068278940998476,10
32,1.5,2.1213203435596424,10
33,1.4,2.170509412813294,10
34,1.3,2.057506581601462,10
35,1.3,2.057506581601462,10
36,1.5,2.1213203435596424,10
37,1.5,2.1213203435596424,10
38,1.7,2.406010991015812,10
39,1.6,2.270584848790187,10
40,1.7,2.2135943621178655,10
41,1.5,2.273030282830976,10
42,1.9,2.4244128727957572,10
43,1.8,2.3944379994757297,10
44,1.7,2.057506581601462,10
45,1.4,2.170509412813294,10
46,1.2,1.9321835661585915,10
47,1.4,2.065591117977289,10
48,1.5,2.223610677354389,10
49,1.4,2.065591117977289,10
50,1.5,2.0138409955990952,10
51,1.4,2.170509412813294,10
52,1.3,2.4517567397911058,10
53,1.4,2.4585451886114362,10
54,1.5,2.41522945769824,10
55,1.7,2.4517567397911058,10
56,1.5,2.5055493963954847,10
57,1.6,2.1705094128132942,10
58,1.4,1.8378731669453627,10
59,1.7,1.888562063228706,10
60,1.6,1.8973665961010275,10
61,1.9,1.7919573407620817,10
62,2.0,2.0,10
63,2.0,2.0,10
64,1.6,1.837873166945363,10
65,1.6,1.8973665961010278,10
66,1.6,1.837873166945363,10
67,1.7,1.8287822299126937,10
68,1.7,1.8287822299126937,10
69,1.5,1.90029237516523,10
70,1.4,1.837873166945363,10
71,1.1,1.5238839267549948,10
72,1.1,1.5238839267549948,10
73,1.1,1.449137674618944,10
74,1.1,1.3703203194062976,10
75,0.9,1.286683937707919,10
76,0.9,1.286683937707919,10
77,0.8,1.2292725943057186,10
78,0.9,1.286683937707919,10
79,1.0,1.4142135623730951,10
80,0.8,1.1352924243950935,10
81,0.8,1.0327955589886446,10
82,0.8,1.0327955589886446,10
83,1.0,1.1547005383792515,10
84,0.9,1.100504934614612,10
85,0.9,1.1972189997378648,10
86,0.8,1.2292725943057186,10
87,0.9,1.449137674618944,10
88,0.8,1.475729574745244,10
89,0.7,1.2516655570345725,10
90,0.6,1.0749676997731399,10
91,0.6,1.0749676997731399,10
92,0.7,1.3374935098492586,10
93,0.6,1.3498971154211057,10
94,0.7,1.0593499054713802,10
95,1.0,1.3333333333333333,10
96,1.1,1.449137674618944,10
97,0.9,1.286683937707919,10
98,0.7,1.3374935098492586,10
99,0.8,1.3165611772087666,10
100,1.1,1.523883926754995,10
101,1.0,1.5634719199411433,10
102,1.1,1.5951314818673867,10
103,1.1,1.6633299933166201,10
104,1.1,1.6633299933166201,10
105,1.2,1.4757295747452437,10
106,1.5,1.5811388300841898,10
107,1.5,1.6499158227686108,10
108,1.6,1.7126976771553504,10
109,1.7,1.8287822299126937,10
110,1.8,1.8737959096740264,10
111,1.8,1.8737959096740264,10
112,1.7,1.946506842754191,10
113,1.7,1.946506842754191,10
114,1.5,1.8408935028645435,10
115,1.3,1.9465068427541912,10
116,1.3,2.057506581601462,10
117,1.1,1.6633299933166201,10
118,1.2,1.8737959096740262,10
119,1.1,1.9119507199599983,10
120,1.1,1.7288403306519922,10
121,1.0,1.632993161855452,10
122,1.1,1.7288403306519922,10
123,0.9,1.5238839267549946,10
