t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.0,0.0,10
3,0.1,0.31622776601683794,10
4,0.1,0.31622776601683794,10
5,0.2,0.42163702135578396,10
6,0.1,0.31622776601683794,10
7,0.2,0.42163702135578396,10
8,0.5,0.7071067811865476,10
9,0.5,0.7071067811865476,10
10,0.5,0.7071067811865476,10
11,0.6,0.9660917830792959,10
12,0.8,1.0327955589886446,10
13,1.0,0.816496580927726,10
14,1.0,0.816496580927726,10
15,1.1,0.8755950357709131,10
16,1.1,0.9944289260117533,10
17,1.1,1.1972189997378648,10
18,1.1,1.1972189997378646,10
19,1.2,1.0327955589886446,10
20,1.1,1.1005049346146119,10
21,1.1,1.286683937707919,10
22,1.2,1.2292725943057183,10
23,1.4,1.1737877907772674,10
24,1.4,1.2649110640673518,10
25,1.3,1.0593499054713802,10
26,1.5,1.1785113019775793,10
27,1.4,1.2649110640673518,10
28,1.3,1.1595018087284057,10
29,1.1,1.1005049346146119,10
30,1.1,1.1972189997378648,10
31,1.0,1.1547005383792515,10
32,1.0,1.1547005383792515,10
33,0.9,1.1005049346146119,10
34,1.1,1.1005049346146119,10
35,1.2,1.3165611772087666,10
36,1.2,1.3165611772087666,10
37,1.4,1.349897115421106,10
38,1.4,1.349897115421106,10
39,1.2,1.3165611772087666,10
40,1.3,1.4181364924121767,10
41,1.3,1.3374935098492586,10
42,1.4,1.2649110640673518,10
43,1.3,1.2516655570345725,10
44,1.3,1.2516655570345725,10
45,1.1,1.286683937707919,10
46,0.9,1.3703203194062978,10
47,1.1,1.449137674618944,10
48,1.2,1.6865480854231356,10
49,1.2,1.5491933384829668,10
50,1.3,1.6363916944844772,10
51,1.1,1.5238839267549946,10
52,1.2,1.8135294011647258,10
53,1.2,1.8737959096740262,10
54,1.3,1.9465068427541912,10
55,1.2,1.6193277068654823,10
56,1.2,1.6193277068654826,10
57,1.4,1.9550504398153572,10
58,1.3,1.888562063228706,10
59,1.3,1.888562063228706,10
60,1.4,1.8973665961010275,10
61,1.3,1.888562063228706,10
62,1.4,1.837873166945363,10
63,1.0,1.5634719199411433,10
64,0.9,1.5951314818673865,10
65,1.0,1.5634719199411433,10
66,1.0,1.699673171197595,10
67,1.0,1.699673171197595,10
68,1.1,1.66332999331662,10
69,1.1,1.66332999331662,10
70,0.9,1.5951314818673865,10
71,0.9,1.5951314818673865,10
72,0.9,1.5951314818673865,10
73,0.9,1.5951314818673865,10
74,0.9,1.5951314818673865,10
75,0.9,1.5951314818673865,10
76,1.0,1.9436506316151,10
77,1.2,1.8737959096740262,10
78,1.4,1.8973665961010273,10
79,1.4,1.8973665961010273,10
80,1.4,1.8973665961010273,10
81,1.5,1.9578900207451218,10
82,1.6,1.8973665961010278,10
83,1.6,1.8973665961010278,10
84,1.6,1.8973665961010278,10
85,1.5,2.173067468400883,10
86,1.3,1.8885620632287061,10
87,1.1,1.852925614624973,10
88,1.2,2.14993539954628,10
89,1.1,2.183269719175042,10
90,1.0,1.8856180831641267,10
91,1.1,1.9692073983655907,10
92,1.2,1.9321835661585915,10
93,1.3,1.828782229912694,10
94,1.4,1.8973665961010273,10
95,1.4,1.577621275493231,10
96,1.4,1.577621275493231,10
97,1.3,1.636391694484477,10
98,1.3,1.636391694484477,10
99,1.1,1.728840330651992,10
100,1.1,1.728840330651992,10
101,1.0,1.699673171197595,10
102,1.2,1.9321835661585915,10
103,1.3,1.888562063228706,10
104,1.1,1.66332999331662,10
105,1.2,1.6865480854231356,10
106,1.1,1.66332999331662,10
107,1.2,1.6865480854231356,10
108,1.1,1.449137674618944,10
109,1.1,1.286683937707919,10
110,1.1,1.449137674618944,10
111,1.0,1.4907119849998598,10
112,1.0,1.4907119849998598,10
113,0.9,1.3703203194062978,10
114,0.9,1.286683937707919,10
115,0.9,1.286683937707919,10
116,0.8,1.2292725943057186,10
117,0.8,1.5491933384829668,10
118,0.8,1.5491933384829668,10
119,0.8,1.5491933384829668,10
120,0.9,1.8529256146249726,10
121,1.0,1.8257418583505538,10
122,0.8,1.8737959096740262,10
