t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.1,0.31622776601683794,10
4,0.1,0.31622776601683794,10
5,0.0,0.0,10
6,0.1,0.31622776601683794,10
7,0.2,0.6324555320336759,10
8,0.4,0.6992058987801011,10
9,0.5,0.7071067811865476,10
10,0.7,1.0593499054713802,10
11,0.8,1.2292725943057186,10
12,0.9,1.1972189997378648,10
13,1.1,0.875595035770913,10
14,1.0,0.9428090415820634,10
15,1.1,1.1005049346146119,10
16,1.2,1.2292725943057183,10
17,1.3,1.3374935098492586,10
18,1.2,1.2292725943057183,10
19,1.3,1.2516655570345725,10
20,1.1,1.1972189997378648,10
21,1.3,1.0593499054713802,10
22,1.3,0.9486832980505138,10
23,1.3,0.9486832980505138,10
24,1.2,1.0327955589886444,10
25,1.0,0.816496580927726,10
26,0.8,0.7888106377466155,10
27,0.8,0.7888106377466155,10
28,0.8,0.9189365834726815,10
29,0.8,0.9189365834726815,10
30,0.8,0.9189365834726815,10
31,0.9,0.8755950357709131,10
32,1.1,1.1972189997378648,10
33,1.0,1.0540925533894598,10
34,1.1,1.3703203194062978,10
35,1.1,1.3703203194062978,10
36,1.2,1.5491933384829668,10
37,1.3,1.7029386365926402,10
38,1.2,1.6865480854231358,10
39,1.2,1.6865480854231358,10
40,1.2,1.8737959096740262,10
41,1.3,1.6363916944844772,10
42,1.4,1.577621275493231,10
43,1.3,1.5670212364724214,10
44,1.2,1.3165611772087664,10
45,1.0,1.4142135623730951,10
46,1.0,1.4142135623730951,10
47,0.9,1.449137674618944,10
48,1.1,1.449137674618944,10
49,1.0,1.4907119849998598,10
50,1.1,1.3703203194062978,10
51,1.1,1.3703203194062978,10
52,1.2,1.398411797560202,10
53,1.3,1.4944341180973264,10
54,1.3,1.4944341180973264,10
55,1.3,1.4944341180973264,10
56,1.1,1.449137674618944,10
57,1.0,1.4907119849998598,10
58,1.0,1.4907119849998598,10
59,1.2,1.398411797560202,10
60,1.1,1.449137674618944,10
61,1.2,1.3984117975602022,10
62,1.1,1.286683937707919,10
63,1.0,1.0540925533894598,10
64,0.9,1.1005049346146119,10
65,1.3,1.3374935098492586,10
66,1.4,1.5055453054181622,10
67,1.7,1.494434118097326,10
68,1.7,1.494434118097326,10
69,1.7,1.494434118097326,10
70,1.7,1.494434118097326,10
71,1.7,1.6363916944844767,10
72,1.7,1.70293863659264,10
73,1.7,1.70293863659264,10
74,1.7,1.70293863659264,10
75,1.8,1.6865480854231358,10
76,1.6,1.577621275493231,10
77,1.5,1.6499158227686108,10
78,1.5,1.6499158227686108,10
79,1.4,1.577621275493231,10
80,1.6,1.5055453054181622,10
81,1.6,1.5055453054181622,10
82,1.5,1.35400640077266,10
83,1.5,1.509230856356236,10
84,1.5,1.7159383568311668,10
85,1.7,1.7029386365926402,10
86,1.7,1.7029386365926402,10
87,1.9,1.66332999331662,10
88,1.9,1.66332999331662,10
89,1.8,1.4757295747452437,10
90,1.9,1.3703203194062976,10
91,2.1,1.66332999331662,10
92,2.1,1.66332999331662,10
93,2.0,1.699673171197595,10
94,2.1,1.8529256146249728,10
95,2.1,1.8529256146249728,10
96,2.1,2.024845673131659,10
97,2.0,2.0,10
98,2.1,1.911950719959998,10
99,2.3,2.0027758514399734,10
100,2.2,2.043961295567452,10
101,2.3,2.1108186931983415,10
102,2.2,2.2010098692292237,10
103,2.3,2.359378449224852,10
104,2.2,2.2997584414213788,10
105,2.4,2.1705094128132942,10
106,2.4,2.1705094128132942,10
107,2.4,2.1705094128132942,10
108,2.4,2.065591117977289,10
109,2.4,2.1705094128132942,10
110,2.4,2.1186998109427604,10
111,2.6,2.4585451886114367,10
112,2.6,2.716206504995115,10
113,2.6,2.716206504995115,10
114,2.5,2.718251071716682,10
115,2.6,2.7968235951204043,10
116,2.6,2.7968235951204043,10
117,2.5,2.798809270624444,10
118,2.6,2.7568097504180447,10
119,2.8,2.8596814119369625,10
120,2.8,3.1198290551460244,10
121,2.9,3.3149493041204847,10
122,3.0,3.2317865716108862,10
123,3.0,3.2317865716108862,10
124,3.1,2.960855732160327,10
125,3.0,2.70801280154532,10
126,3.0,2.70801280154532,10
127,2.9,2.806737924669451,10
128,2.8,2.8596814119369625,10
129,2.7,2.7507574714370344,10
130,2.6,2.547329756605707,10
131,2.7,2.496664441476534,10
132,2.8,2.440400695696417,10
133,2.7,2.263232692902394,10
134,2.6,2.1186998109427604,10
135,2.4,1.9550504398153572,10
136,2.5,2.1213203435596424,10
137,2.4,2.0110804171997807,10
138,2.2,2.097617696340303,10
139,2.2,2.097617696340303,10
140,2.6,2.4129281427805145,10
141,2.7,2.359378449224852,10
142,2.4,2.2705848487901865,10
143,2.2,2.2010098692292237,10
144,2.2,2.14993539954628,10
145,2.1,2.2335820757001272,10
146,2.2,2.2010098692292237,10
147,2.5,2.273030282830976,10
148,2.6,2.3190036174568114,10
149,2.7,2.5407785333546005,10
150,2.7,2.6267851073127395,10
151,2.8,2.616188916046478,10
152,2.8,2.616188916046478,10
153,2.8,2.616188916046478,10
