t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.1,0.31622776601683794,10
4,0.1,0.31622776601683794,10
5,0.0,0.0,10
6,0.2,0.42163702135578396,10
7,0.2,0.42163702135578396,10
8,0.5,0.5270462766947299,10
9,0.5,0.5270462766947299,10
10,0.7,0.8232726023485646,10
11,0.7,0.8232726023485646,10
12,0.8,0.9189365834726815,10
13,1.1,0.9944289260117533,10
14,1.1,0.9944289260117533,10
15,1.1,0.9944289260117533,10
16,1.1,0.9944289260117533,10
17,1.2,1.1352924243950933,10
18,1.3,1.0593499054713802,10
19,1.5,1.1785113019775793,10
20,1.5,1.1785113019775793,10
21,1.6,1.1737877907772674,10
22,1.6,1.1737877907772674,10
23,1.6,1.1737877907772674,10
24,1.5,1.0801234497346435,10
25,1.2,1.1352924243950933,10
26,1.2,1.1352924243950933,10
27,1.2,1.1352924243950933,10
28,1.5,1.0801234497346435,10
29,1.6,1.2649110640673518,10
30,1.5,1.2692955176439846,10
31,1.5,1.2692955176439846,10
32,1.8,1.3984117975602022,10
33,1.8,1.3984117975602022,10
34,2.0,1.4142135623730951,10
35,2.0,1.4142135623730951,10
36,2.1,1.5951314818673865,10
37,2.2,1.8135294011647258,10
38,2.1,1.728840330651992,10
39,2.1,1.728840330651992,10
40,2.2,1.6865480854231356,10
41,2.2,1.8135294011647256,10
42,2.3,1.7029386365926402,10
43,2.3,1.7029386365926402,10
44,2.3,1.7029386365926402,10
45,2.3,1.7029386365926402,10
46,2.3,1.7029386365926402,10
47,2.5,1.8408935028645435,10
48,2.4,1.837873166945363,10
49,2.6,1.837873166945363,10
50,2.6,1.776388345929897,10
51,2.6,1.837873166945363,10
52,2.8,2.0976176963403033,10
53,2.9,2.2335820757001272,10
54,2.8,2.3475755815545343,10
55,2.8,2.3475755815545343,10
56,2.8,2.3475755815545343,10
57,2.9,2.2335820757001272,10
58,2.9,2.2335820757001272,10
59,2.8,2.250925735484551,10
60,2.9,2.2335820757001272,10
61,3.1,2.183269719175042,10
62,3.2,2.3944379994757297,10
63,3.2,2.3944379994757297,10
64,3.2,2.3944379994757297,10
65,3.3,2.359378449224852,10
66,3.5,2.3687784005919825,10
67,3.5,2.3687784005919825,10
68,3.5,2.3687784005919825,10
69,3.6,2.503331114069145,10
70,3.7,2.540778533354601,10
71,3.9,2.514402955419481,10
72,4.0,2.6246692913372702,10
73,4.1,2.766867462592951,10
74,4.1,2.8460498941515415,10
75,4.0,2.8284271247461903,10
76,4.1,2.8848262031225076,10
77,4.5,3.0276503540974917,10
78,4.5,3.0276503540974917,10
79,4.5,3.0276503540974917,10
80,4.5,3.0276503540974917,10
81,4.6,2.988868236194653,10
82,4.6,2.9514591494904874,10
83,4.8,3.155242550986462,10
84,4.9,3.212821536005731,10
85,4.9,3.212821536005731,10
86,5.0,3.265986323710904,10
87,4.9,3.3482997343593826,10
88,4.8,3.489667287547307,10
89,4.9,3.3482997343593826,10
90,5.0,3.4318767136623336,10
91,5.2,3.489667287547307,10
92,5.4,3.596294389136314,10
93,5.5,3.719318934070233,10
94,5.4,3.6270588023294517,10
95,5.5,3.5978388574871505,10
96,5.7,3.591656999213594,10
97,5.6,3.438345855527367,10
98,5.6,3.438345855527367,10
99,5.7,3.433495141818157,10
100,5.6,3.438345855527367,10
101,5.7,3.433495141818157,10
102,5.7,3.3349995835415362,10
103,5.9,3.2472210341220147,10
104,5.9,3.2472210341220147,10
105,5.8,3.155242550986462,10
106,5.7,3.0568684048294332,10
107,5.9,3.3149493041204856,10
108,5.9,3.3149493041204856,10
109,5.9,3.541813722437199,10
110,6.0,3.6209268304000717,10
111,6.1,3.7252889522529364,10
112,6.1,3.7252889522529364,10
113,6.0,3.858612300930075,10
114,5.9,3.8427420765212266,10
115,6.0,3.8297084310253524,10
116,6.0,3.8297084310253524,10
117,6.2,3.8815804341359037,10
118,6.2,4.077035960378842,10
119,6.5,4.089281382128433,10
120,6.5,4.089281382128433,10
121,6.7,4.191260749066641,10
122,6.8,4.237399621885521,10
123,6.8,4.237399621885521,10
124,6.9,4.306326095924976,10
125,6.9,4.306326095924976,10
126,7.0,4.371625682868,10
127,7.0,4.371625682868,10
128,7.1,4.383048152953731,10
129,7.2,4.2895221179054435,10
130,7.4,4.247875285886397,10
131,7.6,4.273952113286562,10
132,7.6,4.273952113286562,10
133,7.6,4.273952113286562,10
134,7.5,4.32691832858239,10
135,7.6,4.427188724235731,10
136,7.6,4.427188724235731,10
137,7.7,4.372896319628699,10
138,7.8,4.417138339593985,10
139,7.7,4.473378042498879,10
140,7.6,4.402019738458447,10
141,7.6,4.402019738458447,10
142,7.7,4.2176876234364356,10
143,7.7,4.001388647846033,10
144,7.8,4.077035960378842,10
145,7.9,4.175324338699131,10
146,8.1,4.306326095924976,10
147,8.2,4.417138339593985,10
148,8.4,4.325634186002223,10
149,8.4,4.325634186002223,10
150,8.4,4.325634186002223,10
151,8.5,4.453463071962462,10
152,8.7,4.547282460742656,10
153,8.6,4.742245131674331,10
154,8.8,4.732863826479693,10
