t,cum_regret_mean,cum_regret_sd,n_runs
1,0.0,0.0,10
2,0.09213301719341843,0.25404137095724005,10
3,0.09258907318915362,0.2538616152034547,10
4,0.09358179948995607,0.25357990874919173,10
5,0.09793276435519473,0.2540199813550899,10
6,0.18486412938161778,0.5074237506842295,10
7,0.27187780075167656,0.7622495243388364,10
8,0.38480579130958514,0.7623640594604859,10
9,0.5493403023182161,0.7617198734437949,10
10,0.7333976661747005,0.9823483691112949,10
11,0.8516154586617132,0.9769853203193068,10
12,0.9631791854959287,0.9950817365751551,10
13,1.2931891267499684,0.9720494544379109,10
14,1.3016068325699464,0.9868672681101813,10
15,1.472533274321727,1.2438596788322462,10
16,1.6019072554468807,1.275722102339625,10
17,1.6970398080187112,1.3743830739185248,10
18,1.7834104691979977,1.3924939877798002,10
19,2.0678979854502986,1.4696863254374906,10
20,2.1507027574357505,1.473598798660865,10
21,2.3508234842658213,1.718944792324638,10
22,2.456294106426525,1.8001261186950517,10
23,2.629207946679585,1.8169290932337492,10
24,2.95633350028149,1.9425107140463365,10
25,3.026101493103693,1.9809498088203528,10
26,3.109238025934464,1.9485384230728693,10
27,3.1256746419967163,1.9609140200593305,10
28,3.545629936249661,2.0643672232848713,10
29,3.557401570317052,2.0573079350845886,10
30,3.654702071118354,2.237405566105719,10
31,3.9093053556920188,2.415023759281001,10
32,4.073425796325394,2.4392108096059597,10
33,4.157969152170642,2.432323767616126,10
34,4.265036650091237,2.492313130255109,10
35,4.275853995859466,2.488190297757445,10
36,4.525913072308265,2.5440294104152508,10
37,4.6997853947849695,2.7074669777487377,10
38,4.802939435899566,2.91472859121315,10
39,4.8095478834413194,2.9136469405541634,10
40,5.06263012976179,3.097242080498986,10
41,5.338547824137512,3.2350629332670477,10
42,5.431094907494689,3.299454957175194,10
43,5.517115823633164,3.32224879371975,10
44,5.767713291946052,3.2033520055251508,10
45,5.878590801882444,3.153584047543293,10
46,5.962141403654239,3.1275987066991076,10
47,6.123426939131275,3.10228794740814,10
48,6.136881681059774,3.096284408502612,10
49,6.242718605834574,3.0180015381764758,10
50,6.340515483672603,2.985608407034917,10
51,6.433686668626178,2.952893363137512,10
52,6.680115531980931,2.7978363483863573,10
53,6.862936625813134,2.7720192634595406,10
54,6.945162715443422,2.78616893029913,10
55,6.95168885488947,2.798991116293817,10
56,6.959249766013601,2.7961228906922466,10
57,6.974366224271767,2.7956156513152988,10
58,7.1477824629800875,2.7600468570385988,10
59,7.281383969599931,2.8848832223980523,10
60,7.301077023083548,2.882086731162433,10
61,7.46569384075365,2.826014484629631,10
62,7.643359270956786,2.7334418820928046,10
63,7.734802932578896,2.734902531702481,10
64,7.737120173798469,2.7344205022944728,10
65,7.982847750656748,2.5559814382813157,10
66,8.167938160379059,2.5160994811554174,10
67,8.180170178074349,2.544007772404975,10
68,8.267680225323002,2.7762877425625647,10
69,8.356018410453704,2.775362197445456,10
70,8.361716412017708,2.7746921944193685,10
71,8.444438875907457,3.010331284469615,10
72,8.554604494826064,3.022185308524454,10
73,8.646616735372223,3.0001285014530765,10
74,8.729877591126058,2.9955555911941807,10
75,8.818949972365825,3.003968224782006,10
76,9.007515944568334,3.0347457732697865,10
