t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.1,0.31622776601683794,10
4,0.1,0.31622776601683794,10
5,0.0,0.0,10
6,0.2,0.42163702135578396,10
7,0.5,0.8498365855987975,10
8,0.7,0.8232726023485646,10
9,0.9,1.1005049346146119,10
10,0.9,1.3703203194062978,10
11,1.0,1.4907119849998598,10
12,0.9,1.1005049346146119,10
13,1.0,0.9428090415820634,10
14,1.2,1.3165611772087666,10
15,1.4,1.1737877907772674,10
16,1.4,1.429840705968481,10
17,1.4,1.505545305418162,10
18,1.6,1.505545305418162,10
19,1.9,1.8529256146249728,10
20,2.0,1.632993161855452,10
21,2.1,1.911950719959998,10
22,2.2,2.043961295567452,10
23,2.5,2.068278940998476,10
24,2.6,2.1705094128132942,10
25,2.1,2.4698178070456938,10
26,2.0,2.494438257849294,10
27,2.1,2.2335820757001272,10
28,1.9,2.183269719175042,10
29,1.8,2.0439612955674527,10
30,1.8,2.0439612955674527,10
31,1.7,1.946506842754191,10
32,1.7,1.946506842754191,10
33,1.7,1.8885620632287057,10
34,2.1,1.8529256146249728,10
35,2.1,2.0248456731316584,10
36,2.2,2.2997584414213788,10
37,2.3,2.2135943621178655,10
38,2.3,2.5841396591085743,10
39,2.2,2.250925735484551,10
40,2.2,2.250925735484551,10
41,2.4,2.1705094128132942,10
42,2.6,2.1186998109427604,10
43,2.5,1.9578900207451218,10
44,2.6,1.8973665961010275,10
45,2.3,1.8287822299126937,10
46,2.3,2.057506581601462,10
47,2.1,2.0789954839350235,10
48,2.3,2.110818693198342,10
49,2.3,1.9465068427541912,10
50,2.1,2.0248456731316584,10
51,2.2,1.8737959096740262,10
52,2.3,1.9465068427541912,10
53,2.3,1.9465068427541912,10
54,2.6,2.270584848790187,10
55,2.8,2.616188916046478,10
56,2.6,2.6749870196985173,10
57,2.5,2.41522945769824,10
58,2.6,2.3190036174568114,10
59,3.0,2.581988897471611,10
60,3.0,2.581988897471611,10
61,2.9,2.4698178070456938,10
62,2.6,2.5473297566057065,10
63,2.6,2.836272984824353,10
64,2.7,3.0568684048294332,10
65,2.9,2.8848262031225067,10
66,2.7,2.6687491868330793,10
67,3.0,2.9814239699997196,10
68,3.0,2.9814239699997196,10
69,3.0,2.9059326290271157,10
70,3.0,3.2317865716108862,10
71,3.0,3.3333333333333335,10
72,3.1,3.2812599206199233,10
73,3.4,3.565264521898917,10
74,3.4,3.777124126457412,10
75,3.6,3.7475918193480524,10
76,3.8,3.7653389990514503,10
77,3.9,3.7252889522529355,10
78,4.0,3.972125095937662,10
79,3.9,3.9285281382896233,10
80,4.1,3.9285281382896233,10
81,4.3,4.083843505544474,10
82,4.6,4.087922591134905,10
83,4.5,3.9791121287711073,10
84,4.2,3.910100879630714,10
85,4.3,3.9454615277134133,10
86,4.4,3.8355066303046734,10
87,4.4,3.777124126457412,10
88,4.4,3.777124126457412,10
89,4.6,3.470510689285432,10
90,4.5,3.4399612400917157,10
91,4.7,3.622460796505909,10
92,4.6,3.470510689285432,10
93,4.6,3.5023801430836525,10
94,4.4,3.806427312965386,10
95,4.2,3.489667287547307,10
96,4.3,3.433495141818157,10
97,4.3,3.4976182372199127,10
98,4.2,3.3928028399998595,10
99,4.2,3.4576806613039843,10
100,4.4,3.6575644598253874,10
101,4.5,4.169998667732268,10
102,4.7,4.056544780420347,10
103,4.8,4.049691346263317,10
104,4.9,4.094712037087183,10
105,5.0,4.136557881996952,10
106,5.3,3.831158803518562,10
107,5.8,4.1041983924323695,10
108,6.0,4.216370213557839,10
109,6.3,3.8600518131237562,10
110,6.2,3.9101008796307144,10
111,6.1,3.956710193526379,10
112,6.1,4.306326095924976,10
113,6.2,4.417138339593985,10
114,6.2,4.541169697580374,10
115,6.2,4.756282395129858,10
116,6.4,4.351245032554859,10
117,6.6,4.623610902506587,10
118,6.9,4.840798832148815,10
119,7.1,4.458450154232722,10
120,7.1,4.383048152953731,10
121,7.3,4.270050741306633,10
122,7.2,4.391911757866828,10
123,7.2,4.638007234913623,10
124,7.3,4.715223571935198,10
125,7.6,4.880801391392833,10
126,7.5,4.696334267868457,10
127,7.5,4.696334267868457,10
128,7.4,4.623610902506587,10
129,7.0,4.69041575982343,10
130,6.9,4.458450154232722,10
131,6.8,4.589843860815602,10
132,6.8,4.661902329879224,10
133,7.0,4.853406592853679,10
134,6.8,4.962078417580905,10
135,6.7,4.900113377373131,10
136,6.6,4.718756898449704,10
137,6.7,4.877385456255113,10
138,6.7,4.877385456255113,10
139,6.7,4.900113377373131,10
140,6.8,5.0508525133002165,10
141,7.1,5.021066730398144,10
142,7.2,5.223876806442596,10
143,6.9,5.152130088074683,10
144,7.0,5.055250296034367,10
145,7.0,4.9216076867444665,10
146,7.3,5.313504806936128,10
147,7.5,5.338539126015656,10
148,7.4,5.337498373666159,10
149,7.2,5.452828012447608,10
150,7.3,5.6184220797895446,10
151,7.4,5.440588203494178,10
152,7.1,5.586690532964138,10
153,7.1,5.526702854726718,10
154,7.2,5.633234713140696,10
155,7.6,5.541760650832108,10
