t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.1,0.31622776601683794,10
4,0.1,0.31622776601683794,10
5,0.1,0.31622776601683794,10
6,0.2,0.42163702135578396,10
7,0.4,0.6992058987801011,10
8,0.6,0.6992058987801011,10
9,0.8,0.7888106377466155,10
10,1.0,1.0540925533894598,10
11,1.1,1.1005049346146119,10
12,1.1,0.875595035770913,10
13,1.3,0.9486832980505139,10
14,1.5,1.1785113019775793,10
15,1.6,1.1737877907772674,10
16,1.7,1.2516655570345725,10
17,1.6,1.2649110640673518,10
18,1.9,1.66332999331662,10
19,1.9,1.66332999331662,10
20,2.0,1.9436506316151,10
21,2.0,1.7638342073763937,10
22,2.2,1.6865480854231356,10
23,2.2,1.6865480854231356,10
24,2.4,2.0110804171997807,10
25,2.1,1.8529256146249728,10
26,1.9,1.66332999331662,10
27,1.9,1.728840330651992,10
28,1.9,1.728840330651992,10
29,2.0,1.8257418583505538,10
30,1.9,1.66332999331662,10
31,1.9,1.66332999331662,10
32,2.0,1.8257418583505538,10
33,2.0,1.8257418583505538,10
34,2.1,1.8529256146249728,10
35,2.2,1.7511900715418263,10
36,2.3,1.9465068427541912,10
37,2.3,2.110818693198342,10
38,2.4,2.1186998109427604,10
39,2.2,1.9888578520235063,10
40,2.2,1.9888578520235063,10
41,2.2,1.9888578520235063,10
42,2.3,1.9465068427541912,10
43,2.2,1.7511900715418263,10
44,2.1,1.66332999331662,10
45,2.0,1.699673171197595,10
46,2.0,1.699673171197595,10
47,2.1,1.66332999331662,10
48,2.0,1.5634719199411433,10
49,1.9,1.5951314818673865,10
50,1.8,1.6865480854231356,10
51,1.8,1.6865480854231356,10
52,1.9,1.911950719959998,10
53,1.9,1.8529256146249728,10
54,2.0,2.211083193570267,10
55,2.0,2.211083193570267,10
56,1.9,2.2335820757001272,10
57,2.1,2.330951164939612,10
58,2.1,2.330951164939612,10
59,2.1,2.330951164939612,10
60,2.2,2.3475755815545347,10
61,2.3,2.2632326929023945,10
62,2.2,2.043961295567452,10
63,2.3,2.110818693198342,10
64,2.4,2.2211108331943574,10
65,2.5,2.1213203435596424,10
66,2.4,2.2211108331943574,10
67,2.4,2.1705094128132942,10
68,2.4,2.1705094128132942,10
69,2.4,2.2211108331943574,10
70,2.4,2.2211108331943574,10
71,2.5,2.3687784005919825,10
72,2.5,2.3687784005919825,10
73,2.5,2.3687784005919825,10
74,2.3,2.4517567397911058,10
75,2.3,2.4517567397911058,10
76,2.3,2.4517567397911058,10
77,2.5,2.5495097567963922,10
78,2.4,2.590581230363393,10
79,2.4,2.590581230363393,10
80,2.4,2.590581230363393,10
81,2.3,2.4060109910158114,10
82,2.3,2.4060109910158114,10
83,2.2,2.485513584307633,10
84,2.4,2.590581230363393,10
85,2.6,2.4585451886114367,10
86,2.6,2.4585451886114367,10
87,2.5,2.5495097567963922,10
88,2.5,2.5495097567963922,10
89,2.5,2.5495097567963922,10
90,2.5,2.6770630673681683,10
91,2.5,2.8771127502720115,10
92,2.4,2.875181153713043,10
93,2.5,2.8771127502720115,10
94,2.5,3.100179206289712,10
95,2.4,2.9888682361946524,10
96,2.5,3.100179206289712,10
97,2.5,3.100179206289712,10
98,2.6,3.238655413730965,10
99,2.6,3.238655413730965,10
100,2.5,3.3082388735465345,10
101,2.4,3.2386554137309647,10
102,2.5,3.3082388735465345,10
103,2.4,3.3730961708462712,10
104,2.3,3.2335051500740732,10
105,2.3,3.2335051500740732,10
106,2.3,3.2335051500740732,10
107,2.4,3.3730961708462712,10
108,2.2,3.155242550986462,10
109,2.2,3.155242550986462,10
110,2.1,3.21282153600573,10
111,2.1,3.071373199943851,10
112,2.1,3.071373199943851,10
113,2.2,3.190262963734773,10
114,2.4,3.4058772731852804,10
115,2.5,3.4721111093332766,10
116,2.6,3.4058772731852804,10
117,2.5,3.4075080500434787,10
118,2.6,3.3730961708462717,10
119,2.8,3.259175083088085,10
120,2.6,3.0983866769659336,10
121,2.7,3.0568684048294332,10
122,2.7,3.0568684048294332,10
123,2.9,3.142893217686178,10
124,2.9,3.178049716414141,10
125,2.8,3.0477678535099897,10
126,2.8,3.0477678535099897,10
127,2.8,3.0477678535099897,10
128,3.0,3.0912061651652345,10
129,2.9,3.1073389830457114,10
130,2.9,3.1073389830457114,10
131,2.9,3.1073389830457114,10
132,2.9,3.142893217686178,10
133,3.0,3.1622776601683795,10
134,3.0,3.1622776601683795,10
135,3.2,3.425395354310701,10
136,3.2,3.425395354310701,10
137,3.3,3.6530048514126623,10
138,3.4,3.7475918193480524,10
139,3.5,3.689323936863109,10
140,3.5,3.4399612400917157,10
141,3.7,3.560586718193756,10
142,3.6,3.596294389136314,10
143,3.6,3.596294389136314,10
144,3.6,3.596294389136314,10
145,3.6,3.596294389136314,10
146,3.8,3.823901439919996,10
147,4.0,4.163331998932265,10
148,4.0,4.163331998932265,10
149,4.1,4.280446497997869,10
150,4.1,4.280446497997869,10
151,4.3,4.191260749066641,10
152,4.3,4.191260749066641,10
153,4.3,4.191260749066641,10
