t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.0,0.0,10
3,0.0,0.0,10
4,0.0,0.0,10
5,0.0,0.0,10
6,0.2,0.42163702135578396,10
7,0.2,0.42163702135578396,10
8,0.4,0.5163977794943223,10
9,0.6,0.6992058987801011,10
10,0.8,0.9189365834726815,10
11,1.0,1.0540925533894598,10
12,1.1,0.9944289260117533,10
13,1.5,1.0801234497346435,10
14,1.6,1.07496769977314,10
15,1.7,1.2516655570345725,10
16,1.9,1.3703203194062978,10
17,1.9,1.449137674618944,10
18,1.9,1.449137674618944,10
19,2.0,1.632993161855452,10
20,2.1,1.66332999331662,10
21,2.2,1.7511900715418263,10
22,2.2,1.7511900715418263,10
23,2.2,1.8135294011647258,10
24,2.1,1.66332999331662,10
25,1.7,1.4944341180973262,10
26,1.7,1.4944341180973262,10
27,1.8,1.4757295747452437,10
28,2.0,1.4142135623730951,10
29,2.0,1.4142135623730951,10
30,1.8,1.3165611772087666,10
31,1.8,1.3165611772087666,10
32,1.8,1.3165611772087666,10
33,1.9,1.1972189997378648,10
34,2.0,1.4142135623730951,10
35,2.3,1.4944341180973264,10
36,2.3,1.4944341180973264,10
37,2.3,1.8287822299126937,10
38,2.3,1.8287822299126937,10
39,2.3,1.8287822299126937,10
40,2.4,1.7126976771553508,10
41,2.4,1.577621275493231,10
42,2.5,1.4337208778404378,10
43,2.5,1.4337208778404378,10
44,2.5,1.4337208778404378,10
45,2.5,1.4337208778404378,10
46,2.5,1.4337208778404378,10
47,2.7,1.4944341180973264,10
48,2.6,1.505545305418162,10
49,2.5,1.4337208778404378,10
50,2.4,1.5055453054181622,10
51,2.3,1.636391694484477,10
52,2.5,1.6499158227686108,10
53,2.6,1.7126976771553504,10
54,2.7,1.7029386365926402,10
55,2.7,1.7029386365926402,10
56,2.8,1.7511900715418265,10
57,2.9,1.5951314818673865,10
58,2.9,1.5951314818673865,10
59,3.0,1.632993161855452,10
60,3.1,1.728840330651992,10
61,3.1,1.5951314818673867,10
62,3.1,1.5951314818673867,10
63,3.1,1.5951314818673867,10
64,3.1,1.5951314818673867,10
65,3.0,1.5634719199411433,10
66,3.2,1.6865480854231356,10
67,3.1,1.7919573407620817,10
68,3.1,1.7919573407620817,10
69,3.0,1.9436506316151,10
70,3.1,1.911950719959998,10
71,3.2,1.9321835661585918,10
72,3.2,1.9321835661585918,10
73,3.2,1.9321835661585918,10
74,3.3,2.110818693198342,10
75,3.2,2.2010098692292237,10
76,3.4,2.5473297566057065,10
77,3.5,2.5495097567963922,10
78,3.5,2.5495097567963922,10
79,3.5,2.5495097567963922,10
80,3.5,2.5495097567963922,10
81,3.5,2.5495097567963922,10
82,3.5,2.592724864350674,10
83,3.6,2.503331114069145,10
84,3.7,2.4517567397911058,10
85,3.7,2.4517567397911058,10
86,3.8,2.440400695696417,10
87,3.8,2.440400695696417,10
88,3.7,2.4517567397911058,10
89,3.7,2.311805451253294,10
90,3.8,2.2010098692292237,10
91,3.9,2.3309511649396115,10
92,4.0,2.4037008503093262,10
93,4.0,2.4037008503093262,10
94,3.9,2.3309511649396115,10
95,3.9,2.3309511649396115,10
96,3.9,2.3309511649396115,10
97,3.8,2.3475755815545347,10
98,3.8,2.3475755815545347,10
99,3.8,2.3475755815545347,10
100,3.7,2.359378449224852,10
101,3.7,2.359378449224852,10
102,3.6,2.4129281427805145,10
103,3.7,2.496664441476534,10
104,3.7,2.496664441476534,10
105,3.7,2.496664441476534,10
106,3.7,2.496664441476534,10
107,3.8,2.616188916046478,10
108,3.7,2.7100635498903793,10
109,3.5,2.9907264074877267,10
110,3.5,2.9907264074877267,10
111,3.6,3.062315754094894,10
112,3.6,3.062315754094894,10
113,3.8,3.2930904093942583,10
114,3.8,3.2930904093942583,10
115,3.9,3.21282153600573,10
116,3.9,3.21282153600573,10
117,3.9,3.21282153600573,10
118,3.8,3.32665998663324,10
119,3.9,3.3149493041204847,10
120,3.8,3.3928028399998595,10
121,3.9,3.3149493041204847,10
122,3.9,3.3149493041204847,10
123,3.8,3.22490309931942,10
