t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.0,0.0,10
3,0.1,0.31622776601683794,10
4,0.4,0.5163977794943222,10
5,0.5,0.5270462766947299,10
6,0.3,0.4830458915396479,10
7,0.5,0.7071067811865476,10
8,0.6,0.699205898780101,10
9,0.8,0.9189365834726815,10
10,1.1,0.7378647873726217,10
11,1.2,1.1352924243950933,10
12,1.3,1.0593499054713802,10
13,1.5,0.8498365855987975,10
14,1.4,0.8432740427115679,10
15,1.3,0.9486832980505138,10
16,1.4,0.9660917830792959,10
17,1.4,1.2649110640673518,10
18,1.4,1.349897115421106,10
19,1.6,1.577621275493231,10
20,1.5,1.6499158227686108,10
21,1.7,1.8885620632287057,10
22,1.8,1.5491933384829668,10
23,1.9,1.5951314818673863,10
24,1.9,1.7919573407620815,10
25,2.2,1.6865480854231356,10
26,2.1,1.728840330651992,10
27,1.9,1.4491376746189437,10
28,1.7,1.494434118097326,10
29,1.5,1.4337208778404378,10
30,1.6,1.6465452046971294,10
31,1.6,1.8973665961010278,10
32,1.7,2.0027758514399734,10
33,1.9,1.8529256146249728,10
34,1.8,1.7511900715418267,10
35,1.9,1.8529256146249728,10
36,2.0,1.8257418583505538,10
37,2.3,1.9465068427541912,10
38,2.4,2.0110804171997807,10
39,2.3,2.0575065816014617,10
40,2.2,1.9888578520235065,10
41,2.1,1.911950719959998,10
42,2.2,1.813529401164726,10
43,2.1,1.911950719959998,10
44,2.3,1.8885620632287057,10
45,2.1,1.7919573407620817,10
46,2.1,1.911950719959998,10
47,2.1,2.0248456731316584,10
48,2.3,1.9465068427541912,10
49,2.2,1.9321835661585915,10
50,2.3,1.946506842754191,10
51,2.3,1.946506842754191,10
52,2.2,1.8135294011647258,10
53,2.2,1.8135294011647258,10
54,2.5,1.9578900207451218,10
55,2.4,1.9550504398153574,10
56,2.1,1.7919573407620817,10
57,2.4,1.7126976771553506,10
58,2.2,1.7511900715418263,10
59,2.4,1.7126976771553504,10
60,2.3,1.636391694484477,10
61,2.3,1.766981104093143,10
62,2.3,1.888562063228706,10
63,2.3,2.110818693198342,10
64,2.2,2.0976176963403033,10
65,2.3,2.110818693198342,10
66,2.4,2.065591117977289,10
67,2.3,1.9465068427541912,10
68,2.6,2.011080417199781,10
69,2.4,2.1186998109427604,10
70,2.3,2.359378449224852,10
71,2.2,2.3944379994757297,10
72,2.0,2.260776661041756,10
73,2.2,2.2997584414213788,10
74,2.2,2.14993539954628,10
75,2.1,1.9119507199599983,10
76,2.3,2.110818693198342,10
77,2.4,2.0110804171997807,10
78,2.3,1.888562063228706,10
79,2.7,1.7029386365926402,10
80,2.9,1.7288403306519922,10
81,2.8,1.9321835661585918,10
82,2.7,1.636391694484477,10
83,2.9,1.5951314818673865,10
84,3.1,1.66332999331662,10
85,3.1,1.6633299933166201,10
86,3.0,1.699673171197595,10
87,3.2,1.9888578520235063,10
88,3.2,1.8737959096740262,10
89,3.4,2.0110804171997807,10
90,3.2,1.9321835661585918,10
91,3.3,1.70293863659264,10
92,3.4,1.577621275493231,10
93,3.6,1.7126976771553506,10
94,3.8,1.8737959096740262,10
95,3.7,1.8287822299126937,10
96,3.5,1.9578900207451218,10
97,3.4,1.9550504398153572,10
98,3.1,2.024845673131659,10
99,2.9,1.8529256146249728,10
100,3.0,1.8856180831641267,10
101,2.9,1.7919573407620817,10
102,3.2,1.8135294011647258,10
103,3.2,1.7511900715418263,10
104,3.2,1.9321835661585918,10
105,3.1,1.7288403306519922,10
106,3.1,1.7288403306519922,10
107,3.0,1.7638342073763937,10
108,3.0,1.7638342073763937,10
109,3.2,1.813529401164726,10
110,3.5,2.273030282830976,10
111,3.5,2.223610677354389,10
112,3.6,2.2211108331943574,10
113,3.4,2.3664319132398464,10
114,3.5,2.273030282830976,10
115,3.5,2.4608038433722332,10
116,3.4,2.4585451886114362,10
117,3.3,2.2135943621178655,10
118,3.4,2.1186998109427604,10
119,3.3,2.2135943621178655,10
120,3.3,2.1628170930011112,10
121,3.3,2.1628170930011112,10
122,3.4,2.2211108331943574,10
