t,cum_regret_mean,cum_regret_sd,n_runs
1,0.0,0.0,10
2,0.020720976503188333,0.03759390843445183,10
3,0.1290783803763199,0.2813140269622291,10
4,0.30286025864588006,0.3851046249848331,10
5,0.5016868652711013,0.41995928722379167,10
6,0.5185086312068745,0.4186176970159962,10
7,0.7004060400178346,0.5468035967736928,10
8,0.898350180596814,0.6140703276277523,10
9,1.1539689506020232,0.8250088846102259,10
10,1.582640771659721,1.0455948319029318,10
11,1.8382234269918736,1.2860070550554714,10
12,2.037256141214506,1.2618150894790672,10
13,2.3442659211208947,1.3627625714363127,10
14,2.4941936259400608,1.4412206547961253,10
15,2.6345991619286133,1.398527491123647,10
16,2.7352152204324236,1.2835395775336225,10
17,2.8937692138360704,1.3765507820206682,10
18,3.1494212394412036,1.580370983535927,10
19,3.34140221762611,1.6076041150198563,10
20,3.5141742643711993,1.824564587020674,10
21,3.656246583956874,1.849785418481118,10
22,3.986256811349046,2.0127731356030987,10
23,4.070164490917914,2.052174329458002,10
24,4.1608504183262545,2.1602341974170636,10
25,4.499636995982653,2.1507176977874107,10
26,4.8552410976569,2.343177101432784,10
27,5.120475872934125,2.4178021920443724,10
28,5.459325766821925,2.674012498383132,10
29,5.550624699855336,2.702068589127363,10
30,5.740400046901051,2.6535920733956986,10
31,6.081113067777252,2.753577244164687,10
32,6.181862167114976,2.7863277843485115,10
33,6.512138512939731,2.7526624967932674,10
34,6.679068509967595,2.6704594926099325,10
35,6.9426539381115715,2.8816408220548975,10
36,7.038331011912888,3.052861492621233,10
37,7.311319012088809,3.139634955432479,10
38,7.519615434873539,3.2941390769521233,10
39,7.734985639430862,3.317265393463665,10
40,7.918969505972017,3.370629717829252,10
41,8.175349502581096,3.4217896531263476,10
42,8.285009382350719,3.3978834059505605,10
43,8.386640634128126,3.4125005594870745,10
44,8.809500476100297,3.5638782601650663,10
45,8.935128861727497,3.5983324890456534,10
46,9.296863172912758,3.9331051270196546,10
47,9.479305996716652,4.09033388379513,10
48,9.662941442831519,4.115248805013244,10
49,9.837137186909889,4.281380110528928,10
50,10.166282750552897,4.501388810434122,10
51,10.500517805949958,4.7886684750728605,10
52,10.759832944506671,4.900657882065171,10
53,11.009964226375661,5.173520058605817,10
54,11.43087450490208,5.270535500472082,10
55,11.440880449847498,5.278640635823646,10
56,11.714145463590196,5.409639695201115,10
57,12.316524768946556,5.543859613185282,10
58,12.67167083971978,5.829673931107809,10
59,12.764274139227771,5.854563597936112,10
60,12.959667295284286,5.969959935178879,10
61,13.203232351245049,6.0460331500121285,10
62,13.618458354030906,5.970406915688254,10
63,13.735256831352604,6.06463209729001,10
64,14.065232905011081,6.125883252717449,10
65,14.389021367428702,5.998759403287021,10
66,14.49078611489349,5.941799017272678,10
67,14.665625287465474,5.922823428956159,10
68,14.996453904674087,6.0275890522354665,10
69,15.11134164256921,5.89662072185982,10
70,15.212335954273732,5.840609833909695,10
71,15.35421115528599,5.834314930409323,10
72,15.357612421681079,5.833457325565071,10
73,15.613728108357076,5.718478002366118,10
74,15.698974650883468,5.5673840841175,10
75,15.810202520811464,5.654220092807862,10
76,16.068628506938076,5.765394674745356,10
77,16.39050580075312,5.685793229367655,10
78,16.58338477540007,5.697221694643405,10
79,16.99807108532909,5.614934350831142,10
80,17.346243906191518,5.498329913294189,10
81,17.374273192198416,5.520371359302026,10
82,17.810666638626667,5.3507440291605874,10
83,18.0761577638117,5.495919841543204,10
84,18.34378891880571,5.233596562244992,10
85,18.461077455236694,5.308246473313115,10
86,18.57862254725832,5.148372119780816,10
87,18.88736242560692,5.215576806185264,10
88,19.070770363177484,5.210967561396212,10
89,19.355536760163943,5.1526669885043885,10
90,19.555411543845576,5.097949450683325,10
91,19.929267442909072,5.024552185443594,10
92,20.12055427183943,5.213918314866132,10
93,20.371856314473295,5.179897049895973,10
94,20.56332101345273,5.323918155265821,10
95,20.8138234028508,5.391836351016916,10
96,20.990541427735742,5.555748143444953,10
97,21.010025756915905,5.574481291655244,10
98,21.10271564046905,5.5326982260595345,10
99,21.121032803425486,5.552620980633717,10
100,21.13129683043508,5.548059532358413,10
101,21.174061607919036,5.5572911251773744,10
102,21.423494057802635,5.562988541459387,10
103,21.714475620748022,5.624816705257203,10
104,21.979212224205448,5.7434812348804885,10
105,22.25218703168933,5.989580185864831,10
106,22.35306304722364,5.968070127261459,10
107,22.460689701000888,6.029848284713043,10
108,22.471702594174616,6.028266054063497,10
109,22.70350466031098,6.031128215864221,10
110,23.20192838049571,6.326492408551419,10
111,23.45961630701685,6.405243664098241,10
112,23.594642565039617,6.278693956049126,10
113,23.69802717443128,6.3204461164844306,10
114,24.113759897965082,6.306684308968612,10
115,24.310464419919096,6.302712003008048,10
116,24.487733644943468,6.238759385460888,10
117,24.836106737201792,6.364296848384309,10
118,25.09408120106384,6.406046698407718,10
119,25.267983235938175,6.4238447910406045,10
120,25.359359802509005,6.485782920502242,10
121,25.533761012633434,6.386348189437963,10
122,25.61742415479797,6.462987292202508,10
123,25.71984695349599,6.489650349908715,10
124,25.896419475172518,6.564615036742221,10
125,26.16150406459579,6.6137901155832886,10
126,26.345399258001198,6.6030164745041455,10
127,26.437830106561695,6.572750431428232,10
128,26.697954546159174,6.588141371906838,10
129,26.808242473547047,6.529620666188885,10
130,26.901472530520987,6.575759555066641,10
131,26.928271267187352,6.582332689927076,10
132,27.029697707852318,6.6661564615382085,10
133,27.360458638511027,6.846735863237764,10
134,27.610953853836406,7.0003034397231545,10
135,27.958059974573036,7.21115759300714,10
136,28.209289510648553,7.240590498613053,10
137,28.377380618907814,7.354033054483129,10
138,28.562639264628565,7.497291234958966,10
139,28.739352996865016,7.625029842102436,10
140,29.081274642416208,7.81977825781969,10
141,29.283300390765294,7.926215588329822,10
142,29.466963133043237,8.112737164103127,10
143,29.72517406889424,8.188873210859972,10
144,30.015670879902707,8.339720331921743,10
145,30.427646889067073,8.520309871402741,10
146,30.62609758166922,8.647841916913531,10
147,30.72796183825148,8.618601695304903,10
148,30.9854838648257,8.687270191921924,10
149,31.374867577627647,8.758640336966272,10
150,31.70666753053688,8.934869712393622,10
151,31.717164922095144,8.928159545138364,10
152,31.966326518196013,9.153783623900551,10
153,32.136550678661294,9.185364224303823,10
154,32.45203454977323,9.344439927549713,10
155,32.53587303677962,9.316605768917425,10
156,32.867854569460974,9.203610577872226,10
157,33.036546990761636,9.000048796777017,10
158,33.28546663253888,9.151176934776602,10
159,33.46889421879722,8.931939555336056,10
160,33.64527635210589,8.986524960378878,10
161,33.87030863869265,8.802160882000905,10
162,34.14462850379599,8.84588708344,10
163,34.418810601383676,8.947659819097934,10
164,34.66813821453108,8.734406032160296,10
165,34.91759005583298,8.691693460117273,10
166,35.08450172075892,8.833178361266317,10
167,35.26873667614296,8.877800605589748,10
168,35.444885915900656,9.044883106163864,10
169,35.95770250727845,8.997528329523083,10
170,36.29711154541374,9.292628593378145,10
171,36.4895401095965,9.379363129692114,10
172,36.53350532406538,9.415359133209622,10
173,36.660052470902016,9.399050030947189,10
174,36.68205836855985,9.391257999023836,10
175,36.8639703634679,9.318847949991316,10
176,36.96398386356112,9.157537637583296,10
177,37.29611593912724,9.021594964350587,10
178,37.44022900321566,9.145997351377465,10
179,37.54232524974078,9.235399058738567,10
180,37.79285205951539,9.015894530075142,10
181,38.20834447928787,9.042663382454643,10
182,38.62251173569099,9.255655318820835,10
183,38.879886463733726,9.328540657044687,10
184,38.97201314044337,9.328512837897648,10
185,39.1566254151307,9.493339143328322,10
186,39.24066362953693,9.566619479974904,10
187,39.38973927932879,9.63474077863426,10
188,39.573585140090884,9.496998950550307,10
189,39.749460736769095,9.359192823363195,10
190,39.85047213510628,9.193072823331224,10
191,39.992445460603456,9.356831424117408,10
192,40.1609079543048,9.544114336169246,10
193,40.42596644010026,9.565883409533717,10
194,40.60227667566264,9.778933777475451,10
195,40.770774832042804,9.606393955601114,10
196,40.78806500740012,9.607857277569112,10
197,40.88882841536036,9.714833531470553,10
198,40.972474117623484,9.826177478216199,10
199,41.07094044587978,9.802006179649428,10
200,41.18101239094514,9.906707897618551,10
201,41.34660222452584,9.875950505248916,10
202,41.50504256884837,10.004733719473546,10
203,41.67910685428726,9.848001819816776,10
204,41.77279706571029,9.933913717739209,10
205,41.938510416412974,9.826204483324325,10
206,42.03115915346954,9.953545601446686,10
207,42.28068666737314,10.149980130021081,10
208,42.44827658574049,10.05480712098418,10
209,42.70588496915475,9.98200691858546,10
210,42.8724517519988,10.023331966187502,10
211,43.10703517229469,10.238370787634878,10
212,43.21521074628611,10.271568339111859,10
213,43.554792857214736,10.293439516490718,10
214,43.7408228870633,10.159022345582954,10
215,43.915857717155426,10.169180100535257,10
216,44.033018853960996,10.130352328325207,10
217,44.03702169596923,10.129900609391509,10
218,44.057353119763036,10.129964842485352,10
219,44.31455693448435,10.060876880726937,10
220,44.33388822687183,10.078812600953167,10
221,44.50868995325671,10.017637105965925,10
222,44.669302651447204,9.948001918907401,10
223,44.83690637862158,9.984408453394174,10
224,45.09518534852488,9.982506664464848,10
225,45.16470531574163,10.029577286866264,10
226,45.48730475725104,10.230889146497647,10
227,45.60395909602266,10.324602331118351,10
228,45.78131947328708,10.399057414138218,10
229,45.81062620248411,10.417792747942253,10
230,46.1433882487663,10.443850867534195,10
231,46.25370545433571,10.461233203797418,10
232,46.354116412765585,10.471995750022066,10
233,46.37898769138349,10.479882175148644,10
234,46.422410617785935,10.52547411304554,10
235,46.69928853075241,10.740306548294285,10
236,46.71019144813372,10.745466299604065,10
237,46.95926272224484,10.981970017738671,10
238,47.04410117993056,11.04973220007039,10
239,47.20337476112966,10.991843872411327,10
240,47.47679443782418,11.055897451472815,10
241,47.74189181602789,11.049795754098142,10
242,47.83594977510665,11.12484101300084,10
243,48.102293027210735,11.299952610068592,10
244,48.51565346714183,11.49939382093571,10
245,48.7084340229525,11.468325956644058,10
246,48.96618164034264,11.725445455945207,10
247,49.38794124357527,11.683138678151522,10
248,49.56320815161826,11.600709531364581,10
249,49.746459202648225,11.694095284297681,10
250,49.76034517797622,11.68517169605787,10
251,49.78757298477552,11.652879715004898,10
252,49.96239234748653,11.61009919680658,10
253,50.13688483528371,11.576882558205508,10
254,50.392835943018255,11.470648535268532,10
255,50.65942563122006,11.38524784873229,10
256,50.752474244410216,11.311608304697534,10
257,50.92830332378399,11.43967060249752,10
258,51.269348649105766,11.200226858710487,10
259,51.43729027274751,11.336556551160822,10
260,51.54809445962703,11.175848265210483,10
261,51.97051174805591,11.17986822620147,10
262,52.1550901626426,10.952554833693009,10
263,52.330320999041476,10.756094601604833,10
264,52.62832272680829,10.8966711854977,10
265,52.90516836343157,10.663982024689538,10
266,53.25377356625679,10.819722983003969,10
267,53.60452010427499,10.654001373125386,10
268,53.78368475988002,10.504802825532035,10
269,53.877446925387105,10.417171603623432,10
270,54.21084542317516,10.404808733587387,10
271,54.38646729588678,10.414006736641564,10
272,54.563272320204625,10.58821595699868,10
273,54.987526734010245,10.741397982936462,10
274,55.26092101953948,10.751846508165249,10
275,55.34497434247394,10.831257935760885,10
276,55.43168586376701,10.753853429006416,10
277,55.79677859787414,10.722340368005858,10
278,55.8978027524567,10.820027902272265,10
279,56.06624468687319,10.844859560500684,10
280,56.25256158891763,10.852559911955343,10
281,56.45440988953148,10.99071955530567,10
282,56.80346229297369,11.034773766106904,10
283,57.06117469899682,11.087739991228728,10
284,57.466359917333065,11.329309066399285,10
285,57.78032717971085,11.502027841244146,10
286,58.044407747439514,11.478319002601298,10
287,58.22128878206543,11.351516328743637,10
288,58.33061293316096,11.298275418106046,10
289,58.587891617417085,11.255223443053604,10
290,58.68994782866504,11.149709868936169,10
291,59.11300178253758,10.985156598122712,10
292,59.372427091646486,10.758644040521423,10
293,59.54821537040865,10.952779567314932,10
294,59.74825801252357,10.967027734220485,10
295,60.00653895644761,10.791563639164881,10
296,60.17603885449569,10.966063477830387,10
297,60.186726802018484,10.95188063198858,10
298,60.45208369254423,10.659749364621028,10
299,60.61880687825082,10.651066842393282,10
300,60.87770372820709,10.578647849859973,10
301,61.05374257039521,10.618711706287426,10
302,61.0562535710942,10.620124326646259,10
303,61.23986778659442,10.760341413346868,10
304,61.4169403968386,10.804686330851746,10
305,61.6076165969355,10.847684118628756,10
306,61.8575264536535,11.00619515562459,10
307,62.10773989563946,10.987880768417758,10
308,62.16010886455424,10.949921682766195,10
309,62.32499456578201,11.13760284694628,10
310,62.499680467630355,11.114968637344672,10
311,62.591267180162006,11.19515170164992,10
312,62.7647289002687,11.040461645714512,10
313,62.86606602415668,11.13893241725178,10
314,62.992533922987334,11.22560428238051,10
315,63.30682801736812,11.028631363501642,10
316,63.7212505914452,11.100025169812339,10
317,64.08350037708605,11.39405815320981,10
318,64.24958709983287,11.33766126122098,10
319,64.58015217788827,11.044959482602772,10
320,64.9348351228222,11.00383010952885,10
321,65.05213108820314,11.1296783138241,10
322,65.3099634795783,11.056732501408026,10
323,65.48486977589039,10.976931716708295,10
324,65.7332901890658,11.240859171202965,10
325,66.06666007475584,11.377279716141466,10
326,66.24499651552742,11.354361168910888,10
327,66.44652163423117,11.231816144438527,10
328,66.62318560951942,11.215303086102415,10
