t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.1,0.31622776601683794,10
4,0.2,0.42163702135578396,10
5,0.2,0.42163702135578396,10
6,0.5,0.7071067811865476,10
7,0.8,0.9189365834726815,10
8,0.8,0.7888106377466155,10
9,1.2,1.0327955589886444,10
10,1.3,0.8232726023485646,10
11,1.5,0.8498365855987975,10
12,1.8,1.1352924243950933,10
13,2.1,1.449137674618944,10
14,2.2,1.4757295747452437,10
15,2.2,1.5491933384829668,10
16,2.5,1.5811388300841898,10
17,2.6,1.3498971154211057,10
18,2.7,1.636391694484477,10
19,2.9,1.5951314818673865,10
20,2.8,1.8135294011647258,10
21,3.1,1.8529256146249728,10
22,3.0,1.8257418583505538,10
23,3.0,1.699673171197595,10
24,3.0,1.7638342073763937,10
25,3.1,2.024845673131659,10
26,3.1,2.024845673131659,10
27,3.0,2.449489742783178,10
28,2.7,2.359378449224852,10
29,2.6,2.3190036174568114,10
30,2.9,2.5582111805799856,10
31,2.8,2.6997942308422123,10
32,3.0,2.581988897471611,10
33,3.1,2.4244128727957572,10
34,3.0,2.494438257849294,10
35,3.0,2.494438257849294,10
36,3.2,2.3944379994757297,10
37,3.1,2.378141197564929,10
38,3.6,2.4585451886114367,10
39,3.5,2.9533408577782247,10
40,3.7,2.710063549890379,10
41,3.6,2.988868236194653,10
42,3.8,2.8596814119369625,10
43,3.9,2.8460498941515415,10
44,4.0,2.581988897471611,10
45,4.2,2.7406406388125952,10
46,4.1,2.8067379246694513,10
47,4.1,2.8067379246694513,10
48,4.4,2.590581230363393,10
49,4.3,2.8303906287138374,10
50,4.2,3.084008934992101,10
51,4.2,3.084008934992101,10
52,3.9,3.2128215360057304,10
53,3.5,3.5668224265054493,10
54,3.8,3.2591750830880843,10
55,4.1,3.314949304120485,10
56,4.1,3.6347092196090616,10
57,4.3,3.465704994818675,10
58,4.2,3.155242550986462,10
59,4.6,3.339993346633426,10
60,4.7,3.3349995835415367,10
61,5.0,3.5901098714230026,10
62,4.9,3.6347092196090616,10
63,4.9,3.573047252229764,10
64,4.3,3.802046232695699,10
65,4.3,3.683295625749672,10
66,4.4,3.3399933466334266,10
67,4.3,3.3015148038438356,10
68,4.4,3.1692971530679235,10
69,4.4,3.3399933466334266,10
70,4.6,3.470510689285432,10
71,4.7,3.1287200080686173,10
72,4.7,2.94580681270476,10
73,4.5,3.064129385141706,10
74,4.5,2.9154759474226504,10
75,4.6,3.0983866769659336,10
76,4.5,3.24037034920393,10
77,4.6,3.4058772731852804,10
78,4.5,3.3747427885527643,10
79,4.6,3.3730961708462712,10
80,4.7,3.1287200080686173,10
81,4.8,3.1198290551460244,10
82,4.6,3.062315754094894,10
83,4.8,3.0110906108363245,10
84,4.9,2.806737924669451,10
85,4.9,2.923088169119167,10
86,5.0,3.1269438398822866,10
87,5.2,3.2930904093942583,10
88,5.2,3.489667287547307,10
89,5.2,3.675746333890726,10
90,5.5,3.6590830666833583,10
91,5.5,3.8369548110737792,10
92,5.6,3.6575644598253874,10
93,5.8,4.049691346263318,10
94,5.7,4.321779468896786,10
95,5.8,4.366539438350084,10
96,5.9,4.201851443775179,10
97,5.9,4.17532433869913,10
98,5.6,4.427188724235731,10
99,5.7,4.571651780264984,10
100,6.0,4.594682917363407,10
101,6.3,4.715223571935199,10
102,6.5,4.27525177946022,10
103,6.4,4.273952113286562,10
104,6.4,4.351245032554859,10
105,6.3,4.547282460742656,10
106,6.4,4.501851470969102,10
107,6.2,4.491968140779472,10
108,6.2,4.491968140779471,10
109,6.4,4.402019738458447,10
110,6.5,4.552166761249221,10
111,6.6,4.3256341860022225,10
112,6.8,4.366539438350084,10
113,6.9,4.383048152953731,10
114,6.9,4.254409477236529,10
115,6.9,4.483302354291979,10
116,6.8,4.589843860815601,10
117,6.8,4.391911757866827,10
118,7.1,4.508017549014447,10
119,7.0,4.570436400267363,10
120,7.1,4.458450154232722,10
121,7.1,4.508017549014447,10
122,7.5,4.743416490252569,10
123,7.1,4.458450154232722,10
124,7.1,4.701063709417263,10
125,6.6,4.765617600176405,10
126,6.6,4.5995168828427575,10
127,6.9,4.794672969962487,10
128,7.0,4.8074017006186525,10
129,7.2,4.962078417580906,10
130,7.2,5.0508525133002165,10
131,7.2,5.513619500836089,10
132,7.0,5.354126134736337,10
133,6.9,5.526702854726717,10
134,7.0,5.456901847914967,10
135,7.0,5.676462121975467,10
136,7.1,5.704773829385741,10
137,6.8,5.613475849338902,10
138,7.1,5.3218626647276635,10
139,6.8,5.411920998027308,10
140,7.7,5.2925524193068805,10
141,7.6,5.378971401051816,10
142,7.5,5.759050847723665,10
143,7.4,5.358275012642699,10
144,7.4,5.420127099780759,10
145,7.1,5.216427044549853,10
146,7.4,5.274677451960662,10
147,7.9,5.342700108039422,10
148,8.1,5.526702854726717,10
149,8.1,5.216427044549852,10
150,7.8,5.094659513211413,10
151,8.0,5.120763831912406,10
152,7.7,4.9899899799498595,10
153,7.5,4.927248499698161,10
154,7.6,4.812021982031624,10
155,7.9,4.748099034818507,10
