Q_diff,Q_router,Q_oracle
0,1,1
0,1,1
0,1,1
0,0,0
0,1,1
0,1,1
0,0,0
0,0,0
0,1,1
1,2,1
1,2,1
2,3,1
2,4,2
3,5,2
4,6,2
5,6,1
5,6,1
6,7,1
6,7,1
6,7,1
6,7,1
6,6,0
5,5,0
4,5,1
5,5,0
4,5,1
5,5,0
4,4,0
3,3,0
3,3,0
3,4,1
3,4,1
4,5,1
5,6,1
5,6,1
5,6,1
5,6,1
6,7,1
6,7,1
6,7,1
6,6,0
6,7,1
6,7,1
6,7,1
7,8,1
7,8,1
7,8,1
7,8,1
7,8,1
7,8,1
8,8,0
7,8,1
7,8,1
8,9,1
9,10,1
10,11,1
10,10,0
10,11,1
10,11,1
10,11,1
10,11,1
10,10,0
10,11,1
11,12,1
12,12,0
11,12,1
12,13,1
12,13,1
13,14,1
13,13,0
12,12,0
12,12,0
11,12,1
11,12,1
11,12,1
12,12,0
12,12,0
12,13,1
13,14,1
14,15,1
14,14,0
14,15,1
14,15,1
14,15,1
14,14,0
14,15,1
14,15,1
15,16,1
15,16,1
16,16,0
15,16,1
15,16,1
15,16,1
15,15,0
15,15,0
14,14,0
13,14,1
13,14,1
13,14,1
13,13,0
13,14,1
13,14,1
13,14,1
13,14,1
13,13,0
12,12,0
11,11,0
11,12,1
11,12,1
11,12,1
11,12,1
12,13,1
12,12,0
11,12,1
11,11,0
10,11,1
10,10,0
9,9,0
8,9,1
8,8,0
7,8,1
7,8,1
7,8,1
7,7,0
7,7,0
6,7,1
6,7,1
7,8,1
8,9,1
8,9,1
9,10,1
9,10,1
9,10,1
10,10,0
9,10,1
9,9,0
9,10,1
9,10,1
9,10,1
9,10,1
9,10,1
9,9,0
8,9,1
8,8,0
8,9,1
8,9,1
8,9,1
8,8,0
8,9,1
9,10,1
9,10,1
9,9,0
8,8,0
8,8,0
7,8,1
8,9,1
9,9,0
9,9,0
9,10,1
9,10,1
9,9,0
9,10,1
9,10,1
10,11,1
10,11,1
10,10,0
10,10,0
10,10,0
10,11,1
11,11,0
11,12,1
11,12,1
11,12,1
12,12,0
11,12,1
11,12,1
11,12,1
11,12,1
12,13,1
12,13,1
13,14,1
13,13,0
13,13,0
13,14,1
14,14,0
13,14,1
13,14,1
14,15,1
14,15,1
15,16,1
16,17,1
16,17,1
16,17,1
16,16,0
15,16,1
15,16,1
15,15,0
15,16,1
16,17,1
16,17,1
17,18,1
17,17,0
16,17,1
17,18,1
18,18,0
17,18,1
18,19,1
18,18,0
17,17,0
17,18,1
17,18,1
17,18,1
17,18,1
17,18,1
17,18,1
18,19,1
18,19,1
19,19,0
19,20,1
19,19,0
19,20,1
20,20,0
20,21,1
20,21,1
20,21,1
20,21,1
20,21,1
21,22,1
22,23,1
22,23,1
22,22,0
21,21,0
21,22,1
21,22,1
21,22,1
22,23,1
22,22,0
21,22,1
21,23,2
22,24,2
22,24,2
22,24,2
23,25,2
24,26,2
24,26,2
24,26,2
24,25,1
24,25,1
24,25,1
24,25,1
24,24,0
23,23,0
22,22,0
21,22,1
21,22,1
22,22,0
22,23,1
23,23,0
22,23,1
22,23,1
23,24,1
24,24,0
24,25,1
24,25,1
25,26,1
25,25,0
24,25,1
24,25,1
24,24,0
24,25,1
25,26,1
26,27,1
26,27,1
25,27,2
26,28,2
26,28,2
27,29,2
27,29,2
28,29,1
28,30,2
28,29,1
28,30,2
29,30,1
28,29,1
28,29,1
28,30,2
28,31,3
28,31,3
28,31,3
29,31,2
29,30,1
29,31,2
30,32,2
31,33,2
31,33,2
31,33,2
31,33,2
32,34,2
32,34,2
33,35,2
33,35,2
33,35,2
33,34,1
32,33,1
31,33,2
31,33,2
32,34,2
32,34,2
33,35,2
33,35,2
33,35,2
33,34,1
33,35,2
33,34,1
32,33,1
32,34,2
33,35,2
33,34,1
32,34,2
32,34,2
33,35,2
33,35,2
33,35,2
33,34,1
32,34,2
32,34,2
33,34,1
32,34,2
32,33,1
31,33,2
32,33,1
32,33,1
31,33,2
31,32,1
30,31,1
29,30,1
29,30,1
30,31,1
30,30,0
30,31,1
30,32,2
31,33,2
31,33,2
32,34,2
33,35,2
34,36,2
35,37,2
36,38,2
36,38,2
36,38,2
36,37,1
36,37,1
36,37,1
36,37,1
37,38,1
37,38,1
38,39,1
38,39,1
38,39,1
38,39,1
38,39,1
38,38,0
38,39,1
39,40,1
39,39,0
39,40,1
39,39,0
39,40,1
39,39,0
38,39,1
39,40,1
40,41,1
40,40,0
39,40,1
40,41,1
41,42,1
41,42,1
41,42,1
42,43,1
42,43,1
43,44,1
43,44,1
44,45,1
44,45,1
45,46,1
45,46,1
45,47,2
46,48,2
46,48,2
46,48,2
47,49,2
47,49,2
47,49,2
47,48,1
46,48,2
47,48,1
47,48,1
46,48,2
47,49,2
47,49,2
47,49,2
47,50,3
47,50,3
47,50,3
48,51,3
49,52,3
49,52,3
49,52,3
49,52,3
49,51,2
49,51,2
49,51,2
49,51,2
49,51,2
49,51,2
49,50,1
49,50,1
48,50,2
48,50,2
49,50,1
49,51,2
49,52,3
50,53,3
51,54,3
51,54,3
51,54,3
51,53,2
51,54,3
51,53,2
50,52,2
50,53,3
51,54,3
51,53,2
50,53,3
51,54,3
51,54,3
51,54,3
52,55,3
53,56,3
53,55,2
52,55,3
53,55,2
52,55,3
52,55,3
53,56,3
53,56,3
54,56,2
54,55,1
53,55,2
53,54,1
52,54,2
52,53,1
51,53,2
51,53,2
51,52,1
51,53,2
51,53,2
52,53,1
52,54,2
53,55,2
53,55,2
53,55,2
53,55,2
53,55,2
54,55,1
54,54,0
54,54,0
53,54,1
54,55,1
54,55,1
54,54,0
53,54,1
53,54,1
54,55,1
54,54,0
54,55,1
54,54,0
53,54,1
53,53,0
52,53,1
53,54,1
53,54,1
53,54,1
53,54,1
53,53,0
53,54,1
53,54,1
53,54,1
54,55,1
54,55,1
55,56,1
55,56,1
55,56,1
56,56,0
55,56,1
56,57,1
57,57,0
56,57,1
57,58,1
57,58,1
57,58,1
57,57,0
56,57,1
56,58,2
56,58,2
56,58,2
56,57,1
57,58,1
58,59,1
58,59,1
58,59,1
59,60,1
59,60,1
59,60,1
59,60,1
60,61,1
