t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.0,0.0,10
3,0.0,0.0,10
4,0.2,0.42163702135578396,10
5,0.3,0.48304589153964794,10
6,0.5,0.5270462766947299,10
7,1.0,0.6666666666666666,10
8,1.3,0.674948557710553,10
9,1.7,0.8232726023485646,10
10,1.9,1.1005049346146119,10
11,2.0,1.247219128924647,10
12,2.0,1.0540925533894598,10
13,2.2,0.7888106377466155,10
14,2.3,1.1595018087284057,10
15,2.4,1.1737877907772674,10
16,2.7,1.2516655570345725,10
17,2.6,1.2649110640673518,10
18,2.7,1.4181364924121764,10
19,3.2,1.6193277068654823,10
20,3.3,1.7029386365926402,10
21,3.5,1.7159383568311668,10
22,3.7,1.766981104093143,10
23,3.8,1.8135294011647258,10
24,3.9,2.131770260709264,10
25,3.8,2.043961295567452,10
26,3.8,2.1499353995462798,10
27,3.7,2.2135943621178655,10
28,3.9,2.378141197564929,10
29,4.2,2.5298221281347035,10
30,4.2,2.573367875415838,10
31,4.2,2.440400695696417,10
32,4.4,2.590581230363393,10
33,4.4,2.590581230363393,10
34,4.6,2.590581230363393,10
35,4.6,2.7968235951204043,10
36,4.7,3.2335051500740732,10
37,5.0,3.3333333333333335,10
38,5.1,3.314949304120485,10
39,5.0,3.1269438398822866,10
40,5.0,3.0912061651652345,10
41,5.2,3.22490309931942,10
42,5.4,3.2727833889689544,10
43,5.3,3.1989581637360205,10
44,5.3,3.2676869155073254,10
45,5.1,3.314949304120485,10
46,5.1,3.314949304120485,10
47,5.4,3.5962943891363137,10
48,5.4,3.470510689285432,10
49,5.4,3.3399933466334266,10
50,5.5,3.5355339059327378,10
51,5.7,3.802046232695699,10
52,5.9,3.8137179293236207,10
53,6.2,3.852848873813304,10
54,6.2,4.3410188256265885,10
55,6.3,4.547282460742655,10
56,6.2,4.613988392799541,10
57,6.4,4.835057163858332,10
58,6.5,4.766783215358364,10
59,6.6,4.835057163858332,10
60,6.6,4.835057163858332,10
61,6.7,5.078276172963508,10
62,6.6,5.037636129950016,10
63,6.8,4.939635614091387,10
64,7.0,4.83045891539648,10
65,7.3,4.715223571935199,10
66,7.2,4.802776974487434,10
67,7.3,4.691600058733812,10
68,7.4,4.718756898449704,10
69,7.3,4.715223571935199,10
70,7.4,4.765617600176404,10
71,7.4,4.765617600176404,10
72,7.6,4.857983120596447,10
73,7.6,4.857983120596447,10
74,7.4,4.971027168615266,10
75,7.5,5.01663898109747,10
76,7.3,5.1650535116083525,10
77,7.4,5.211099265563414,10
78,7.3,5.375872022286244,10
79,7.3,5.375872022286244,10
80,7.5,5.461989869391313,10
81,7.5,5.6421036266035856,10
82,7.5,5.6421036266035856,10
83,7.5,5.778311941119905,10
84,7.7,5.716448003592596,10
85,7.9,5.685263601823773,10
86,8.1,5.466056876558986,10
87,8.1,5.384133067531754,10
88,8.1,5.384133067531754,10
89,8.2,5.329165037789691,10
90,8.5,4.972144630058766,10
91,8.4,5.015531433014408,10
92,8.5,5.254627590144816,10
93,8.8,5.181162460726786,10
94,8.8,5.202563470700445,10
95,8.9,5.173651192984184,10
96,9.3,5.3343748982946035,10
97,9.2,5.573747990954262,10
98,9.1,5.685263601823773,10
99,9.2,5.573747990954262,10
100,9.4,5.581716183715861,10
101,9.4,5.581716183715861,10
102,9.5,5.66176258382101,10
103,9.6,5.777350411544878,10
104,9.7,5.793674711844519,10
105,9.8,5.902918298980975,10
106,9.8,5.788878225624643,10
107,10.0,5.92546294487706,10
108,9.9,6.04520011616195,10
109,10.2,6.0332412515993425,10
110,10.4,5.910442735813734,10
111,10.5,5.7397251192408545,10
112,10.7,5.5387523665332585,10
113,10.8,5.7115866641610396,10
114,10.8,5.7115866641610396,10
115,10.8,5.573747990954262,10
116,10.8,5.573747990954262,10
117,10.9,5.606543795720617,10
118,11.0,5.517648452415616,10
119,11.2,5.7115866641610396,10
120,11.0,5.773502691896258,10
121,11.1,5.78215646046813,10
122,11.2,5.692099788303083,10
123,11.6,6.003702561290361,10
124,11.8,6.232531142677464,10
125,11.8,6.0882400303098,10
