t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.2,0.42163702135578396,10
3,0.4,0.6992058987801011,10
4,0.6,0.9660917830792959,10
5,0.8,1.0327955589886444,10
6,0.7,1.0593499054713802,10
7,0.9,1.1005049346146119,10
8,0.9,1.3703203194062978,10
9,1.0,1.3333333333333333,10
10,1.0,1.3333333333333333,10
11,1.2,1.3165611772087664,10
12,1.2,1.3165611772087664,10
13,1.3,1.1595018087284057,10
14,1.5,1.35400640077266,10
15,1.7,1.636391694484477,10
16,2.1,1.449137674618944,10
17,2.3,1.8287822299126937,10
18,2.3,2.002775851439974,10
19,2.3,2.057506581601462,10
20,2.3,2.406010991015812,10
21,2.3,2.359378449224852,10
22,2.2,2.3944379994757297,10
23,2.2,2.2997584414213788,10
24,2.4,2.2211108331943574,10
25,2.4,2.2211108331943574,10
26,2.2,2.3475755815545347,10
27,2.3,2.6267851073127395,10
28,2.4,2.836272984824353,10
29,2.5,2.8771127502720115,10
30,2.4,2.875181153713043,10
31,2.7,2.9832867780352594,10
32,2.6,3.0623157540948935,10
33,2.7,3.0568684048294332,10
34,2.7,2.8693785622209793,10
35,2.9,2.884826203122507,10
36,3.0,2.9814239699997196,10
37,3.3,2.7507574714370344,10
38,3.4,3.0623157540948935,10
39,3.5,3.13581462037113,10
40,3.8,3.0477678535099897,10
41,4.0,2.6666666666666665,10
42,4.2,2.8596814119369625,10
43,4.2,2.820559440174157,10
44,4.2,3.0477678535099897,10
45,4.4,2.913569784454955,10
46,4.5,2.9154759474226504,10
47,4.6,2.547329756605707,10
48,4.7,2.7507574714370344,10
49,4.5,2.6352313834736494,10
50,4.2,3.0110906108363245,10
51,4.1,3.1073389830457114,10
52,4.3,3.0203016773531455,10
53,4.0,2.9059326290271157,10
54,4.2,2.8205594401741574,10
55,4.3,2.8693785622209793,10
56,4.1,2.8067379246694517,10
57,4.0,2.943920288775949,10
58,4.1,3.0713731999438516,10
59,4.5,2.798809270624444,10
60,4.2,2.8982753492378874,10
61,4.1,2.9230881691191675,10
62,4.2,3.0477678535099897,10
63,3.9,3.1073389830457114,10
64,4.1,2.9608557321603275,10
65,4.3,3.020301677353145,10
66,4.5,2.9154759474226504,10
67,4.8,3.425395354310701,10
68,4.8,3.645392830531285,10
69,4.4,3.2386554137309647,10
70,4.4,3.3730961708462712,10
71,4.7,3.3015148038438356,10
72,4.5,3.5039660069381067,10
73,4.4,3.272783388968954,10
74,4.5,3.24037034920393,10
75,4.6,3.3399933466334266,10
76,4.7,3.4657049948186747,10
77,5.1,3.6347092196090616,10
78,5.1,3.478505426185217,10
79,5.1,3.7549966711037177,10
80,4.9,3.9285281382896233,10
81,4.9,3.7549966711037173,10
82,4.6,3.8355066303046734,10
83,4.6,3.9496835316262997,10
84,4.8,3.6453928305312844,10
85,4.8,3.9384147967311813,10
86,4.5,3.865804501581067,10
87,4.9,4.012480529547776,10
88,5.2,4.237399621885522,10
89,5.3,4.24394994210713,10
90,5.5,4.034572812303401,10
91,5.1,4.121757985239902,10
92,5.1,4.357624225296267,10
93,5.0,4.216370213557839,10
94,5.2,4.211096452627668,10
95,5.1,4.332051092342595,10
96,5.2,3.966526608171604,10
97,5.1,3.7549966711037173,10
98,5.3,3.465704994818675,10
99,5.2,3.6453928305312844,10
100,5.1,3.4785054261852175,10
101,5.0,3.197221015541813,10
102,5.1,3.314949304120485,10
103,5.1,3.142893217686178,10
104,5.0,3.2317865716108862,10
105,5.2,3.457680661303984,10
106,5.2,3.2591750830880843,10
107,5.5,3.6285901761795403,10
108,5.5,3.4721111093332766,10
109,5.7,3.368151487751767,10
110,5.7,3.3349995835415367,10
111,5.7,3.1640339933558095,10
112,5.5,3.0276503540974917,10
113,5.6,3.1340424729448424,10
114,5.6,3.1692971530679235,10
115,5.3,3.2676869155073254,10
116,5.0,2.9814239699997196,10
117,5.0,3.0550504633038935,10
118,4.9,2.8848262031225076,10
119,4.9,2.7264140062238043,10
120,4.9,2.923088169119167,10
121,4.8,2.7808871486152276,10
122,4.6,2.836272984824353,10
123,4.2,3.0110906108363245,10
124,4.3,3.093002855909879,10
125,4.2,2.973961069759395,10
126,4.2,3.0477678535099892,10
127,4.1,2.8848262031225076,10
128,4.2,3.0477678535099892,10
129,4.3,3.0930028559098792,10
130,4.3,3.4334951418181574,10
131,4.4,3.204163957519444,10
132,4.2,3.190262963734773,10
133,4.2,3.425395354310701,10
134,3.9,3.5103022978402048,10
135,4.2,3.2591750830880843,10
136,4.3,3.400980250849256,10
137,4.4,3.5023801430836525,10
138,4.2,3.7058512292499457,10
139,4.5,3.8078865529319543,10
140,4.6,3.687817782917155,10
141,4.8,3.583914681524163,10
142,4.8,3.3928028399998595,10
143,4.5,3.4721111093332766,10
144,4.4,3.470510689285432,10
145,4.3,3.497618237219913,10
146,4.3,3.683295625749672,10
147,5.0,3.9440531887330774,10
148,4.8,4.237399621885522,10
149,4.7,4.571651780264984,10
