t,cum_regret_mean,cum_regret_sd,n_runs
1,0.0,0.0,10
2,0.2650728929536298,0.4268080707520577,10
3,0.6202575943905966,0.7267480389509325,10
4,0.9748122692440644,0.9719958505895262,10
5,1.417027494711876,1.2641896402959336,10
6,1.9475544564889578,1.548154400936315,10
7,2.3016608709151694,1.9634356244622198,10
8,2.8322884198662965,2.312957052267446,10
9,3.362121830312499,2.694051559671432,10
10,3.7167506276141298,2.999122308794587,10
11,4.246880521699014,3.222435359595044,10
12,4.776893939624452,3.5887700230294963,10
13,5.219179760369244,3.7830316922429335,10
14,5.74936967693376,4.08650351295471,10
15,6.102992568727851,4.29790276122202,10
16,6.633879553275596,4.293960753970247,10
17,7.164976537281357,4.418492131952403,10
18,7.607234121072311,4.453276940672723,10
19,8.226083431978253,4.527943930731737,10
20,8.756610409130422,4.7229716131560044,10
21,9.286967978506372,4.934911906868272,10
22,9.641030291128626,5.059420290695437,10
23,10.171290791301834,5.258063005697345,10
24,10.789550674436752,5.380928267456848,10
25,11.32030000755723,5.461038948987369,10
26,11.850355803111698,5.577355177962123,10
27,12.381158086925893,5.651257486566643,10
28,12.823373318851878,5.894933373319565,10
29,13.444022676991736,6.049072681484027,10
30,14.063359061211179,6.2276226934054195,10
31,14.77069482377228,6.454804904872708,10
32,15.47875060723502,6.694561087658766,10
33,16.09733520276074,6.868202975115727,10
34,16.71760337714117,7.197097695213634,10
35,17.248913920664716,7.3246031846328234,10
36,17.955534963637085,7.6011480160912575,10
37,18.66326780572293,7.8855491836221505,10
38,19.281667107361233,8.106018061995133,10
39,19.99007760824457,8.269390271752444,10
40,20.608990463004627,8.402953791634568,10
41,21.31724214075818,8.641151221831484,10
42,22.02387730033981,8.459618685697748,10
43,22.731948966794324,8.38469928246231,10
44,23.43938002519311,8.63148756561557,10
45,24.23439752666288,8.560556920216396,10
46,24.942045668114837,8.48516524393075,10
47,25.561990908012238,8.653383447350121,10
48,26.270173763645072,8.579764589384778,10
49,26.976874222940967,8.46950279876747,10
50,27.772961165450937,8.405720407003978,10
51,28.47961927643259,8.58528855554607,10
52,29.274705603725472,8.480135139690994,10
53,29.983603182835804,8.480168810205202,10
54,30.691030721052993,8.31152544562866,10
55,31.30981298058608,8.091753944129351,10
56,32.10612757003916,8.089199225751276,10
57,32.81307155614993,8.135971036927513,10
58,33.52004201389194,8.272472821343712,10
59,34.31492361866597,8.212606464463322,10
60,35.11205352641271,8.161116386801517,10
61,35.820654622335844,8.39531400650548,10
62,36.528913357756075,8.475358070903091,10
63,37.14967919903416,8.597591754739565,10
64,37.857359094967926,8.604815514756162,10
65,38.476330190854824,8.639823606178389,10
66,39.36014827340043,8.639727986803843,10
67,40.15531754586998,8.65888354579574,10
68,40.86298685632332,8.803794308848232,10
69,41.74723377315956,8.804299626120791,10
70,42.63076419997019,8.803876415592548,10
71,43.338549988203695,8.805701043170307,10
72,43.958172272783074,8.785701631361029,10
73,44.7533291903207,8.816516629660335,10
74,45.54917788877939,8.895054347362748,10
75,46.257080151566285,8.874249179351377,10
76,46.96401885919627,8.936045238949959,10
77,47.5827675879896,8.861870589547367,10
78,48.378955114065874,8.962106147192253,10
79,48.99798973252263,8.738986923188575,10
80,49.61842733342136,8.650498321651703,10
81,50.32564134783338,8.660472434075993,10
82,50.85620715905115,8.537890602014672,10
83,51.562997617275585,8.616336476310833,10
84,52.35825865328545,8.553024244772926,10
85,53.24390677738232,8.552712201211673,10
86,53.95151255941862,8.5651687402229,10
87,54.57046776400513,8.50476581125064,10
88,55.18910531464055,8.727712864704246,10
89,55.720002891607635,8.940943739427283,10
90,56.604158035618276,8.941859422337735,10
91,57.31138262970937,8.880918685682854,10
92,57.930565475590456,9.058000274216615,10
93,58.72562532857938,8.981103463754238,10
94,59.43311110762922,9.272234221060387,10
95,60.140018043005625,9.329940251774541,10
96,60.93590909892557,9.24014681655915,10
97,61.64426137132982,9.113927063956424,10
98,62.26342305847103,9.2194408679251,10
99,62.79573421171115,9.168149801465486,10
100,63.50379529998338,9.279186796975301,10
101,64.12296756656704,9.404522513885393,10
102,64.74185570435898,9.260232172995401,10
103,65.36081973243492,9.133951983422621,10
104,65.89119847342685,9.017903294185325,10
105,66.51047133273646,8.799090439924944,10
106,67.21836300526766,8.791625928046527,10
107,67.74882647262518,8.803696209437739,10
108,68.54423573862036,8.795451734359721,10
109,69.25201623562808,8.87052352139881,10
110,69.87195263461923,8.62154404084365,10
111,70.57951606482332,8.599946422825372,10
112,71.10988774965114,8.614484675210969,10
113,71.81771588906365,8.692482812423856,10
114,72.52530401466717,8.634875988807964,10
115,73.23320626599273,8.59375590335355,10
116,73.8526591301073,8.758257164106475,10
117,74.29564732828808,8.716573532303276,10
118,74.82695785632582,8.60945160788385,10
119,75.44605071141696,8.856622978455094,10
120,75.9774000718517,9.034847926498086,10
121,76.59769295207022,8.897622336341328,10
122,77.39297516716127,8.878861618995069,10
123,78.10052271300698,8.847961212600634,10
124,78.63124030144986,8.782845243688286,10
125,79.25197967101163,8.91825498580011,10
126,80.04758659721927,8.928623724128416,10
127,80.75519237214637,9.042691357235404,10
128,81.46234460416625,9.0563290523146,10
129,82.17053275237062,9.190377835348563,10
130,82.96555024767437,9.231770963781269,10
131,83.58439603599527,9.486028814707977,10
132,84.20362653592443,9.626930406556252,10
133,84.8226664387516,9.74933587221682,10
134,85.61821336397065,9.929469623442728,10
135,86.50156731194372,9.929912885131698,10
136,87.29666598752908,9.844922119018566,10
137,87.91508823130178,9.74912310080375,10
138,88.5350863954225,9.788136038646087,10
139,89.15520633387358,9.693278762344567,10
140,89.8632568342448,9.453940802515234,10
141,90.48202850465127,9.443649200926409,10
142,91.27757189829512,9.48682997517722,10
143,91.89621649869272,9.42846177717452,10
