t,cum_regret_mean,cum_regret_sd,n_runs
1,0.0,0.0,10
2,0.26464533623727193,0.4181702757568758,10
3,0.6976672027796291,0.7884216657629545,10
4,1.044146117135836,0.9700932005382922,10
5,1.4725609939186877,1.2120515751994971,10
6,2.072756442929314,1.5193476884243091,10
7,2.5879702048002833,1.8479859058893249,10
8,2.9312242255919037,2.179508625460924,10
9,3.2748365655965763,2.4466322427917104,10
10,3.788770613915438,2.8285671995583863,10
11,4.049218468282318,2.968271306592219,10
12,4.654694889804361,3.3388711382877947,10
13,5.1759318619503345,3.620820794507125,10
14,5.8667909564714,3.8812271366577624,10
15,6.38604863950414,4.095757452047385,10
16,6.90658604090537,4.11584913954992,10
17,7.425485397959674,4.4099729017153395,10
18,7.856818027749007,4.771599917115489,10
19,8.37413052678434,5.079560695181113,10
20,8.976808634272675,5.271884302819066,10
21,9.666439191190332,5.308067402544057,10
22,10.270448210686489,5.656139401657418,10
23,11.044574175529407,5.57121273928463,10
24,11.47467827544594,5.588462317483569,10
25,11.905499025744188,5.768752183580334,10
26,12.509354494615183,6.110974848162019,10
27,13.11689553269479,6.149202447918572,10
28,13.724001459109413,5.990342958001077,10
29,14.413094531601056,5.997729701363861,10
30,14.673491192524668,5.898815106815442,10
31,15.022017639110539,6.036158926447467,10
32,15.539023009058601,6.0210906169639795,10
33,16.142776080245138,6.025084933445554,10
34,16.83348161198642,6.123905654925176,10
35,17.440459567085888,6.265656858592177,10
36,18.043547186513933,6.3906313253579174,10
37,18.563521502200974,6.310378738246826,10
38,19.168221569131152,6.4758143156622285,10
39,19.85488319155292,6.591602693689409,10
40,20.37306590192305,6.779648044927707,10
41,21.062747665699842,6.786914349027091,10
42,21.668710403188623,6.682102784599345,10
43,22.44537873649915,6.713732173278849,10
44,23.048312795829382,6.798010592288602,10
45,23.567979974774506,7.0128083139228625,10
46,24.177235832599358,6.949825021725067,10
47,24.869169888945514,6.891443647916268,10
48,25.558774864635907,6.981177375077352,10
49,26.339222640184147,7.009911326820474,10
50,27.0355589233603,7.004397181763419,10
51,27.641205989877438,7.0979807933168555,10
52,28.247902413515114,7.293704662264239,10
53,28.77839601376047,7.55988550783831,10
54,29.638988141881818,7.560157495894971,10
55,30.332176323835505,7.453220194804757,10
56,31.11216338866108,7.340385325895733,10
57,31.71865505593994,7.524687337373196,10
58,32.321358759314016,7.436365354457139,10
59,32.84688705346278,7.579739464322698,10
60,33.4583696251059,7.382050653019506,10
61,34.31955042283489,7.383629634959949,10
62,34.844131725526324,7.034275146123997,10
63,35.54057038633617,7.24801197294197,10
64,36.22989381951716,7.217339157105051,10
65,36.91805697616343,7.4571894203625835,10
66,37.69163693078552,7.553419603422833,10
67,38.29767643756711,7.715342175422739,10
68,38.81947647840182,7.894013710746155,10
69,39.51209305494435,8.026985076536297,10
70,40.287712029646364,7.9175729983994945,10
71,40.64089666456162,7.761108418112443,10
72,41.33237002687082,7.831125084248035,10
73,42.02350213713223,7.822187182425219,10
74,42.6268798359097,7.887678349450161,10
75,43.151222250664354,7.727320171499077,10
76,43.75953112022337,7.898718279755115,10
77,44.454570617941194,7.784951747126079,10
78,45.144013492382214,8.044341778508452,10
79,45.8368177526344,8.04423835659529,10
80,46.444290531605965,8.250222131279441,10
81,47.13737633594612,8.274338892902813,10
82,47.82756997555955,8.06975475018697,10
