t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.3,0.48304589153964794,10
3,0.6,0.8432740427115679,10
4,0.7,0.9486832980505138,10
5,1.0,0.9428090415820634,10
6,1.0,1.0540925533894598,10
7,1.0,1.247219128924647,10
8,1.3,1.6363916944844772,10
9,1.2,1.6193277068654828,10
10,1.4,1.577621275493231,10
11,1.3,1.4944341180973262,10
12,1.7,1.4944341180973262,10
13,2.0,1.632993161855452,10
14,2.4,1.7126976771553508,10
15,2.5,1.7795130420052185,10
16,2.9,1.66332999331662,10
17,3.1,2.0789954839350235,10
18,3.0,2.449489742783178,10
19,3.0,2.5385910352879693,10
20,3.2,2.7406406388125952,10
21,3.1,2.6012817353502227,10
22,3.1,2.884826203122507,10
23,3.3,2.6267851073127395,10
24,2.9,2.6853512081497106,10
25,2.9,2.8460498941515415,10
26,3.2,3.084008934992101,10
27,3.4,3.238655413730965,10
28,3.5,3.100179206289712,10
29,3.7,3.4334951418181574,10
30,3.4,3.134042472944842,10
31,3.4,3.169297153067923,10
32,3.4,3.339993346633426,10
33,3.6,3.2727833889689544,10
34,3.8,3.0840089349921005,10
35,3.8,3.3928028399998595,10
36,3.7,3.7431418769679454,10
37,3.7,3.9171985454460234,10
38,4.0,3.711842908553348,10
39,4.2,3.705851229249946,10
40,4.3,3.9171985454460234,10
41,4.3,3.7727090178455764,10
42,4.5,3.4075080500434787,10
43,4.9,3.381321240777536,10
44,5.3,3.560586718193756,10
45,5.1,3.446415206816755,10
46,5.3,3.3681514877517675,10
47,5.5,3.4399612400917157,10
48,5.7,3.497618237219913,10
49,5.7,3.1640339933558095,10
50,5.6,3.3065591380365986,10
51,5.8,3.489667287547307,10
52,5.8,3.489667287547307,10
53,5.9,3.5418137224371984,10
54,6.2,3.6453928305312844,10
55,6.2,3.359894178227774,10
56,6.4,3.3065591380365986,10
57,6.4,3.470510689285432,10
58,6.4,3.3730961708462712,10
59,6.0,3.6514837167011076,10
60,6.2,3.359894178227774,10
61,6.3,3.1640339933558095,10
62,6.1,2.960855732160327,10
63,6.4,3.1340424729448424,10
64,6.5,3.0276503540974917,10
65,6.7,3.4657049948186747,10
66,6.9,3.4140233677518315,10
67,7.1,3.446415206816755,10
68,7.0,3.4318767136623336,10
69,7.1,3.4785054261852175,10
70,7.4,3.3399933466334266,10
71,7.1,3.0349812373573433,10
72,7.1,3.0713731999438516,10
73,7.1,2.7264140062238043,10
74,6.9,2.923088169119167,10
75,6.8,2.7406406388125957,10
76,6.7,3.1989581637360205,10
77,6.9,2.960855732160327,10
78,6.9,2.8067379246694513,10
79,7.0,3.1269438398822866,10
80,7.0,3.1269438398822866,10
81,6.7,3.19895816373602,10
82,6.7,2.9078437983419185,10
83,7.1,3.142893217686178,10
84,7.3,3.3349995835415367,10
85,7.3,3.020301677353145,10
86,7.1,3.212821536005731,10
87,7.6,3.2041639575194445,10
88,8.0,3.1269438398822866,10
89,7.8,3.32665998663324,10
90,8.3,3.368151487751767,10
91,8.2,3.614784456460256,10
92,8.3,3.560586718193756,10
93,8.4,3.9496835316262997,10
94,8.5,4.006938426723769,10
95,8.9,3.7549966711037173,10
96,9.0,3.681787005729087,10
97,9.1,3.6953424138441564,10
98,9.2,3.675746333890726,10
99,8.8,3.9665266081716046,10
100,9.2,4.1041983924323695,10
101,9.3,3.8600518131237562,10
102,9.7,4.270050741306634,10
103,10.0,4.371625682868,10
104,10.2,4.8488257455915145,10
105,10.7,4.831608887776871,10
106,10.7,4.715223571935199,10
107,10.5,4.813176359397884,10
108,10.5,4.972144630058766,10
109,10.8,4.871686908385363,10
110,10.9,4.724639903973871,10
111,10.7,4.571651780264984,10
112,11.0,4.876246279442598,10
113,11.1,4.748099034818507,10
114,10.9,4.998888765404656,10
115,11.2,5.138093031466052,10
116,11.1,5.384133067531753,10
117,11.4,5.337498373666159,10
118,11.5,5.296749527356901,10
119,11.8,5.370702416299422,10
120,11.9,5.1305187088853135,10
121,12.1,5.173651192984184,10
122,12.1,5.173651192984184,10
123,12.4,5.211099265563414,10
124,12.3,5.034326612809746,10
125,12.7,5.121848624601602,10
126,12.8,4.541169697580373,10
127,12.8,4.962078417580905,10
128,12.9,4.931756504757937,10
129,12.9,5.173651192984184,10
130,12.7,5.313504806936128,10
131,13.2,5.411920998027308,10
132,13.7,5.271516754112509,10
133,14.1,5.152130088074683,10
134,14.0,5.395471352079548,10
135,14.4,5.232377832092956,10
136,14.3,5.1650535116083525,10
137,14.4,4.880801391392834,10
138,14.3,4.922736366426028,10
139,14.6,4.477102237434885,10
140,14.7,4.738729318662922,10
141,15.0,4.784233364802441,10
142,14.9,4.840798832148815,10
143,15.0,5.011098792790969,10
144,15.0,4.737556801183965,10
145,15.0,4.714045207910317,10
146,15.1,4.909175083453431,10
147,15.2,4.9396356140913875,10
148,15.0,4.737556801183965,10
149,14.8,5.072803301265814,10
150,15.0,4.876246279442598,10
151,15.2,5.050852513300217,10
152,14.9,5.23768396653839,10
153,15.1,5.526702854726717,10
154,15.0,5.617433182117573,10
155,14.9,5.526702854726717,10
156,14.8,5.245103536738918,10
157,14.8,5.245103536738918,10
158,15.2,5.0508525133002165,10
159,15.2,5.138093031466052,10
160,14.9,5.4456914671651715,10
161,15.0,5.477225575051661,10
162,15.0,5.811865258054231,10
163,15.3,5.774464862170732,10
164,15.3,5.638163609624049,10
165,15.0,5.497474167490214,10
166,15.2,5.788878225624643,10
167,15.2,5.513619500836089,10
168,15.2,5.072803301265814,10
169,15.4,5.125101625008686,10
170,15.0,5.120763831912406,10
171,14.9,5.152130088074684,10
172,14.7,5.2925524193068805,10
173,14.7,5.355163655555055,10
174,14.7,5.774464862170731,10
175,14.8,5.827139568909908,10
176,15.0,5.849976258261415,10
177,14.7,6.254775952999613,10
178,15.0,6.6332495807108,10
179,15.4,7.011102306738617,10
180,16.1,7.078135347674555,10
181,16.5,7.05927286151579,10
182,16.7,7.04035983928852,10
