Q_diff,Q_router,Q_oracle
0,1,1
1,2,1
2,2,0
1,2,1
2,3,1
3,3,0
2,2,0
2,2,0
2,3,1
3,3,0
3,3,0
3,4,1
4,5,1
5,5,0
5,6,1
5,6,1
6,7,1
7,7,0
7,8,1
7,7,0
7,8,1
8,8,0
7,8,1
7,7,0
7,8,1
8,9,1
8,9,1
8,9,1
7,9,2
8,10,2
8,11,3
8,10,2
8,9,1
7,9,2
8,10,2
8,9,1
8,10,2
9,10,1
9,10,1
9,9,0
8,9,1
9,9,0
8,8,0
8,8,0
7,8,1
8,8,0
7,7,0
7,7,0
7,7,0
7,7,0
7,7,0
7,7,0
7,7,0
7,8,1
8,8,0
7,8,1
7,8,1
7,8,1
8,9,1
9,9,0
8,8,0
8,8,0
8,9,1
9,9,0
9,9,0
9,9,0
9,10,1
10,11,1
11,11,0
11,11,0
11,11,0
11,12,1
11,13,2
12,13,1
12,13,1
12,13,1
11,13,2
12,14,2
13,14,1
13,14,1
13,14,1
13,13,0
12,13,1
13,13,0
12,13,1
12,13,1
12,13,1
12,13,1
12,12,0
12,12,0
12,12,0
11,12,1
12,13,1
12,13,1
12,12,0
11,12,1
11,12,1
11,13,2
11,12,1
11,13,2
12,13,1
12,14,2
12,13,1
12,14,2
13,15,2
13,15,2
13,15,2
13,14,1
13,15,2
13,14,1
13,14,1
13,15,2
13,15,2
13,16,3
13,16,3
13,16,3
13,17,4
14,18,4
15,18,3
15,18,3
14,17,3
14,18,4
14,18,4
15,19,4
16,20,4
16,19,3
16,20,4
16,19,3
16,19,3
16,20,4
16,20,4
16,20,4
16,19,3
16,20,4
16,21,5
17,21,4
17,22,5
17,22,5
17,22,5
17,21,4
16,21,5
16,20,4
16,21,5
17,21,4
17,21,4
17,21,4
17,20,3
16,19,3
16,20,4
16,19,3
16,18,2
16,18,2
16,18,2
17,19,2
18,19,1
18,19,1
18,20,2
18,19,1
17,19,2
17,18,1
17,18,1
17,18,1
17,19,2
18,19,1
18,19,1
18,19,1
19,19,0
19,19,0
19,20,1
19,20,1
19,20,1
19,20,1
19,19,0
19,19,0
19,19,0
19,20,1
19,19,0
19,20,1
20,20,0
20,21,1
20,20,0
19,20,1
20,20,0
20,20,0
20,21,1
20,21,1
20,21,1
20,21,1
20,22,2
21,22,1
21,22,1
21,22,1
21,23,2
21,22,1
20,22,2
21,22,1
21,22,1
21,21,0
21,22,1
21,22,1
21,22,1
21,22,1
22,22,0
22,22,0
22,23,1
22,22,0
21,21,0
21,22,1
22,23,1
22,23,1
22,23,1
22,23,1
22,23,1
23,24,1
24,24,0
24,24,0
23,23,0
23,23,0
23,23,0
23,23,0
23,23,0
23,23,0
23,23,0
23,23,0
23,24,1
24,24,0
23,24,1
24,25,1
25,26,1
25,27,2
26,27,1
26,28,2
27,28,1
27,29,2
28,30,2
29,30,1
29,30,1
29,31,2
29,31,2
30,32,2
30,31,1
30,31,1
30,31,1
30,31,1
30,32,2
30,32,2
31,33,2
31,33,2
31,32,1
30,31,1
30,31,1
30,32,2
30,31,1
30,32,2
30,31,1
30,30,0
29,29,0
28,29,1
28,28,0
28,28,0
27,28,1
27,28,1
28,28,0
28,29,1
28,29,1
28,30,2
29,31,2
30,31,1
31,32,1
32,33,1
32,32,0
32,33,1
32,33,1
32,33,1
32,33,1
32,34,2
32,34,2
32,33,1
31,32,1
31,31,0
31,32,1
31,31,0
30,30,0
29,29,0
28,28,0
28,28,0
28,28,0
28,28,0
28,29,1
28,28,0
27,27,0
26,27,1
27,27,0
26,27,1
27,28,1
27,28,1
27,28,1
27,28,1
28,29,1
29,29,0
29,30,1
30,31,1
31,31,0
31,32,1
31,31,0
31,31,0
30,30,0
30,31,1
30,31,1
31,31,0
31,31,0
31,32,1
32,33,1
32,33,1
32,33,1
32,34,2
32,33,1
32,33,1
32,34,2
32,34,2
32,35,3
32,35,3
33,36,3
34,37,3
35,37,2
35,38,3
36,38,2
36,38,2
36,38,2
36,38,2
36,39,3
36,38,2
35,37,2
35,38,3
36,38,2
36,38,2
35,38,3
35,37,2
35,36,1
34,36,2
35,36,1
34,36,2
34,36,2
33,35,2
33,35,2
33,35,2
33,35,2
33,36,3
34,37,3
34,36,2
34,37,3
34,37,3
34,37,3
34,37,3
34,37,3
34,38,4
34,37,3
34,37,3
34,38,4
34,38,4
34,37,3
34,38,4
35,39,4
35,39,4
36,40,4
36,40,4
37,40,3
36,39,3
36,38,2
36,38,2
36,39,3
36,39,3
37,40,3
37,40,3
37,40,3
36,39,3
36,39,3
36,40,4
36,39,3
36,39,3
36,40,4
35,39,4
35,40,5
35,39,4
35,39,4
34,39,5
35,39,4
34,39,5
35,40,5
35,39,4
35,40,5
36,41,5
36,42,6
36,42,6
36,42,6
37,42,5
36,42,6
37,43,6
37,42,5
37,42,5
36,42,6
36,42,6
36,43,7
37,43,6
37,43,6
37,43,6
37,42,5
37,42,5
37,43,6
38,43,5
38,42,4
38,42,4
38,41,3
38,42,4
38,42,4
37,41,4
37,42,5
37,41,4
37,40,3
37,40,3
37,40,3
37,40,3
38,40,2
38,40,2
37,39,2
37,39,2
37,39,2
36,38,2
36,38,2
36,38,2
37,39,2
37,39,2
37,38,1
36,38,2
36,37,1
36,38,2
36,39,3
36,39,3
36,38,2
36,38,2
