Q_diff,Q_router,Q_oracle
0,0,0
0,0,0
0,1,1
0,2,2
1,2,1
0,2,2
1,3,2
1,3,2
2,4,2
2,4,2
2,4,2
3,5,2
4,6,2
4,6,2
4,6,2
5,6,1
4,6,2
4,6,2
4,6,2
5,7,2
5,7,2
6,8,2
6,8,2
5,8,3
6,9,3
6,8,2
6,9,3
7,9,2
7,9,2
7,9,2
7,10,3
8,11,3
8,10,2
7,9,2
6,9,3
6,10,4
6,10,4
6,10,4
6,9,3
6,10,4
7,11,4
7,12,5
7,12,5
7,12,5
7,12,5
6,12,6
5,11,6
4,11,7
5,11,6
4,10,6
5,10,5
5,11,6
5,10,5
4,9,5
4,10,6
4,10,6
4,10,6
4,10,6
4,10,6
5,11,6
6,11,5
6,12,6
7,12,5
7,12,5
7,13,6
8,13,5
8,13,5
8,14,6
8,13,5
8,13,5
8,13,5
9,13,4
9,14,5
10,14,4
9,13,4
9,13,4
9,13,4
9,13,4
10,13,3
10,13,3
10,12,2
10,13,3
10,13,3
11,13,2
11,13,2
11,13,2
11,13,2
11,13,2
12,14,2
13,15,2
13,14,1
13,15,2
14,16,2
14,17,3
14,17,3
14,17,3
14,17,3
14,17,3
13,17,4
13,16,3
13,16,3
13,16,3
12,15,3
12,16,4
11,16,5
12,17,5
12,16,4
12,17,5
13,18,5
12,18,6
13,19,6
14,20,6
15,21,6
16,21,5
16,22,6
17,22,5
16,21,5
16,21,5
16,22,6
17,23,6
18,23,5
18,23,5
17,23,6
18,23,5
18,22,4
18,22,4
18,22,4
18,22,4
18,23,5
18,22,4
18,23,5
19,24,5
20,25,5
21,26,5
22,27,5
23,27,4
23,27,4
22,26,4
22,26,4
22,27,5
23,28,5
24,28,4
24,28,4
23,27,4
23,28,5
23,28,5
24,28,4
24,29,5
24,29,5
25,30,5
26,30,4
26,30,4
25,30,5
26,30,4
26,31,5
27,32,5
28,32,4
27,31,4
27,32,5
28,32,4
28,33,5
29,34,5
29,34,5
28,33,5
28,33,5
29,34,5
29,34,5
30,34,4
29,33,4
29,33,4
30,34,4
31,34,3
31,35,4
32,35,3
32,35,3
32,36,4
32,36,4
33,36,3
33,36,3
33,37,4
34,38,4
35,39,4
