Q_diff,Q_router,Q_oracle
0,1,1
1,2,1
2,3,1
3,4,1
4,5,1
4,5,1
5,6,1
6,7,1
7,8,1
8,9,1
9,9,0
9,10,1
10,10,0
10,11,1
11,11,0
11,12,1
12,12,0
12,12,0
12,13,1
12,14,2
12,14,2
11,13,2
10,13,3
9,12,3
8,12,4
8,12,4
8,11,3
8,10,2
8,10,2
8,10,2
8,9,1
8,9,1
7,8,1
6,8,2
7,8,1
7,7,0
7,8,1
8,9,1
8,9,1
9,10,1
9,10,1
9,9,0
9,9,0
9,9,0
9,10,1
9,10,1
9,10,1
10,11,1
11,12,1
11,12,1
12,12,0
12,12,0
12,12,0
12,13,1
12,14,2
13,15,2
14,15,1
14,16,2
14,15,1
14,16,2
14,16,2
14,17,3
14,16,2
14,17,3
14,16,2
13,16,3
14,16,2
14,15,1
13,15,2
13,14,1
13,14,1
12,13,1
12,14,2
12,14,2
13,14,1
12,13,1
12,13,1
11,13,2
11,13,2
11,12,1
11,12,1
11,13,2
12,13,1
11,12,1
11,13,2
11,13,2
11,13,2
11,13,2
11,14,3
11,14,3
11,14,3
12,14,2
12,14,2
12,15,3
13,15,2
13,16,3
13,15,2
12,15,3
12,15,3
12,16,4
12,15,3
12,16,4
12,16,4
12,16,4
12,16,4
12,16,4
12,16,4
12,17,5
12,17,5
12,18,6
13,19,6
14,20,6
14,19,5
14,20,6
14,20,6
15,21,6
15,21,6
16,21,5
15,20,5
14,19,5
14,19,5
14,20,6
14,20,6
14,21,7
14,21,7
14,22,8
14,22,8
14,21,7
14,21,7
14,22,8
15,23,8
16,24,8
16,24,8
17,25,8
18,26,8
19,26,7
19,26,7
19,26,7
19,25,6
19,25,6
19,26,7
19,26,7
19,25,6
19,25,6
19,26,7
20,27,7
21,28,7
22,28,6
22,29,7
21,29,8
21,28,7
21,28,7
21,28,7
21,28,7
21,28,7
21,28,7
21,28,7
21,28,7
21,29,8
21,29,8
22,29,7
22,30,8
23,30,7
23,30,7
22,30,8
22,30,8
23,31,8
24,32,8
25,32,7
25,33,8
26,34,8
27,35,8
27,34,7
27,33,6
27,33,6
27,33,6
27,34,7
27,33,6
27,33,6
27,34,7
27,34,7
27,33,6
27,34,7
27,34,7
28,35,7
28,34,6
28,35,7
29,36,7
29,35,6
29,35,6
28,34,6
28,35,7
28,34,6
28,34,6
28,34,6
28,34,6
28,35,7
28,36,8
29,37,8
29,36,7
29,35,6
29,34,5
29,35,6
29,35,6
29,35,6
29,34,5
29,34,5
29,34,5
29,34,5
29,35,6
30,35,5
29,35,6
29,35,6
29,35,6
30,35,5
29,34,5
29,35,6
29,36,7
29,36,7
29,36,7
29,35,6
30,35,5
30,36,6
30,36,6
30,35,5
30,35,5
30,36,6
30,36,6
31,37,6
31,37,6
32,37,5
32,37,5
32,37,5
32,38,6
32,38,6
32,37,5
32,38,6
32,38,6
32,37,5
32,37,5
32,38,6
33,38,5
33,39,6
34,40,6
34,40,6
35,41,6
36,41,5
36,41,5
35,41,6
35,41,6
35,41,6
36,42,6
36,42,6
36,42,6
37,43,6
37,42,5
37,42,5
38,42,4
38,42,4
38,42,4
38,43,5
39,44,5
39,43,4
39,44,5
39,43,4
39,44,5
39,43,4
38,43,5
39,43,4
39,43,4
39,44,5
39,44,5
40,45,5
40,45,5
40,45,5
40,46,6
40,46,6
40,46,6
41,47,6
42,47,5
42,47,5
42,47,5
42,47,5
43,47,4
43,48,5
43,49,6
43,49,6
44,49,5
44,48,4
44,48,4
44,48,4
43,47,4
43,47,4
43,46,3
43,46,3
43,47,4
43,47,4
44,48,4
44,48,4
44,48,4
45,48,3
45,49,4
45,48,3
45,48,3
44,47,3
44,48,4
43,48,5
43,47,4
43,47,4
43,48,5
43,48,5
44,48,4
44,49,5
45,49,4
44,49,5
45,49,4
45,50,5
45,49,4
45,48,3
45,47,2
45,48,3
46,48,2
45,48,3
46,48,2
46,48,2
46,49,3
47,50,3
48,50,2
48,49,1
48,49,1
48,49,1
48,49,1
48,49,1
48,50,2
48,51,3
48,50,2
48,50,2
48,51,3
49,52,3
49,51,2
49,51,2
49,51,2
49,51,2
49,51,2
49,52,3
49,52,3
50,53,3
50,52,2
50,53,3
51,54,3
51,53,2
51,54,3
51,54,3
51,53,2
51,53,2
51,54,3
52,55,3
52,56,4
52,55,3
52,56,4
53,57,4
53,57,4
54,58,4
55,59,4
55,58,3
55,58,3
55,59,4
56,60,4
56,60,4
56,59,3
56,59,3
56,60,4
56,60,4
56,60,4
57,61,4
57,61,4
57,60,3
56,59,3
56,59,3
56,60,4
56,60,4
57,60,3
56,60,4
57,61,4
57,60,3
57,61,4
58,62,4
59,62,3
59,63,4
60,63,3
60,64,4
60,64,4
61,64,3
61,64,3
61,65,4
61,66,5
61,65,4
61,66,5
62,66,4
62,67,5
63,67,4
63,68,5
64,69,5
64,69,5
64,69,5
64,68,4
64,69,5
65,70,5
65,70,5
65,69,4
65,70,5
65,70,5
65,70,5
65,71,6
65,70,5
65,70,5
65,71,6
65,70,5
64,69,5
64,70,6
65,70,5
64,70,6
65,71,6
65,71,6
65,72,7
65,71,6
65,72,7
66,73,7
67,74,7
67,74,7
67,74,7
67,75,8
68,76,8
69,77,8
69,76,7
68,76,8
68,76,8
68,76,8
69,77,8
70,77,7
