t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.0,0.0,10
4,0.2,0.42163702135578396,10
5,0.5,0.5270462766947299,10
6,0.4,0.5163977794943223,10
7,0.4,0.6992058987801011,10
8,0.6,0.699205898780101,10
9,0.6,0.5163977794943223,10
10,0.6,0.5163977794943223,10
11,0.8,0.6324555320336759,10
12,1.1,0.8755950357709131,10
13,1.2,1.2292725943057181,10
14,1.2,1.2292725943057181,10
15,1.3,1.3374935098492586,10
16,1.8,1.4757295747452437,10
17,1.6,1.349897115421106,10
18,1.7,1.494434118097326,10
19,1.6,1.7126976771553504,10
20,1.4,1.5055453054181622,10
21,1.3,1.3374935098492586,10
22,1.4,1.505545305418162,10
23,1.4,1.1737877907772671,10
24,1.3,0.9486832980505138,10
25,1.4,0.966091783079296,10
26,1.6,1.07496769977314,10
27,1.8,1.3165611772087666,10
28,1.8,1.3165611772087666,10
29,1.9,1.3703203194062976,10
30,1.8,1.3984117975602022,10
31,2.0,1.632993161855452,10
32,2.2,1.6865480854231356,10
33,2.4,1.837873166945363,10
34,2.1,1.9692073983655907,10
35,2.1,2.282785822435191,10
36,2.1,2.282785822435191,10
37,2.0,2.260776661041756,10
38,2.2,2.2010098692292237,10
39,2.2,2.043961295567452,10
40,2.4,1.8973665961010275,10
41,2.5,1.7795130420052185,10
42,2.7,1.828782229912694,10
43,2.5,1.8408935028645435,10
44,2.5,1.8408935028645435,10
45,2.6,1.7126976771553506,10
46,2.6,1.429840705968481,10
47,2.8,1.6865480854231354,10
48,2.8,1.6865480854231354,10
49,2.6,1.505545305418162,10
50,2.6,1.577621275493231,10
51,2.6,1.07496769977314,10
52,2.4,1.2649110640673518,10
53,2.2,1.3165611772087666,10
54,1.9,1.1972189997378648,10
55,1.5,1.1785113019775793,10
56,1.9,0.9944289260117531,10
57,1.7,1.0593499054713802,10
58,1.8,1.1352924243950935,10
59,1.6,1.3498971154211057,10
60,1.4,1.07496769977314,10
61,1.4,1.07496769977314,10
62,1.3,1.1595018087284057,10
63,1.2,1.1352924243950933,10
64,1.1,1.286683937707919,10
65,1.4,1.3498971154211057,10
66,1.4,1.3498971154211057,10
67,1.4,1.3498971154211057,10
68,1.3,1.4181364924121764,10
69,1.5,1.5811388300841898,10
70,1.6,1.6465452046971292,10
71,1.6,1.4298407059684812,10
72,1.5,1.35400640077266,10
73,1.7,1.4181364924121764,10
74,1.6,1.429840705968481,10
75,1.5,1.5811388300841898,10
76,1.6,1.6465452046971292,10
77,1.6,1.505545305418162,10
78,1.5,1.5811388300841898,10
79,1.6,1.577621275493231,10
80,1.3,1.5670212364724212,10
81,1.4,1.837873166945363,10
82,1.4,1.837873166945363,10
83,1.3,1.7029386365926402,10
84,1.1,1.449137674618944,10
85,1.2,1.6865480854231358,10
86,1.1,1.5951314818673865,10
87,0.9,1.370320319406298,10
88,1.1,1.7288403306519922,10
89,1.1,1.449137674618944,10
90,1.2,1.3984117975602017,10
91,1.3,1.4944341180973262,10
92,1.6,1.505545305418162,10
93,1.9,1.5951314818673867,10
94,1.8,1.9888578520235067,10
95,1.9,1.9692073983655907,10
96,1.8,1.932183566158592,10
97,1.9,1.8529256146249728,10
98,1.7,1.9465068427541912,10
99,1.7,1.9465068427541912,10
100,1.9,2.0789954839350235,10
101,2.1,2.2335820757001277,10
102,2.2,2.14993539954628,10
103,2.6,2.2211108331943574,10
104,2.7,2.496664441476534,10
105,2.9,2.8848262031225067,10
106,3.1,3.178049716414141,10
107,2.9,2.8848262031225067,10
108,3.0,3.2317865716108862,10
109,2.9,3.314949304120485,10
110,3.1,3.573047252229764,10
111,3.1,3.573047252229764,10
112,3.1,3.573047252229764,10
113,3.4,3.5023801430836525,10
114,3.5,3.3082388735465345,10
115,3.8,3.2930904093942583,10
116,3.7,3.400980250849256,10
117,3.9,3.725288952252936,10
118,3.7,3.529242915351047,10
119,3.8,3.521363372331802,10
120,3.6,3.3399933466334266,10
121,3.6,3.1692971530679235,10
122,3.4,2.951459149490487,10
123,3.4,2.836272984824353,10
124,3.5,2.8382310609877335,10
125,3.5,2.6770630673681683,10
126,3.2,2.5298221281347035,10
127,2.9,2.4698178070456938,10
128,3.1,2.4244128727957572,10
129,3.3,2.496664441476534,10
130,3.4,2.836272984824353,10
131,3.3,2.6267851073127395,10
132,3.2,2.573367875415838,10
133,3.6,2.3664319132398464,10
134,3.7,2.4060109910158114,10
135,3.7,2.263232692902394,10
136,3.7,2.263232692902394,10
137,3.7,2.1628170930011112,10
138,3.6,2.4129281427805145,10
139,3.5,2.718251071716682,10
140,3.5,2.4608038433722332,10
141,3.5,2.4608038433722332,10
142,3.5,2.4608038433722332,10
143,3.5,2.273030282830976,10
144,3.3,2.496664441476534,10
145,3.2,2.6583202716502514,10
146,3.3,2.5407785333546005,10
147,3.4,2.590581230363393,10
148,3.5,2.6770630673681683,10
149,3.6,2.8751811537130436,10
150,3.7,2.7507574714370344,10
151,3.6,2.836272984824353,10
152,3.5,2.9154759474226504,10
153,3.4,3.0258148581093915,10
