t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.2,0.42163702135578396,10
3,0.3,0.4830458915396479,10
4,0.5,0.8498365855987975,10
5,0.7,0.6749485577105528,10
6,0.7,0.6749485577105528,10
7,0.9,0.7378647873726218,10
8,1.1,0.9944289260117531,10
9,1.0,1.0540925533894598,10
10,1.1,0.9944289260117531,10
11,1.1,0.875595035770913,10
12,1.5,1.0801234497346435,10
13,1.7,1.4181364924121764,10
14,1.7,1.4181364924121764,10
15,2.0,1.4142135623730951,10
16,2.4,1.505545305418162,10
17,2.3,1.8287822299126937,10
18,2.3,2.0027758514399734,10
19,2.1,2.024845673131659,10
20,2.1,2.2335820757001272,10
21,1.7,2.0027758514399734,10
22,1.8,1.6865480854231358,10
23,1.6,1.505545305418162,10
24,1.7,1.636391694484477,10
25,1.8,1.8737959096740262,10
26,1.8,2.0976176963403033,10
27,2.2,2.3475755815545347,10
28,2.0,2.160246899469287,10
29,2.1,2.4698178070456938,10
30,2.0,2.211083193570267,10
31,2.1,2.2335820757001272,10
32,2.2,2.2997584414213788,10
33,2.3,2.2135943621178655,10
34,2.2,2.0976176963403033,10
35,2.4,2.2705848487901865,10
36,2.4,2.2705848487901865,10
37,2.4,2.2705848487901865,10
38,2.5,2.3213980461973533,10
39,2.7,2.406010991015812,10
40,3.0,2.260776661041756,10
41,3.0,2.0,10
42,3.3,2.2632326929023945,10
43,3.3,2.359378449224852,10
44,3.3,2.4517567397911058,10
45,3.4,2.3190036174568114,10
46,3.3,2.1628170930011112,10
47,3.3,2.2632326929023945,10
48,3.3,2.2632326929023945,10
49,3.2,2.1499353995462798,10
50,3.2,2.616188916046478,10
51,3.2,2.440400695696417,10
52,3.0,2.5385910352879693,10
53,2.8,2.7406406388125957,10
54,2.9,2.8067379246694513,10
55,2.7,2.6267851073127395,10
56,3.0,2.581988897471611,10
57,2.9,2.378141197564929,10
58,3.1,2.378141197564929,10
59,3.1,2.378141197564929,10
60,2.9,1.8529256146249728,10
61,2.8,1.6193277068654823,10
62,2.8,1.8135294011647258,10
63,2.5,1.509230856356236,10
64,2.4,1.6465452046971292,10
65,2.4,1.776388345929897,10
66,2.3,1.888562063228706,10
67,2.3,1.888562063228706,10
68,2.2,1.813529401164726,10
69,2.2,1.7511900715418263,10
70,2.4,1.6465452046971292,10
71,2.3,1.888562063228706,10
72,2.4,2.170509412813294,10
73,2.5,2.0138409955990952,10
74,2.4,2.0110804171997807,10
75,2.3,2.110818693198342,10
76,2.2,2.14993539954628,10
77,2.3,2.110818693198342,10
78,2.2,2.2010098692292237,10
79,2.2,2.097617696340303,10
80,2.0,2.0,10
81,2.1,2.183269719175042,10
82,2.4,2.1186998109427604,10
83,2.1,1.9692073983655907,10
84,2.2,2.250925735484551,10
85,1.9,2.1317702607092643,10
86,1.8,2.0976176963403033,10
87,1.7,2.110818693198342,10
88,1.9,2.2827858224351907,10
89,2.1,2.4244128727957577,10
90,2.3,2.5841396591085743,10
91,2.4,2.5473297566057065,10
92,2.8,2.616188916046478,10
93,3.0,2.788866755113585,10
94,2.9,2.6012817353502227,10
95,3.0,2.581988897471611,10
96,2.9,2.6012817353502227,10
97,2.7,2.4517567397911058,10
98,2.5,2.41522945769824,10
99,2.5,2.4608038433722332,10
100,2.6,2.5473297566057065,10
101,2.9,2.7264140062238043,10
102,3.1,2.7264140062238043,10
103,3.5,2.8771127502720115,10
104,3.6,3.0983866769659336,10
105,3.8,3.1198290551460244,10
106,3.9,3.3813212407775355,10
107,3.6,3.5023801430836525,10
108,3.5,3.719318934070233,10
109,3.4,3.806427312965386,10
110,3.4,3.687817782917155,10
111,3.3,3.7133393177689653,10
112,3.4,3.7475918193480524,10
113,3.7,3.8600518131237567,10
114,3.7,3.917198545446024,10
115,4.0,3.8873012632302,10
116,4.1,3.9001424475410014,10
117,4.6,4.033195589934446,10
118,4.4,4.221637386396685,10
119,4.4,4.221637386396685,10
120,4.2,3.9384147967311813,10
121,4.3,3.8887301554906357,10
122,4.3,3.560586718193755,10
123,4.3,3.560586718193755,10
124,4.4,3.5339622081862854,10
125,4.3,3.3015148038438356,10
126,3.9,3.3149493041204847,10
127,3.8,3.0477678535099892,10
128,3.9,3.034981237357343,10
129,4.1,2.923088169119167,10
130,3.9,2.923088169119167,10
131,4.0,2.9059326290271157,10
132,3.9,2.9981475762358474,10
133,4.3,3.0203016773531455,10
134,4.4,3.1340424729448424,10
135,4.5,3.2058973436118907,10
136,4.6,3.1340424729448424,10
137,4.7,3.3015148038438356,10
138,4.7,3.529242915351047,10
139,4.5,3.4721111093332766,10
140,4.7,3.3015148038438356,10
141,4.6,3.3399933466334266,10
142,4.6,3.272783388968954,10
143,4.5,3.1710495984067415,10
144,4.6,3.062315754094894,10
145,4.5,3.0276503540974917,10
146,4.6,2.988868236194653,10
147,4.5,2.6770630673681683,10
148,4.5,2.6352313834736494,10
149,4.6,2.836272984824353,10
