t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.3,0.4830458915396479,10
3,0.4,0.6992058987801011,10
4,0.6,1.07496769977314,10
5,0.7,0.9486832980505138,10
6,0.6,1.0749676997731399,10
7,1.2,1.1352924243950933,10
8,1.6,1.349897115421106,10
9,1.8,1.3984117975602022,10
10,1.8,1.3165611772087666,10
11,1.9,1.1005049346146119,10
12,2.0,0.9428090415820634,10
13,2.0,0.6666666666666666,10
14,2.0,0.9428090415820634,10
15,2.0,1.1547005383792515,10
16,2.0,1.4142135623730951,10
17,1.9,1.449137674618944,10
18,1.8,1.3165611772087666,10
19,1.7,1.4181364924121764,10
20,1.7,1.7669811040931427,10
21,1.5,1.6499158227686108,10
22,1.9,1.7288403306519922,10
23,2.0,1.8257418583505538,10
24,1.9,1.6633299933166201,10
25,2.2,1.6193277068654823,10
26,2.4,1.7126976771553504,10
27,2.5,1.8408935028645435,10
28,2.7,1.7029386365926402,10
29,2.6,1.837873166945363,10
30,2.7,2.0027758514399734,10
31,3.0,2.1081851067789197,10
32,3.0,2.160246899469287,10
33,3.2,2.250925735484551,10
34,3.3,2.4517567397911058,10
35,3.7,2.057506581601462,10
36,3.8,2.043961295567452,10
37,3.8,1.9888578520235063,10
38,4.2,2.250925735484551,10
39,4.3,2.2632326929023945,10
40,4.6,2.1186998109427604,10
41,4.6,2.0110804171997807,10
42,4.9,1.5238839267549946,10
43,5.0,1.3333333333333333,10
44,5.0,1.699673171197595,10
45,4.6,1.9550504398153572,10
46,4.3,1.636391694484477,10
47,4.4,1.776388345929897,10
48,4.8,1.3984117975602022,10
49,4.9,1.5951314818673865,10
50,5.2,1.8135294011647258,10
51,5.4,1.6465452046971292,10
52,5.4,1.8973665961010275,10
53,5.3,1.9465068427541912,10
54,5.7,2.263232692902394,10
55,5.6,1.7126976771553504,10
56,5.4,1.837873166945363,10
57,5.4,1.837873166945363,10
58,5.2,1.6193277068654826,10
59,5.5,1.6499158227686108,10
60,5.8,1.5491933384829668,10
61,5.5,1.7159383568311668,10
62,5.6,1.837873166945363,10
63,5.6,2.011080417199781,10
64,5.4,1.837873166945363,10
65,5.4,2.0655911179772892,10
66,5.7,2.110818693198342,10
67,6.1,2.1317702607092643,10
68,6.1,1.9692073983655907,10
69,6.2,1.8737959096740262,10
70,6.4,2.1705094128132942,10
71,6.5,2.173067468400883,10
72,6.4,2.3190036174568114,10
73,6.4,2.5473297566057065,10
74,6.3,2.94580681270476,10
75,6.4,3.4383458555273676,10
76,6.4,3.134042472944842,10
77,6.5,3.3416562759605704,10
78,6.4,3.7178249316263163,10
79,6.5,3.5039660069381067,10
80,6.4,3.596294389136314,10
81,6.9,3.8715486421958962,10
82,6.9,3.695342413844157,10
83,6.7,3.529242915351047,10
84,6.7,3.7133393177689658,10
85,6.7,3.973523485382827,10
86,7.1,3.8427420765212266,10
87,7.1,3.984692933938295,10
88,6.9,3.9846929339382946,10
89,7.0,4.396968652757639,10
90,7.0,4.396968652757639,10
91,7.2,4.442221666388715,10
92,7.5,4.648775226993784,10
93,7.8,4.491968140779471,10
94,7.9,4.748099034818508,10
95,7.9,4.931756504757936,10
96,7.4,5.059644256269407,10
97,7.7,4.967673276069772,10
98,8.0,5.270462766947299,10
99,8.1,5.279941077112299,10
100,8.2,5.513619500836089,10
101,8.6,5.146735750831676,10
102,8.4,4.971027168615266,10
103,8.5,5.1478150704935,10
104,8.6,5.440588203494178,10
105,8.6,5.146735750831676,10
106,8.6,5.168279318217149,10
107,8.6,5.232377832092956,10
108,8.7,5.2925524193068805,10
