t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,8
2,0.375,0.5175491695067657,8
3,0.375,0.5175491695067657,8
4,0.75,0.8864052604279183,8
5,0.875,0.8345229603962802,8
6,1.125,1.1259916264596033,8
7,1.375,1.3024701806293193,8
8,1.5,1.0690449676496976,8
9,1.5,1.0690449676496976,8
10,1.375,1.3024701806293193,8
11,1.75,1.6690459207925603,8
12,2.0,1.7728105208558367,8
13,2.25,1.6690459207925603,8
14,2.375,1.9226098333849673,8
15,2.5,1.7728105208558367,8
16,2.75,1.8322507626258087,8
17,2.5,2.0701966780270626,8
18,2.5,2.2677868380553634,8
19,2.625,2.326094212561969,8
20,2.75,2.3754698783308417,8
21,2.875,2.6423744732991303,8
22,3.125,2.356601669474803,8
23,3.25,2.3754698783308417,8
24,3.375,2.2638462845343543,8
25,3.5,2.2038926600773587,8
26,3.5,2.6186146828319083,8
27,3.25,2.7645717829090897,8
28,3.25,2.9154759474226504,8
29,3.625,3.020761493398643,8
30,3.75,3.058944729337694,8
31,3.875,2.850438562747845,8
32,3.875,3.313931631332013,8
33,4.0,3.3806170189140663,8
34,4.0,3.3806170189140663,8
35,3.875,3.044315545875155,8
36,4.0,3.116774889895918,8
37,4.25,3.1959796173138706,8
38,4.375,3.3354160160315836,8
39,4.5,3.3380918415851206,8
40,4.5,3.070597894314954,8
41,4.5,3.5050983275386565,8
42,5.0,3.854496446637726,8
43,4.75,3.882193783343198,8
44,4.625,3.6620642110310255,8
45,4.5,3.2071349029490928,8
46,4.375,3.020761493398643,8
47,4.5,2.878491668515698,8
48,4.875,3.044315545875155,8
49,4.875,3.044315545875155,8
50,5.0,2.9760952365713798,8
51,5.25,3.058944729337694,8
52,5.75,3.058944729337694,8
53,5.75,3.058944729337694,8
54,5.625,3.1594529363709247,8
55,5.625,3.2923070504261465,8
56,5.5,3.5050983275386565,8
57,5.5,3.5456210417116734,8
58,5.625,3.543101950067402,8
59,5.875,3.9798600118956085,8
60,6.0,3.7032803990902057,8
61,6.0,3.6645015252516173,8
62,6.25,3.8452196667699345,8
63,6.125,4.051013982414068,8
64,6.25,3.9188190640986296,8
65,6.125,3.6425069859723185,8
66,6.0,3.5456210417116734,8
67,6.0,3.5456210417116734,8
68,5.75,3.494894235064305,8
69,6.0,3.6645015252516173,8
70,6.25,3.9188190640986296,8
71,6.0,4.035556254807296,8
72,6.125,3.9798600118956085,8
73,6.25,3.8078865529319543,8
74,6.25,4.166190448976482,8
75,6.5,4.174754056057845,8
76,6.375,4.240535680446853,8
77,6.5,4.105745103771404,8
78,6.75,4.267819784654187,8
79,6.875,4.189698250300543,8
80,6.75,3.7321001364608946,8
81,7.25,3.770183777256185,8
82,7.5,3.625307868699863,8
83,7.375,3.7008686239082538,8
84,7.625,3.583194903195431,8
85,7.75,4.06201920231798,8
86,7.75,4.131758532565592,8
87,7.875,4.38951673226759,8
88,7.625,4.627171304989074,8
89,7.625,4.627171304989074,8
90,7.5,4.65985898008574,8
91,7.5,4.20883424647321,8
92,7.75,4.496029994816062,8
93,7.875,4.580626906564522,8
94,8.125,4.4860896112315904,8
95,8.25,4.399675312695569,8
96,8.125,4.086126352846737,8
97,8.0,4.174754056057845,8
98,8.25,4.432026302139591,8
99,8.375,4.405759217854998,8
100,8.0,4.4077853201547175,8
101,8.25,4.652188425123938,8
102,8.375,4.627171304989074,8
103,8.25,4.743416490252569,8
104,8.375,5.0691644845505435,8
105,8.375,4.657942525560891,8
106,8.875,4.882549100038393,8
107,9.0,4.898979485566356,8
108,9.0,4.898979485566356,8
109,9.0,4.9856938190329,8
110,9.0,5.0990195135927845,8
111,9.0,4.810702354423639,8
112,9.25,4.652188425123938,8
113,9.625,5.0124844139408555,8
114,9.75,4.949747468305833,8
115,10.25,4.891683905218266,8
116,10.25,4.367084676466507,8
117,10.5,4.7207747548166585,8
118,10.625,4.718883039751796,8
119,10.875,5.055054048036621,8
120,10.75,5.284748946598261,8
121,10.625,5.2355242608275905,8
122,11.0,5.398412465054624,8
123,11.25,5.444525428617001,8
124,11.5,5.477225575051661,8
125,11.5,5.477225575051661,8
126,11.75,5.8248237251071755,8
127,11.75,5.4707011825333165,8
128,11.75,5.4707011825333165,8
129,12.125,5.409977554746151,8
130,11.875,5.767829500154902,8
131,12.0,6.047431568147635,8
132,11.875,5.462534733462636,8
133,12.0,5.398412465054624,8
134,12.0,5.0709255283711,8
135,12.375,5.44944295973713,8
136,12.5,5.5549205986353085,8
137,12.625,5.578978401105349,8
138,12.25,5.444525428617001,8
139,12.25,5.311712126450916,8
140,12.375,5.2898150116183515,8
141,13.0,5.0426750270636544,8
142,13.25,5.230405611149374,8
143,13.375,5.262739645035518,8
144,13.75,5.311712126450916,8
145,13.875,5.303300858899107,8
146,14.0,5.31843156256751,8
147,14.0,5.529143565818179,8
148,14.25,5.800246300189083,8
149,14.25,5.800246300189083,8
150,14.125,5.667892024377317,8
151,14.25,5.67576300723398,8
152,14.375,6.13974173491268,8
153,14.375,6.254998001598402,8
154,14.875,6.512350903146596,8
155,15.25,6.798108980759702,8
156,15.625,6.631903411324901,8
157,15.75,6.562882641905809,8
158,15.75,6.923046397979103,8
159,15.875,6.8334785118143575,8
160,16.125,6.791538853603062,8
161,16.125,6.424006315599102,8
162,16.25,6.4309519401985,8
163,16.625,6.653409437488207,8
164,16.875,6.642665127793212,8
165,16.75,6.713525792862389,8
166,16.625,6.802048010919736,8
167,17.0,6.90755280213519,8
168,17.0,6.8452277432633934,8
169,17.125,6.7493385919341335,8
170,17.25,6.649382355849731,8
171,17.25,6.798108980759702,8
172,17.25,6.840008354213778,8
173,17.25,6.692212958783834,8
174,17.5,6.782329983125268,8
175,17.375,6.823017765517794,8
176,17.375,6.823017765517794,8
177,17.125,6.770471602058878,8
178,17.375,7.069805008424408,8
179,17.25,6.627863262664026,8
180,17.375,6.435115716575289,8
181,17.25,6.541078984824621,8
182,17.125,6.446205971621713,8
183,17.0,6.164414002968976,8
184,17.25,6.341473465550866,8
185,17.125,6.174544517614234,8
186,17.25,6.041522986797286,8
187,17.625,5.878228596147944,8
188,17.375,5.705573715987852,8
189,17.375,5.5533130394644346,8
190,17.5,5.855400437691199,8
191,17.5,5.631543812693436,8
192,17.5,5.631543812693436,8
193,17.375,5.423164600647327,8
194,17.25,5.599744892148468,8
195,17.125,5.514591035218685,8
196,17.0,5.451081150953975,8
197,16.75,5.284748946598261,8
198,16.75,5.67576300723398,8
199,16.625,5.475595205741825,8
200,16.75,5.311712126450916,8
201,16.5,5.1269595556932455,8
202,16.5,4.869731585445518,8
203,16.5,4.869731585445518,8
204,16.875,4.67325215607779,8
205,16.625,4.808846015417836,8
206,16.75,5.063877678504601,8
207,16.5,4.6291004988627575,8
208,16.625,4.438065859293728,8
209,16.5,4.20883424647321,8
210,16.625,4.438065859293728,8
211,16.75,4.131758532565592,8
212,16.875,4.4860896112315904,8
213,16.875,4.67325215607779,8
214,16.875,4.642582409453969,8
215,17.25,4.920801328471382,8
216,17.25,4.832922806867792,8
217,17.125,4.703721930556695,8
218,17.25,4.6827952580239325,8
219,17.625,4.838461975226661,8
220,17.75,4.862392121462145,8
221,17.875,4.823676724538776,8
222,17.875,4.580626906564522,8
223,18.5,4.242640687119285,8
224,18.75,4.234214381508266,8
225,18.875,4.257346591481601,8
226,18.75,4.496029994816062,8
227,18.75,4.496029994816062,8
228,18.75,4.496029994816062,8
229,19.0,4.503966505838413,8
230,19.125,4.703721930556695,8
231,19.125,5.0832357523811265,8
232,19.125,5.02671434864337,8
233,19.125,4.823676724538776,8
234,19.25,4.590362575159894,8
235,19.375,4.533604683755678,8
236,19.5,4.898979485566356,8
237,19.75,5.063877678504601,8
238,19.875,5.221863378417434,8
239,20.0,5.1269595556932455,8
240,20.125,5.356904756613521,8
241,20.125,5.356904756613521,8
242,20.125,5.693040864574423,8
243,20.75,5.284748946598261,8
244,20.875,5.540435774506241,8
245,21.0,5.264435935053794,8
246,21.25,4.949747468305833,8
247,21.25,5.063877678504601,8
248,21.75,4.949747468305833,8
249,21.875,5.02671434864337,8
250,21.875,5.166858675387646,8
251,22.0,5.3718844791323335,8
252,22.125,5.166858675387646,8
253,22.5,5.42481072744215,8
254,22.375,5.50162313711664,8
255,22.125,5.436319658424385,8
256,22.125,5.617256574927962,8
257,22.0,5.398412465054624,8
258,22.0,5.237229365663817,8
259,22.125,4.998213966722799,8
260,22.125,4.998213966722799,8
261,22.375,5.208166663999915,8
262,22.5,5.0990195135927845,8
263,22.875,5.276294695549683,8
264,23.0,5.451081150953975,8
265,23.25,5.1478150704935,8
266,23.125,5.221863378417434,8
267,23.5,4.898979485566356,8
268,23.625,5.2355242608275905,8
269,23.75,5.625198409199194,8
270,23.5,5.656854249492381,8
271,23.75,5.522680508593631,8
272,24.0,5.606119105813881,8
273,23.875,5.642631098546644,8
274,23.875,5.718079098038831,8
275,23.875,6.0812945050493035,8
276,23.875,6.0812945050493035,8
277,24.125,6.151364540838538,8
278,24.375,5.7802001942592165,8
279,24.625,5.578978401105349,8
280,25.0,5.732115042211108,8
281,25.125,5.817154434453817,8
282,25.25,5.873670062235365,8
283,25.25,6.041522986797286,8
284,25.625,6.093028803476971,8
285,25.625,6.41287766919033,8
286,25.625,6.41287766919033,8
287,26.0,6.782329983125268,8
288,26.375,6.864765108872991,8
289,26.5,6.458659745975609,8
290,26.75,6.250714244902623,8
291,27.125,6.151364540838538,8
292,27.25,6.497252166438187,8
293,27.25,6.713525792862389,8
294,27.0,6.611677980232077,8
295,27.0,6.301927142889365,8
296,27.125,6.311836952447814,8
297,27.0,6.391959234627741,8
298,27.125,6.664136424602537,8
299,27.125,6.728139203587954,8
300,27.125,6.8334785118143575,8
301,27.375,6.823017765517794,8
302,27.5,6.8868404532536855,8
303,27.25,6.923046397979103,8
304,27.125,7.100050301632678,8
305,27.5,7.0710678118654755,8
306,27.375,7.614600636746674,8
307,27.375,7.74481393302272,8
308,27.625,7.998883850709601,8
309,27.625,7.8909984883319515,8
310,27.625,7.927123419897391,8
311,27.625,8.087689057185266,8
312,27.75,8.259194011178433,8
313,27.875,8.339878382121135,8
314,27.875,8.458934414485753,8
315,28.25,8.74642784226795,8
316,28.25,8.74642784226795,8
317,28.25,8.413424646700907,8
318,28.25,8.08437646681195,8
319,28.125,7.827378689117906,8
320,28.375,7.8909984883319515,8
321,28.375,7.981004233267175,8
322,28.5,7.559289460184544,8
323,28.5,7.615773105863909,8
324,28.5,7.615773105863909,8
325,28.375,7.854707414756362,8
326,28.25,7.535629654230248,8
327,28.25,7.363035088486657,8
328,28.25,7.363035088486657,8
329,28.375,7.44383733605956,8
330,28.875,7.529703086538577,8
331,28.875,7.529703086538577,8
332,29.125,7.845608416724061,8
333,29.25,8.18971480403491,8
334,29.5,8.106434833777776,8
335,29.375,7.872873862646528,8
336,29.375,7.927123419897391,8
337,29.5,8.053393251117374,8
338,29.75,8.11964108988639,8
339,29.75,7.9417522355855805,8
340,30.125,8.253787009609589,8
341,30.125,8.078852464481397,8
342,30.0,7.892129895390362,8
343,30.125,7.936128959205669,8
344,30.25,8.102027964828135,8
345,30.25,8.172252705693474,8
346,30.375,8.19298480408697,8
347,30.25,8.172252705693474,8
348,30.5,8.0,8
349,30.375,7.8909984883319515,8
350,30.5,8.0,8
351,30.75,8.137216091163225,8
352,30.625,7.945124291035352,8
353,30.75,7.959720023791217,8
354,30.75,8.102027964828135,8
355,30.625,8.016723591521485,8
356,30.75,8.031189202104505,8
357,31.125,7.717096048940394,8
358,31.25,7.648529270389178,8
359,31.375,7.927123419897391,8
360,31.625,7.726346392146069,8
361,31.5,7.801098823700598,8
362,31.25,7.9417522355855805,8
363,31.5,8.12403840463596,8
364,31.875,7.827378689117906,8
365,32.125,7.972049386987729,8
366,32.25,8.066686343935071,8
367,32.5,8.071112509614592,8
368,32.625,7.799954212319821,8
369,33.0,8.035634920242991,8
370,33.25,8.172252705693474,8
371,33.125,7.936128959205669,8
372,33.625,7.909081579334697,8
373,33.625,7.909081579334697,8
374,33.375,8.14050717970675,8
375,33.5,8.263517065131184,8
376,33.75,8.18971480403491,8
377,33.875,8.47580590352833,8
378,34.125,8.54295867115971,8
379,33.875,8.442029207652455,8
380,34.0,8.55235974119758,8
381,33.875,8.391109240482708,8
382,33.75,7.977647343851265,8
383,34.0,8.176621726430962,8
384,34.25,8.154753215150045,8
385,34.5,8.017837257372731,8
386,34.25,8.08437646681195,8
387,34.25,8.241879119992687,8
388,34.375,8.227783940492639,8
389,34.5,8.652002245558126,8
390,34.75,8.73007936471861,8
391,34.75,8.73007936471861,8
392,34.75,8.940278039779939,8
393,34.875,8.592978861505811,8
394,34.75,8.447315719040153,8
395,35.0,8.141603913585719,8
396,35.125,8.061150219239366,8
397,35.25,8.241879119992687,8
398,35.25,8.46421036735602,8
399,35.25,8.362330502232702,8
400,35.125,8.442029207652455,8
401,35.375,8.210402808980463,8
402,35.75,8.031189202104505,8
403,36.125,8.043409014306594,8
404,36.5,8.053393251117374,8
405,36.375,8.14050717970675,8
406,36.375,7.998883850709601,8
407,36.125,7.900045207827249,8
408,36.25,7.573449864965296,8
409,36.5,7.270291799999699,8
410,36.5,7.653197277702214,8
411,36.625,7.836498853806736,8
412,36.5,7.727501906456298,8
413,36.625,7.539183358579741,8
414,36.875,7.567552916422662,8
415,36.75,7.166389806390862,8
416,36.875,7.239524451627626,8
417,36.875,6.957780844904091,8
418,36.875,7.100050301632678,8
419,36.875,7.140178069008003,8
420,37.0,7.329003050503235,8
421,37.125,7.059694449073962,8
422,37.375,7.327784697398564,8
423,37.375,7.229651246281327,8
424,37.25,7.629828681843762,8
425,37.125,7.661359446692772,8
426,37.375,7.36667205343479,8
427,37.5,7.521398046336104,8
428,37.375,7.46300399111702,8
429,37.25,8.031189202104505,8
430,37.0,8.28078671210825,8
431,36.75,8.362330502232702,8
432,36.875,8.391109240482708,8
433,37.25,8.49789889998026,8
434,37.5,8.518886580500327,8
435,37.625,8.716773649530133,8
436,37.75,8.74642784226795,8
437,38.0,8.992059989632123,8
438,37.875,9.078034714943223,8
439,37.625,9.395097505766353,8
440,37.75,9.37702359112802,8
441,37.75,9.37702359112802,8
442,37.75,9.498120114753535,8
443,37.75,9.70640436589604,8
444,37.875,9.93460762040598,8
445,38.0,9.9713876380658,8
446,38.25,10.38886766825776,8
447,38.375,10.308630226313152,8
448,38.375,10.308630226313152,8
449,38.25,10.646931147384342,8
450,38.375,10.689614452488787,8
451,38.5,11.263087625386872,8
452,38.375,11.173150214433068,8
453,38.5,10.770329614269007,8
454,38.625,10.377688980280174,8
455,38.375,10.18314433617773,8
456,38.5,10.26784161489509,8
457,38.5,10.127755357009201,8
458,38.125,10.105691465703869,8
459,37.875,10.048987155785545,8
460,37.875,10.273926777458142,8
461,38.0,10.2399776785471,8
462,38.25,10.292160678330447,8
463,38.375,9.94179489399604,8
464,38.625,9.679691553527341,8
465,39.0,9.812528434899656,8
466,39.0,9.812528434899656,8
467,39.125,9.789754119194502,8
468,39.25,9.779716618739888,8
469,39.125,9.68706796271636,8
470,39.25,9.996427933445599,8
471,39.25,9.967805317979623,8
472,39.25,10.039208847599213,8
473,39.25,9.996427933445599,8
474,39.25,9.967805317979623,8
475,39.25,9.967805317979623,8
476,39.75,9.881440033864353,8
477,39.75,9.881440033864353,8
478,39.875,9.905806378079475,8
479,40.0,9.561828874675149,8
480,39.75,9.558093055476226,8
481,39.875,9.891374308673477,8
482,39.625,9.89859297360705,8
483,39.75,10.208539842420448,8
484,39.75,10.208539842420448,8
485,39.75,10.49829918197637,8
486,40.25,10.41633332799983,8
487,40.625,10.50085030570654,8
488,40.5,10.528871870107588,8
489,40.5,10.542431272854339,8
490,40.5,10.528871870107588,8
491,40.75,10.525479290071036,8
492,40.75,10.484682705192915,8
493,40.75,10.180513599168616,8
494,41.125,9.920217451533725,8
495,41.375,9.956153875869939,8
496,41.25,9.837973078114937,8
497,41.0,9.885053652574967,8
498,41.0,9.885053652574967,8
499,41.25,9.602826964716469,8
500,41.5,9.57675757833964,8
501,41.625,9.530964574180606,8
502,41.625,9.797047660246573,8
503,41.75,9.779716618739888,8
504,42.125,9.789754119194502,8
505,42.0,9.57675757833964,8
506,41.875,9.523467255754522,8
507,42.0,9.57675757833964,8
508,42.0,9.710083124552245,8
509,42.0,9.710083124552245,8
510,42.0,9.710083124552245,8
511,41.875,9.493418773023762,8
512,42.0,9.54687682663064,8
513,42.25,9.498120114753535,8
514,42.375,9.47081984684687,8
