t,cum_regret_mean,cum_regret_sd,n_runs
1,0.0,0.0,10
2,0.17497916537089403,0.3688841253246772,10
3,0.4792706702584321,0.5986635790792958,10
4,0.8510136846068171,0.840202250709972,10
5,1.1354027379257805,1.1288504480725403,10
6,1.506419211522614,1.1558630896736528,10
7,1.768333976095197,1.381815446933063,10
8,1.8997638575080433,1.4182348411427523,10
9,2.0531764016316902,1.584719507940251,10
10,2.272470678935341,1.7176137177751953,10
11,2.644251930333147,1.890726876962494,10
12,3.016371406638801,2.111618023222905,10
13,3.2774642233253553,2.138722827794227,10
14,3.7790818004622837,2.3761139750208113,10
15,3.954159161970427,2.299260637427054,10
16,4.107117030780115,2.3178636443760037,10
17,4.564349657333845,2.3333421419591134,10
18,4.91251489441405,2.405324963689429,10
19,5.217308464886299,2.3954856931189803,10
20,5.479314956581545,2.469729414191876,10
21,5.654877598955612,2.5380280239154223,10
22,5.830021566224537,2.6488111526085194,10
23,6.004890049275444,2.8253212786082833,10
24,6.13701964443019,2.7679509904230475,10
25,6.422126025751027,2.930666247913106,10
26,6.5976952484654685,3.000529388226915,10
27,6.925822568693862,2.8341523620108293,10
28,7.209930544801996,2.8013245882927533,10
29,7.669584462206409,2.936649775147599,10
30,8.08422838443203,2.963448121955948,10
31,8.541689025428251,3.1444651721794044,10
32,9.152158130495959,3.28013812934775,10
33,9.806871934434401,3.4715177170133162,10
34,10.33093151975506,3.6314081090874892,10
35,10.745685387579666,3.9817662734466746,10
36,11.33403762767237,4.183613681595067,10
37,11.682809379545306,4.297589454685731,10
38,12.054255962078988,4.243111770257021,10
39,12.403559366462655,4.298663211070212,10
40,12.75235966139887,4.28572477998717,10
41,13.080922770399862,4.3279570569110195,10
42,13.366044626914174,4.45209175636266,10
43,13.8477574364936,4.6006907836168285,10
44,14.284448762670683,4.602087943350857,10
45,14.546342722351103,4.900265789983239,10
46,14.809772234156958,4.791766685380156,10
47,15.050299801375738,4.588972202623793,10
48,15.596342398504419,4.789276249031535,10
49,16.0108657038272,4.922086591568667,10
50,16.18717633513561,4.877155839868967,10
51,16.558953707048765,4.823652326250348,10
52,16.995335845715022,4.918297519595001,10
53,17.215371854576368,5.017159535904502,10
54,17.586176382590857,5.067909995489539,10
55,18.15471267469233,5.209839881033512,10
56,18.33043958563558,5.406844544921917,10
57,18.54960651431916,5.518797198499076,10
58,19.13933873443894,5.630607431540232,10
59,19.620955507600335,5.65758633687367,10
60,20.01584055254232,5.66267242013841,10
61,20.430894805190977,5.760728701155492,10
62,20.78075337128223,6.013929083051901,10
63,21.10915041216426,6.16677730586818,10
64,21.5025366244997,6.454908221854989,10
65,21.809773334771712,6.637345251620023,10
66,22.181562702489657,6.902782326886434,10
67,22.356749548887844,7.16916868609351,10
68,22.531984248565447,7.4443880935071896,10
69,22.707635065461705,7.727223784202175,10
70,22.884319900066036,8.015424933266324,10
71,23.14819920027054,8.066251732657985,10
72,23.409729114296347,8.147509692041496,10
73,23.60584272564018,8.319378187981348,10
74,23.71587748972679,8.259764775125262,10
75,24.087092618493266,8.106406791889295,10
76,24.45754714990909,7.9662077219946585,10
77,24.93840040181649,8.098159130642584,10
78,25.178871279019027,8.08956502321717,10
79,25.615762833431045,7.9959820164760576,10
80,25.964403613953646,7.922142639201731,10
81,26.488361109228002,8.061315685288362,10
82,26.597862030399778,8.066158096953366,10
83,26.928137885442556,7.915087830915637,10
84,27.145990446116276,8.06333588590676,10
85,27.53977030384548,8.250026395342186,10
86,27.911595043280254,8.281603216694803,10
87,27.999642148035235,8.298039777967201,10
88,28.239377758739778,8.404781207016226,10
89,28.76292622486801,8.349176402775154,10
90,29.069227733790513,8.248767878882973,10
91,29.44132523780844,8.194447306104804,10
92,29.64018823515587,8.176880551529955,10
93,29.85921857946252,8.343624378727409,10
94,30.274346387486805,8.411597714035588,10
95,30.40681819145173,8.430924113421991,10
96,30.625293780793278,8.56046565902308,10
97,30.888629963093955,8.664557480286227,10
98,31.151254474669987,9.023458132233998,10
99,31.435981965721208,8.873988222599731,10
100,31.78650947565196,9.147078647405058,10
101,31.96178887146392,9.05565732360804,10
102,32.1590959002,9.154297121063575,10
103,32.40258636447355,9.163089666321664,10
104,32.64483665947847,9.11390295987017,10
105,33.19001143433405,9.323863638917238,10
106,33.51753462226377,9.667282678796676,10
107,33.75827254456185,9.745874017691522,10
108,34.13057067464576,9.961663535996077,10
109,34.58933270107023,9.907949885993167,10
110,34.67758181073492,10.01425119194445,10
111,34.810154597682995,10.046023931183655,10
112,35.094516064203496,10.151762628260213,10
113,35.38029495510184,10.199067842759247,10
114,35.90490067510731,10.295681268916395,10
115,36.168162701246224,10.290587258966983,10
116,36.77904638664222,10.366159117390268,10
117,37.17175522150357,10.310508330036622,10
118,37.60918105984624,10.348236814566985,10
