Q_diff,Q_router,Q_oracle
0,1,1
0,1,1
1,2,1
1,2,1
1,2,1
1,2,1
1,3,2
1,3,2
1,3,2
2,4,2
2,5,3
2,5,3
3,5,2
3,6,3
4,6,2
5,7,2
5,8,3
6,9,3
6,9,3
7,9,2
7,10,3
8,10,2
8,10,2
8,10,2
7,10,3
7,10,3
8,10,2
8,9,1
8,10,2
8,9,1
8,9,1
7,8,1
6,7,1
5,7,2
6,7,1
6,6,0
5,6,1
6,7,1
6,8,2
6,8,2
6,8,2
6,7,1
5,7,2
5,7,2
4,7,3
4,7,3
4,7,3
5,8,3
5,7,2
5,8,3
5,7,2
4,6,2
4,7,3
4,7,3
4,7,3
4,8,4
4,9,5
5,9,4
5,9,4
4,9,5
4,8,4
4,9,5
4,9,5
5,10,5
5,9,4
4,8,4
4,8,4
4,7,3
4,8,4
4,7,3
4,7,3
3,6,3
3,7,4
3,7,4
3,6,3
3,7,4
4,7,3
4,8,4
5,9,4
5,9,4
5,9,4
5,9,4
5,9,4
5,9,4
5,8,3
5,7,2
5,8,3
6,8,2
5,8,3
5,8,3
5,7,2
4,7,3
4,7,3
4,7,3
4,8,4
4,9,5
4,9,5
4,9,5
4,9,5
4,10,6
4,9,5
5,9,4
5,10,5
5,10,5
5,10,5
5,11,6
6,12,6
7,13,6
8,14,6
8,13,5
8,12,4
8,13,5
9,14,5
9,14,5
9,13,4
9,13,4
9,14,5
9,14,5
9,14,5
9,14,5
9,13,4
9,14,5
9,15,6
9,14,5
10,14,4
10,15,5
10,16,6
11,17,6
11,17,6
11,17,6
12,18,6
12,17,5
12,17,5
12,17,5
12,16,4
11,15,4
11,15,4
11,15,4
11,15,4
11,15,4
11,15,4
11,15,4
11,15,4
11,16,5
11,16,5
11,15,4
11,14,3
10,13,3
10,14,4
10,15,5
10,15,5
10,14,4
10,14,4
10,14,4
10,14,4
10,14,4
10,14,4
11,15,4
11,15,4
11,15,4
12,16,4
12,16,4
13,17,4
13,17,4
13,17,4
13,17,4
13,17,4
13,17,4
13,16,3
13,17,4
13,17,4
13,17,4
13,17,4
13,16,3
13,16,3
13,17,4
13,18,5
14,19,5
15,19,4
15,19,4
16,20,4
16,20,4
16,19,3
15,19,4
15,19,4
15,18,3
14,17,3
13,16,3
12,16,4
13,17,4
13,17,4
13,16,3
13,16,3
12,15,3
12,16,4
12,16,4
12,16,4
12,16,4
12,15,3
12,16,4
12,16,4
12,16,4
12,16,4
12,15,3
12,16,4
12,15,3
12,15,3
12,16,4
12,16,4
12,16,4
12,16,4
12,15,3
12,15,3
12,15,3
13,16,3
12,15,3
12,15,3
12,16,4
12,16,4
12,16,4
12,16,4
12,15,3
12,15,3
12,15,3
12,16,4
12,16,4
12,15,3
12,16,4
12,16,4
12,15,3
12,15,3
12,16,4
12,16,4
12,15,3
12,15,3
12,16,4
12,16,4
12,15,3
12,15,3
12,16,4
12,16,4
13,17,4
14,18,4
14,19,5
14,19,5
14,19,5
14,19,5
14,18,4
14,17,3
14,18,4
14,17,3
14,17,3
14,18,4
14,17,3
13,17,4
13,16,3
13,16,3
13,16,3
13,15,2
13,15,2
13,15,2
13,16,3
13,16,3
13,16,3
13,15,2
13,15,2
12,15,3
12,15,3
12,16,4
12,16,4
12,15,3
12,15,3
12,16,4
13,17,4
13,16,3
13,17,4
13,17,4
13,17,4
13,16,3
13,16,3
12,15,3
12,15,3
13,16,3
13,15,2
13,15,2
13,16,3
13,16,3
13,16,3
13,16,3
13,16,3
13,15,2
13,16,3
13,16,3
13,15,2
13,16,3
14,17,3
14,17,3
14,16,2
14,17,3
14,17,3
14,16,2
14,17,3
14,16,2
14,17,3
14,16,2
13,16,3
13,15,2
13,16,3
13,16,3
13,16,3
13,16,3
13,17,4
14,18,4
15,19,4
16,20,4
16,20,4
16,20,4
16,19,3
16,18,2
16,18,2
17,19,2
17,18,1
16,17,1
15,17,2
16,18,2
16,17,1
16,18,2
16,18,2
16,18,2
16,17,1
16,18,2
16,18,2
16,18,2
16,17,1
16,18,2
16,18,2
16,17,1
16,18,2
16,18,2
17,19,2
17,18,1
17,19,2
17,19,2
17,20,3
17,20,3
17,19,2
18,20,2
18,20,2
19,21,2
19,21,2
20,22,2
20,22,2
21,23,2
21,23,2
21,22,1
20,21,1
20,21,1
19,20,1
19,21,2
20,22,2
20,22,2
20,21,1
20,21,1
20,21,1
20,21,1
20,22,2
21,23,2
21,22,1
21,23,2
21,23,2
21,23,2
22,24,2
22,24,2
22,23,1
22,24,2
22,24,2
22,24,2
23,24,1
23,24,1
22,23,1
22,24,2
22,25,3
22,24,2
22,25,3
23,25,2
23,26,3
23,25,2
23,26,3
23,26,3
23,26,3
23,25,2
23,26,3
23,26,3
24,26,2
23,26,3
23,25,2
23,26,3
23,25,2
23,25,2
23,26,3
24,26,2
24,27,3
24,27,3
25,27,2
25,28,3
25,27,2
25,28,3
25,27,2
25,27,2
25,26,1
25,27,2
26,27,1
26,28,2
26,28,2
26,28,2
26,28,2
27,28,1
27,28,1
27,28,1
27,28,1
27,27,0
27,28,1
27,28,1
27,28,1
27,28,1
27,28,1
28,29,1
28,28,0
28,28,0
27,28,1
27,28,1
27,29,2
27,28,1
27,27,0
26,26,0
25,25,0
24,24,0
24,25,1
24,24,0
23,23,0
23,24,1
23,25,2
23,24,1
23,24,1
24,25,1
25,25,0
24,25,1
24,25,1
24,26,2
25,26,1
26,27,1
26,26,0
26,26,0
25,26,1
26,27,1
26,28,2
26,28,2
26,28,2
27,28,1
27,29,2
27,29,2
27,28,1
27,29,2
27,29,2
27,28,1
27,29,2
27,29,2
27,29,2
28,30,2
29,31,2
29,31,2
30,32,2
31,32,1
31,33,2
32,34,2
32,34,2
32,34,2
32,34,2
32,34,2
33,34,1
33,35,2
33,35,2
33,36,3
33,35,2
33,36,3
33,36,3
33,35,2
33,35,2
33,35,2
33,36,3
34,37,3
34,36,2
34,36,2
34,36,2
34,36,2
34,37,3
34,36,2
34,37,3
34,37,3
34,37,3
34,36,2
34,36,2
34,36,2
34,36,2
34,37,3
35,38,3
35,38,3
35,38,3
35,38,3
35,38,3
35,39,4
36,39,3
36,39,3
36,39,3
36,40,4
36,39,3
