t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.3,0.4830458915396479,10
3,0.4,0.6992058987801011,10
4,0.6,0.699205898780101,10
5,0.8,0.7888106377466155,10
6,0.9,0.5676462121975466,10
7,1.0,1.0540925533894598,10
8,1.4,1.2649110640673518,10
9,1.5,1.1785113019775793,10
10,1.4,1.349897115421106,10
11,1.2,1.3984117975602022,10
12,1.6,1.776388345929897,10
13,1.7,2.1108186931983415,10
14,1.7,2.0027758514399734,10
15,2.0,2.211083193570267,10
16,2.0,2.4037008503093262,10
17,2.1,2.1832697191750423,10
18,2.5,2.3687784005919825,10
19,2.6,2.6749870196985173,10
20,2.7,2.9832867780352594,10
21,2.7,2.9458068127047605,10
22,2.7,3.3349995835415367,10
23,2.6,3.6575644598253874,10
24,2.8,3.794733192202055,10
25,3.1,3.9001424475410014,10
26,3.2,3.823901439919996,10
27,3.3,3.9454615277134133,10
28,3.1,4.0947120370871835,10
29,3.3,4.083843505544474,10
30,3.5,3.9791121287711073,10
31,3.7,4.083843505544475,10
32,3.9,4.094712037087183,10
33,3.4,4.141926551202418,10
34,3.5,3.865804501581067,10
35,3.9,3.984692933938295,10
36,3.9,3.956710193526379,10
37,4.3,4.001388647846033,10
38,4.6,3.9777157040470126,10
39,4.5,4.089281382128433,10
40,4.6,4.247875285886398,10
41,4.4,4.1952353926806065,10
42,4.6,4.168666186896929,10
43,4.6,4.221637386396683,10
44,5.0,4.216370213557839,10
45,5.0,4.268749491621899,10
46,4.4,4.427188724235731,10
47,4.2,4.5166359162544865,10
48,4.3,4.762119042797836,10
49,4.1,4.629614814791111,10
50,4.0,4.784233364802441,10
51,4.1,5.021066730398145,10
52,4.1,4.976611966656298,10
53,4.3,4.83160888777687,10
54,4.4,4.926120853842978,10
55,4.4,4.857983120596447,10
56,4.2,4.825856285561029,10
57,4.0,4.422166387140534,10
58,4.1,4.701063709417263,10
59,4.1,4.677368680976279,10
60,4.1,4.62961481479111,10
61,4.3,4.571651780264984,10
62,4.2,4.779586221049312,10
63,4.1,4.817791102892602,10
64,4.2,5.159672685570493,10
65,4.2,5.159672685570493,10
66,4.2,5.223876806442596,10
67,4.4,5.211099265563414,10
68,4.4,5.081557066709201,10
69,4.3,4.877385456255111,10
70,4.4,4.812021982031624,10
71,4.3,4.8545511292669135,10
72,4.5,4.927248499698161,10
73,4.6,4.880801391392834,10
74,4.8,4.962078417580905,10
75,4.8,5.4324130099902295,10
76,4.6,5.541760650832108,10
77,5.1,5.704773829385741,10
78,5.0,5.676462121975467,10
79,5.0,5.676462121975467,10
80,4.9,5.7629082164399525,10
81,4.9,5.626327003965869,10
82,4.9,5.915140648276158,10
83,4.7,5.907622195096772,10
84,5.0,5.868938953886336,10
85,5.1,5.820461990063827,10
86,4.9,5.971227307309239,10
87,5.1,5.952590472502988,10
88,5.1,6.008327554319921,10
89,5.1,6.136412270663988,10
90,5.2,6.285786435372356,10
91,5.4,6.2574400161372346,10
92,5.7,6.111010100175294,10
93,5.9,6.026792034094276,10
94,6.0,6.164414002968976,10
95,6.0,6.182412330330469,10
96,6.1,6.081849134012525,10
97,6.3,6.2012543533994435,10
98,6.2,6.390965845976995,10
99,6.1,6.5903970543005475,10
100,6.2,6.460134157533676,10
101,6.2,6.408327915038889,10
102,6.1,6.332456079595025,10
103,6.2,6.285786435372356,10
104,6.3,6.549809157525126,10
105,6.5,6.819090848492928,10
106,6.5,6.93221144769514,10
107,6.6,6.899275324264135,10
108,6.8,7.1925887782726265,10
109,7.0,7.3484692283495345,10
