t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.0,0.0,10
3,0.3,0.48304589153964794,10
4,0.5,0.7071067811865476,10
5,0.8,1.0327955589886446,10
6,1.1,1.286683937707919,10
7,1.4,1.577621275493231,10
8,1.8,1.9321835661585918,10
9,1.9,1.8529256146249728,10
10,2.0,2.0548046676563256,10
11,2.1,2.0789954839350235,10
12,2.6,2.0110804171997807,10
13,2.8,2.043961295567452,10
14,2.7,2.110818693198342,10
15,3.1,2.1317702607092643,10
16,3.2,2.250925735484551,10
17,3.3,2.6267851073127395,10
18,3.4,2.9514591494904874,10
19,3.5,3.064129385141706,10
20,3.8,3.3928028399998595,10
21,3.9,3.348299734359382,10
22,4.0,3.7416573867739413,10
23,4.1,3.6953424138441564,10
24,4.0,3.9157800414902435,10
25,3.9,3.9846929339382946,10
26,4.2,3.8239014399199966,10
27,4.2,3.8815804341359033,10
28,4.3,4.137900702315393,10
29,4.4,4.1952353926806065,10
30,4.6,4.526465385804788,10
31,4.7,4.47337804249888,10
32,4.5,4.377975178854566,10
33,4.2,4.077035960378842,10
34,4.3,4.110960958218893,10
35,4.7,4.164666186436128,10
36,4.4,4.115013163202924,10
37,4.7,4.110960958218893,10
38,4.9,4.383048152953731,10
39,4.8,4.341018825626588,10
40,5.0,4.163331998932265,10
41,4.4,4.141926551202419,10
42,4.9,4.332051092342595,10
43,4.6,4.29987079909256,10
44,4.8,4.315347288715269,10
45,4.9,4.280446497997869,10
46,4.7,4.595891885393108,10
47,4.9,4.748099034818508,10
48,5.0,5.0990195135927845,10
49,5.1,4.909175083453431,10
50,5.1,4.909175083453431,10
51,5.1,5.043147165543886,10
52,5.2,5.028805910838963,10
53,5.3,4.691600058733812,10
54,5.6,4.9035134795822115,10
55,5.3,5.1650535116083525,10
56,5.1,4.976611966656298,10
57,5.2,4.8488257455915145,10
58,5.3,4.808557187163549,10
59,5.5,4.743416490252569,10
60,5.9,4.886489310105751,10
61,6.1,4.976611966656298,10
62,5.9,5.279941077112299,10
63,6.0,5.291502622129181,10
64,6.4,5.358275012642698,10
65,6.3,5.396500923952689,10
66,6.4,5.081557066709202,10
67,6.7,5.143496432929215,10
68,6.8,5.287301349039561,10
69,7.4,5.337498373666159,10
70,7.8,5.3499740393970345,10
71,7.7,4.877385456255112,10
72,7.8,4.756282395129858,10
73,7.8,4.491968140779472,10
74,7.8,4.211096452627668,10
75,7.7,4.547282460742656,10
76,7.8,4.391911757866827,10
77,8.2,4.315347288715269,10
78,8.1,4.0400770069668495,10
79,8.1,4.121757985239901,10
80,8.1,4.1486276177925525,10
81,8.4,3.8355066303046734,10
82,8.5,3.8369548110737792,10
83,8.8,4.184627953726724,10
84,9.3,4.3728963196286985,10
85,9.5,4.527692569068709,10
86,9.2,4.442221666388715,10
87,9.3,4.762119042797837,10
88,9.5,4.719934086168766,10
89,9.6,4.765617600176405,10
90,9.6,4.812021982031624,10
91,9.7,5.078276172963507,10
92,10.0,4.9216076867444665,10
93,10.0,4.546060565661952,10
94,10.2,4.613988392799541,10
95,10.4,4.812021982031624,10
96,10.7,4.571651780264984,10
97,11.1,4.458450154232722,10
98,11.4,4.273952113286562,10
99,11.2,3.9944405810520647,10
100,11.4,3.777124126457412,10
101,11.5,3.8944404818493075,10
102,11.5,4.27525177946022,10
103,11.7,4.295992965026311,10
104,11.8,4.589843860815602,10
105,12.1,4.62961481479111,10
106,12.1,4.771442828607157,10
107,12.3,4.4484703987875305,10
108,12.7,4.595891885393108,10
109,13.0,5.033222956847166,10
110,13.1,4.863697724525606,10
111,13.4,4.948624949305503,10
112,13.2,4.984420171338332,10
113,13.4,5.680375574437544,10
114,13.8,5.959119994689746,10
115,14.0,5.734883511361751,10
116,14.2,5.4528280124476085,10
117,14.5,5.082650227325635,10
118,14.9,5.152130088074683,10
119,15.0,5.354126134736337,10
120,15.2,5.808040403899867,10
121,15.6,5.758086101783782,10
122,15.9,5.526702854726717,10
123,15.7,5.578729445153459,10
124,15.9,5.486346689738081,10
125,16.2,5.266244708835067,10
