t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.0,0.0,10
3,0.4,0.5163977794943223,10
4,0.7,0.9486832980505139,10
5,1.1,0.9944289260117533,10
6,1.5,1.2692955176439846,10
7,1.9,1.3703203194062978,10
8,1.7,1.8885620632287057,10
9,1.7,1.6363916944844767,10
10,1.7,2.0027758514399734,10
11,2.1,2.0248456731316584,10
12,2.3,2.0575065816014617,10
13,2.5,2.1213203435596424,10
14,2.7,2.2135943621178655,10
15,2.9,2.0789954839350235,10
16,3.1,2.2335820757001272,10
17,3.1,2.183269719175042,10
18,3.2,2.5298221281347035,10
19,3.4,2.3664319132398464,10
20,3.3,2.496664441476534,10
21,3.8,2.699794230842212,10
22,3.9,2.8848262031225076,10
23,3.7,2.5407785333546005,10
24,4.0,2.581988897471611,10
25,4.5,2.6770630673681683,10
26,4.5,2.6770630673681683,10
27,4.6,2.4585451886114367,10
28,4.2,2.6583202716502514,10
29,4.4,2.5473297566057065,10
30,4.6,2.4585451886114367,10
31,4.9,2.282785822435191,10
32,5.2,2.4404006956964173,10
33,5.1,2.558211180579986,10
34,5.3,2.5407785333546005,10
35,5.3,2.6687491868330797,10
36,5.7,2.7908580918579307,10
37,5.9,2.7264140062238043,10
38,6.3,2.7507574714370344,10
39,6.1,2.766867462592951,10
40,6.2,2.8205594401741574,10
41,6.1,2.6853512081497106,10
42,6.5,2.6770630673681683,10
43,6.5,2.6770630673681683,10
44,6.6,2.4129281427805145,10
45,6.8,2.2997584414213783,10
46,6.6,2.4585451886114367,10
47,6.7,2.4060109910158123,10
48,7.0,2.4037008503093262,10
49,7.3,2.62678510731274,10
50,7.5,2.6770630673681683,10
51,7.6,3.0258148581093915,10
52,7.3,2.79085809185793,10
53,7.3,2.8693785622209793,10
54,7.7,2.9078437983419185,10
55,7.8,2.820559440174157,10
56,7.6,3.134042472944843,10
57,7.6,3.0983866769659336,10
58,7.4,3.1340424729448424,10
59,7.8,2.8982753492378874,10
60,7.8,3.457680661303984,10
61,8.0,3.681787005729087,10
62,8.2,3.614784456460256,10
63,8.5,3.6285901761795403,10
64,8.2,3.6147844564602556,10
65,8.2,3.794733192202055,10
66,8.4,3.7178249316263163,10
67,8.3,3.6224607965059086,10
68,8.6,3.5023801430836525,10
69,8.6,3.3399933466334266,10
70,8.7,3.591656999213594,10
71,8.8,3.705851229249946,10
72,9.0,3.559026084010437,10
73,9.1,3.784471194529326,10
74,9.4,3.4058772731852804,10
75,9.6,2.988868236194653,10
76,10.0,2.6666666666666665,10
77,10.5,2.9907264074877267,10
78,10.4,2.913569784454954,10
79,10.6,3.1340424729448424,10
80,10.9,2.960855732160327,10
81,11.1,3.2472210341220142,10
82,11.1,3.478505426185217,10
83,11.4,3.6270588023294517,10
84,11.3,3.6224607965059086,10
85,11.7,3.4657049948186747,10
86,11.8,3.5213633723318014,10
87,12.2,3.457680661303984,10
88,12.2,3.457680661303984,10
89,12.1,3.6040101122068027,10
90,12.2,3.359894178227774,10
91,12.5,3.1710495984067415,10
92,13.2,2.859681411936962,10
93,13.8,2.9363620727393656,10
94,14.0,2.748737083745107,10
95,14.1,2.766867462592951,10
96,14.2,2.8596814119369625,10
97,14.1,2.960855732160327,10
98,14.1,3.071373199943851,10
99,14.2,3.1198290551460244,10
100,14.2,3.2930904093942583,10
101,14.4,3.306559138036598,10
102,15.0,3.2317865716108862,10
103,15.3,3.653004851412662,10
104,15.5,3.6590830666833583,10
105,15.5,3.865804501581067,10
106,15.5,3.92286743197994,10
107,15.4,3.687817782917155,10
108,15.4,3.5962943891363137,10
109,15.8,3.7058512292499457,10
110,16.1,3.956710193526379,10
111,16.3,3.8311588035185618,10
112,16.7,3.8887301554906353,10
113,17.2,4.049691346263317,10
114,17.2,4.3410188256265885,10
115,17.5,4.222953153106642,10
116,18.2,4.263540521418529,10
117,18.4,3.921450978627398,10
118,18.8,3.8815804341359033,10
119,18.8,4.237399621885521,10
120,19.1,4.532597979574677,10
121,19.3,4.620004810002307,10
122,19.7,4.667856991049414,10
