t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.2,0.42163702135578396,10
4,0.2,0.42163702135578396,10
5,0.2,0.42163702135578396,10
6,0.3,0.4830458915396479,10
7,0.5,0.7071067811865476,10
8,0.5,0.7071067811865476,10
9,0.4,0.6992058987801011,10
10,0.3,0.6749485577105528,10
11,0.6,0.9660917830792959,10
12,0.5,0.7071067811865476,10
13,0.7,0.6749485577105528,10
14,0.8,1.0327955589886446,10
15,0.8,1.0327955589886446,10
16,0.8,1.0327955589886446,10
17,0.7,1.0593499054713802,10
18,0.7,1.0593499054713802,10
19,0.6,0.8432740427115678,10
20,0.7,0.9486832980505138,10
21,0.8,1.1352924243950933,10
22,1.0,1.0540925533894598,10
23,1.2,1.0327955589886446,10
24,1.3,0.9486832980505137,10
25,1.3,0.9486832980505137,10
26,1.4,0.966091783079296,10
27,1.2,1.1352924243950933,10
28,1.2,1.0327955589886444,10
29,1.1,0.9944289260117533,10
30,1.0,0.816496580927726,10
31,0.8,0.9189365834726815,10
32,1.0,1.0540925533894598,10
33,0.9,1.1005049346146119,10
34,0.9,1.286683937707919,10
35,1.1,1.3703203194062978,10
36,1.1,1.3703203194062978,10
37,1.2,1.5491933384829668,10
38,1.2,1.398411797560202,10
39,0.9,1.1005049346146119,10
40,0.8,0.7888106377466155,10
41,0.9,0.7378647873726218,10
42,1.0,0.816496580927726,10
43,0.9,0.8755950357709131,10
44,0.9,0.8755950357709131,10
45,0.8,0.9189365834726815,10
46,0.8,0.9189365834726815,10
47,0.9,0.8755950357709131,10
48,1.0,1.0540925533894598,10
49,0.8,1.0327955589886446,10
50,0.9,1.1005049346146119,10
51,0.8,1.0327955589886446,10
52,0.7,1.0593499054713802,10
53,0.7,1.0593499054713802,10
54,0.8,1.0327955589886446,10
55,0.8,1.1352924243950935,10
56,0.7,1.1595018087284057,10
57,0.7,1.0593499054713802,10
58,0.7,1.0593499054713802,10
59,0.6,0.9660917830792958,10
60,0.7,1.2516655570345725,10
61,0.7,1.4181364924121764,10
62,0.7,1.4944341180973262,10
63,0.7,1.4944341180973262,10
64,0.9,1.3703203194062978,10
65,1.0,1.4907119849998598,10
66,1.0,1.4142135623730951,10
67,1.1,1.286683937707919,10
68,1.3,1.2516655570345727,10
69,1.3,1.5670212364724212,10
70,1.3,1.5670212364724212,10
71,1.4,1.776388345929897,10
72,1.5,1.90029237516523,10
73,1.6,2.118699810942761,10
74,1.7,2.2135943621178655,10
75,1.7,2.2135943621178655,10
76,1.7,2.2135943621178655,10
77,1.8,2.14993539954628,10
78,1.9,2.2827858224351907,10
79,2.0,2.494438257849294,10
80,2.1,2.7264140062238043,10
81,2.2,2.8596814119369625,10
82,2.2,2.8596814119369625,10
83,2.2,2.8596814119369625,10
84,2.2,2.8596814119369625,10
85,2.1,2.923088169119167,10
86,2.2,2.8596814119369625,10
87,2.1,2.7264140062238043,10
88,2.3,2.6267851073127395,10
89,2.3,2.9458068127047605,10
90,2.4,2.875181153713043,10
91,2.7,2.9078437983419185,10
92,2.5,2.592724864350674,10
93,2.7,2.4517567397911058,10
94,2.7,2.4517567397911058,10
95,2.5,2.273030282830976,10
96,2.6,2.2705848487901865,10
97,2.7,2.2135943621178655,10
98,2.7,2.1628170930011112,10
99,2.7,2.1628170930011112,10
100,2.7,2.1628170930011112,10
101,2.7,2.4517567397911058,10
102,2.7,2.4517567397911058,10
103,2.8,2.3475755815545343,10
104,2.7,2.1628170930011117,10
105,2.7,2.3118054512532935,10
106,2.7,2.3118054512532935,10
107,3.0,2.70801280154532,10
108,3.2,2.5298221281347035,10
109,3.1,2.378141197564929,10
110,3.0,2.3570226039551585,10
111,3.0,2.6246692913372702,10
112,3.2,2.5298221281347035,10
113,3.2,2.5298221281347035,10
114,3.0,2.6246692913372702,10
115,3.0,2.6246692913372702,10
116,3.0,2.3570226039551585,10
117,3.0,2.6666666666666665,10
118,3.1,2.5582111805799856,10
119,3.2,2.573367875415838,10
120,3.3,2.496664441476534,10
121,3.4,2.4585451886114362,10
122,3.3,2.4517567397911058,10
123,3.3,2.359378449224852,10
124,3.4,2.3190036174568114,10
125,3.4,2.3190036174568114,10
126,3.2,2.2997584414213788,10
127,3.1,2.024845673131659,10
128,3.1,2.330951164939612,10
129,3.2,2.3475755815545347,10
130,3.1,2.5144029554194813,10
131,3.2,2.936362072739365,10
132,3.2,2.6583202716502514,10
133,3.3,2.9078437983419185,10
134,3.1,2.923088169119167,10
135,3.1,2.766867462592951,10
136,3.2,2.859681411936962,10
137,3.3,2.8303906287138374,10
138,3.3,2.94580681270476,10
139,3.4,2.756809750418044,10
140,3.5,2.758824226207808,10
141,3.5,2.758824226207808,10
142,3.5,2.718251071716682,10
143,3.4,2.7568097504180438,10
144,3.4,2.7568097504180438,10
145,3.3,2.5407785333546005,10
146,3.5,2.5495097567963922,10
147,3.6,2.7568097504180447,10
148,3.5,2.758824226207808,10
149,3.5,2.758824226207808,10
150,3.7,2.8303906287138374,10
151,3.6,2.9514591494904874,10
152,3.5,3.2744804507314167,10
