t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.1,0.31622776601683794,10
4,0.1,0.31622776601683794,10
5,0.3,0.6749485577105528,10
6,0.4,0.6992058987801011,10
7,0.4,0.6992058987801011,10
8,0.5,0.97182531580755,10
9,0.6,1.2649110640673515,10
10,0.7,1.2516655570345725,10
11,1.0,1.4907119849998598,10
12,1.1,1.1972189997378648,10
13,1.3,1.2516655570345725,10
14,1.4,1.2649110640673515,10
15,1.5,1.2692955176439846,10
16,1.6,1.1737877907772674,10
17,1.5,1.35400640077266,10
18,1.7,1.567021236472421,10
19,1.8,1.6865480854231358,10
20,2.0,1.8856180831641267,10
21,2.2,1.9321835661585918,10
22,2.5,2.1213203435596424,10
23,2.5,2.173067468400883,10
24,2.8,2.3944379994757297,10
25,2.9,2.4244128727957572,10
26,3.0,2.581988897471611,10
27,3.0,2.4037008503093262,10
28,2.9,2.330951164939612,10
29,2.7,2.496664441476534,10
30,2.6,2.590581230363393,10
31,2.4,2.5473297566057065,10
32,2.4,2.2211108331943574,10
33,2.3,2.3118054512532935,10
34,2.2,2.0976176963403033,10
35,2.0,2.1081851067789197,10
36,2.3,2.1628170930011112,10
37,2.3,2.2632326929023945,10
38,2.5,2.173067468400883,10
39,2.1,1.9692073983655907,10
40,1.8,1.9888578520235065,10
41,1.8,2.2010098692292237,10
42,2.1,2.330951164939612,10
43,2.0,1.8856180831641267,10
44,2.0,1.8856180831641267,10
45,1.7,1.888562063228706,10
46,1.6,1.9550504398153574,10
47,1.5,1.90029237516523,10
48,1.6,1.837873166945363,10
49,1.6,1.7126976771553506,10
50,1.6,1.7126976771553506,10
51,1.6,1.6465452046971292,10
52,1.6,1.4298407059684812,10
53,1.5,1.4337208778404378,10
54,1.8,1.3984117975602022,10
55,2.1,1.4491376746189437,10
56,2.2,1.5491933384829668,10
57,2.3,1.3374935098492586,10
58,2.5,1.4337208778404378,10
59,2.5,1.4337208778404378,10
60,2.6,1.3498971154211057,10
61,2.3,1.3374935098492586,10
62,2.2,1.398411797560202,10
63,2.0,1.632993161855452,10
64,2.0,1.7638342073763937,10
65,2.1,1.66332999331662,10
66,2.0,1.8856180831641267,10
67,2.2,1.9321835661585918,10
68,2.2,1.9321835661585918,10
69,2.1,1.911950719959998,10
70,2.2,1.8737959096740262,10
71,2.2,2.14993539954628,10
72,2.2,2.4404006956964173,10
73,2.2,2.5298221281347035,10
74,2.1,2.558211180579986,10
75,2.0,2.449489742783178,10
76,2.1,2.1317702607092643,10
77,2.0,2.211083193570267,10
78,1.9,2.282785822435191,10
79,1.8,2.2997584414213788,10
80,1.7,2.359378449224852,10
81,1.6,2.2211108331943574,10
82,1.6,2.2211108331943574,10
83,1.6,2.2211108331943574,10
84,1.5,2.273030282830976,10
85,1.5,2.273030282830976,10
86,1.5,2.273030282830976,10
87,1.4,2.170509412813294,10
88,1.5,2.1213203435596424,10
89,1.4,2.065591117977289,10
90,1.4,2.065591117977289,10
91,1.4,2.065591117977289,10
92,1.4,2.065591117977289,10
93,1.6,2.1705094128132942,10
94,1.5,2.0138409955990952,10
95,1.5,2.0138409955990952,10
96,1.7,2.0027758514399734,10
97,1.7,2.0027758514399734,10
98,1.6,2.011080417199781,10
99,1.8,1.7511900715418263,10
100,2.0,1.8856180831641267,10
101,2.1,2.0248456731316584,10
102,2.1,2.0248456731316584,10
103,2.1,2.0789954839350235,10
104,1.9,1.9692073983655907,10
105,1.9,1.9692073983655907,10
106,2.0,1.7638342073763937,10
107,2.1,1.7288403306519922,10
108,2.3,1.8287822299126937,10
109,2.5,1.6499158227686108,10
110,2.5,1.6499158227686108,10
111,2.6,1.7126976771553508,10
112,2.8,1.9321835661585918,10
113,2.7,1.7029386365926402,10
114,2.6,1.7763883459298973,10
115,2.5,1.8408935028645435,10
116,2.3,2.0027758514399734,10
117,2.5,2.0138409955990952,10
118,2.5,2.0138409955990952,10
119,2.6,2.1705094128132942,10
120,2.6,2.1705094128132942,10
121,2.6,2.1705094128132942,10
122,2.4,2.065591117977289,10
123,2.4,1.8973665961010275,10
124,2.4,1.8973665961010275,10
125,2.4,1.8973665961010275,10
126,2.3,1.8287822299126937,10
127,2.3,1.8287822299126937,10
128,2.4,2.0110804171997807,10
129,2.4,2.2211108331943574,10
130,2.4,2.2211108331943574,10
131,2.3,2.2135943621178655,10
132,2.2,2.043961295567452,10
133,2.2,2.043961295567452,10
134,2.2,2.043961295567452,10
135,2.1,2.1317702607092643,10
136,2.3,2.0027758514399734,10
137,2.2,2.043961295567452,10
138,2.4,2.0110804171997807,10
139,2.5,2.1213203435596424,10
140,2.5,2.1213203435596424,10
141,2.6,2.0655911179772892,10
142,2.7,2.2135943621178655,10
143,2.6,2.1705094128132942,10
144,2.6,2.1705094128132942,10
145,2.5,2.173067468400883,10
146,2.7,2.2135943621178655,10
147,2.7,2.2135943621178655,10
148,2.6,2.118699810942761,10
149,2.7,2.406010991015812,10
150,2.8,2.573367875415838,10
151,2.9,2.378141197564929,10
152,2.9,2.6853512081497106,10
