t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.2,0.42163702135578396,10
4,0.3,0.4830458915396479,10
5,0.3,0.4830458915396479,10
6,0.3,0.4830458915396479,10
7,0.4,0.5163977794943223,10
8,0.5,0.5270462766947299,10
9,0.5,0.5270462766947299,10
10,0.6,0.5163977794943223,10
11,0.6,0.6992058987801011,10
12,0.8,0.7888106377466155,10
13,1.0,0.816496580927726,10
14,1.2,1.0327955589886444,10
15,1.2,1.0327955589886444,10
16,1.4,1.1737877907772671,10
17,1.4,1.07496769977314,10
18,1.7,1.0593499054713802,10
19,1.7,1.0593499054713802,10
20,1.6,0.9660917830792959,10
21,1.6,0.9660917830792959,10
22,1.6,1.07496769977314,10
23,1.7,1.1595018087284057,10
24,1.8,1.0327955589886444,10
25,1.9,1.286683937707919,10
26,1.7,1.4181364924121764,10
27,1.7,1.6363916944844767,10
28,1.6,1.505545305418162,10
29,2.0,1.7638342073763937,10
30,1.9,1.7919573407620817,10
31,2.0,1.8257418583505538,10
32,2.1,1.7919573407620817,10
33,2.2,1.6193277068654826,10
34,2.3,1.636391694484477,10
35,2.0,1.5634719199411433,10
36,2.1,1.5238839267549946,10
37,2.1,1.449137674618944,10
38,2.0,1.4907119849998598,10
39,2.0,1.7638342073763937,10
40,2.3,1.8287822299126937,10
41,2.2,1.9321835661585918,10
42,2.3,1.8287822299126937,10
43,2.3,1.946506842754191,10
44,2.3,2.0027758514399734,10
45,2.4,2.2211108331943574,10
46,2.4,2.2211108331943574,10
47,2.5,2.173067468400883,10
48,2.7,2.3118054512532935,10
49,2.7,2.110818693198342,10
50,2.6,2.2211108331943574,10
51,2.8,2.097617696340303,10
52,3.0,2.0,10
53,3.1,2.330951164939612,10
54,3.2,2.485513584307633,10
55,3.3,2.8303906287138374,10
56,3.1,2.923088169119167,10
57,3.0,2.6246692913372702,10
58,3.1,2.766867462592951,10
59,3.4,2.756809750418044,10
60,3.5,2.9907264074877267,10
61,3.4,2.7162065049951147,10
62,3.4,2.7162065049951147,10
63,3.4,2.7162065049951147,10
64,3.4,2.6749870196985173,10
65,3.5,2.6352313834736494,10
66,3.5,2.6352313834736494,10
67,3.6,2.590581230363393,10
68,3.7,2.6687491868330797,10
69,3.7,2.6687491868330797,10
70,3.8,2.699794230842212,10
71,3.9,2.923088169119167,10
72,3.8,2.973961069759395,10
73,4.0,2.8674417556808756,10
74,4.1,2.8460498941515415,10
75,4.2,3.0840089349921005,10
76,4.2,2.859681411936962,10
77,4.2,2.859681411936962,10
78,4.4,3.062315754094894,10
79,4.4,3.1692971530679235,10
80,4.6,3.238655413730965,10
81,4.6,3.238655413730965,10
82,4.9,3.3813212407775355,10
83,4.9,3.6347092196090616,10
84,5.0,3.80058475033046,10
85,5.1,3.984692933938295,10
86,5.3,4.137900702315393,10
87,5.4,4.060651288757616,10
88,5.6,4.273952113286562,10
89,5.6,4.273952113286562,10
90,6.0,4.396968652757639,10
91,6.1,4.605552204797066,10
92,6.2,4.589843860815602,10
93,6.2,4.589843860815602,10
94,6.2,4.589843860815602,10
95,6.4,4.835057163858332,10
96,6.5,4.949747468305833,10
97,6.5,5.01663898109747,10
98,6.5,5.01663898109747,10
99,6.5,5.1908038341324785,10
100,6.5,5.421151989096864,10
101,6.4,5.4609726443393045,10
102,6.3,5.250396810400777,10
103,6.4,5.481281277625191,10
104,6.1,5.466056876558986,10
105,6.0,5.5377492419453835,10
106,6.2,5.4528280124476085,10
107,6.3,5.6381636096240495,10
108,6.2,5.4528280124476085,10
109,6.2,5.769652406245015,10
110,6.1,5.743595467030116,10
111,6.1,5.6656861896861175,10
112,6.1,5.762908216439952,10
113,6.4,5.853773711604051,10
114,6.5,5.720334100576838,10
115,6.6,5.738757124441958,10
116,6.6,5.501514942874069,10
117,6.7,5.755190893638735,10
118,7.1,5.546770832355224,10
119,7.1,5.7629082164399525,10
120,7.1,6.008327554319921,10
121,7.0,6.036923425424944,10
122,6.9,6.1544924874255695,10
123,6.8,6.285786435372355,10
124,6.8,6.285786435372355,10
125,6.7,6.290204024248075,10
126,6.6,6.058969476000941,10
127,6.5,6.023103666530884,10
128,6.7,6.092800852007411,10
129,6.5,6.168918507773916,10
130,6.7,6.056218108504496,10
131,6.7,6.056218108504496,10
132,6.6,6.095535707019979,10
133,6.6,6.05896947600094,10
134,6.8,6.088240030309799,10
135,7.0,6.4635731432217725,10
136,7.0,6.749485577105529,10
137,7.2,6.62989860824097,10
138,7.2,6.62989860824097,10
139,7.1,6.5903970543005475,10
140,7.0,6.599663291074443,10
141,7.0,6.896053621859067,10
142,7.1,7.140650452787119,10
143,7.1,7.140650452787119,10
144,7.2,7.284687135812126,10
145,7.2,7.345444544447637,10
146,7.3,7.257945837341153,10
147,7.4,7.167829363048327,10
148,7.6,7.351492667781452,10
149,7.7,7.498888806572167,10
150,7.7,7.46919600016554,10
151,7.9,7.665941994736634,10
152,7.8,7.714344503009384,10
153,8.0,7.60116950066092,10
154,8.0,7.60116950066092,10
155,8.2,7.786027371016765,10
