t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.0,0.0,10
3,0.1,0.31622776601683794,10
4,0.4,0.5163977794943222,10
5,0.5,0.5270462766947299,10
6,0.4,0.6992058987801011,10
7,0.6,0.6992058987801011,10
8,0.7,0.8232726023485646,10
9,0.9,1.1005049346146119,10
10,1.1,0.9944289260117533,10
11,1.3,1.0593499054713802,10
12,1.7,1.0593499054713802,10
13,2.1,1.1005049346146119,10
14,2.4,1.0749676997731399,10
15,2.4,1.0749676997731399,10
16,2.6,1.2649110640673518,10
17,2.8,1.4757295747452437,10
18,2.9,1.5238839267549946,10
19,3.1,1.6633299933166197,10
20,2.9,1.7919573407620817,10
21,3.1,1.9119507199599983,10
22,3.1,2.0248456731316584,10
23,3.2,1.9888578520235065,10
24,3.5,2.173067468400883,10
25,4.0,2.3570226039551585,10
26,4.1,2.183269719175042,10
27,3.9,1.9692073983655907,10
28,3.5,2.0138409955990952,10
29,3.5,2.0138409955990952,10
30,3.8,2.2010098692292237,10
31,3.6,2.3190036174568114,10
32,3.8,1.8135294011647258,10
33,3.9,1.852925614624973,10
34,3.5,1.9578900207451218,10
35,3.7,2.057506581601462,10
36,4.0,2.0,10
37,4.1,2.0248456731316584,10
38,4.2,2.043961295567452,10
39,4.4,2.4129281427805145,10
40,4.5,2.3213980461973533,10
41,4.4,2.547329756605707,10
42,5.0,2.309401076758503,10
43,5.3,2.2135943621178655,10
44,5.4,2.1705094128132942,10
45,5.7,2.4517567397911053,10
46,5.8,2.573367875415838,10
47,5.7,2.6267851073127395,10
48,5.8,2.3475755815545347,10
49,5.7,2.7507574714370344,10
50,5.8,2.5298221281347035,10
51,5.7,2.3118054512532935,10
52,5.5,2.41522945769824,10
53,5.5,2.6352313834736494,10
54,5.8,2.5298221281347035,10
55,5.7,2.7100635498903793,10
56,5.4,2.716206504995115,10
57,5.3,2.6687491868330793,10
58,5.3,2.5841396591085743,10
59,5.8,2.8205594401741574,10
60,6.2,2.573367875415838,10
61,6.4,2.7568097504180447,10
62,6.3,3.0930028559098792,10
63,6.5,3.064129385141706,10
64,6.5,3.1710495984067415,10
65,6.6,3.5023801430836525,10
66,6.8,3.425395354310701,10
67,6.9,3.2812599206199238,10
68,7.2,3.583914681524163,10
69,7.4,3.9496835316263,10
70,7.6,3.777124126457412,10
71,7.7,3.622460796505909,10
72,7.8,3.7653389990514508,10
73,7.7,3.6832956257496714,10
74,8.0,3.6209268304000717,10
75,8.1,3.9285281382896233,10
76,7.9,4.067486256208427,10
77,8.4,3.8643671323171835,10
78,8.4,3.6270588023294517,10
79,8.7,3.4657049948186747,10
80,9.0,3.711842908553348,10
81,9.2,3.583914681524163,10
82,9.1,3.842742076521226,10
83,9.2,3.9384147967311813,10
84,9.5,3.92286743197994,10
85,9.5,4.06201920231798,10
86,9.4,4.351245032554859,10
87,10.0,4.618802153517006,10
88,9.8,4.516635916254486,10
89,10.1,4.483302354291979,10
90,10.2,4.491968140779472,10
91,10.4,4.788875998951459,10
92,10.6,5.037636129950017,10
93,10.8,4.962078417580906,10
94,10.7,5.165053511608353,10
95,11.1,5.363456596884761,10
96,11.1,5.384133067531753,10
97,11.0,5.120763831912406,10
98,10.9,5.300943312279429,10
99,10.9,5.6656861896861175,10
100,11.2,5.959119994689746,10
101,11.3,6.236986451805071,10
102,11.5,6.150880695748645,10
103,11.6,6.077280093375105,10
104,11.5,6.222718234198156,10
105,11.6,5.758086101783782,10
106,11.6,5.94792213951879,10
107,11.5,5.759050847723665,10
108,11.7,5.812821078348179,10
109,12.1,5.526702854726717,10
110,12.4,5.680375574437545,10
111,12.6,5.660781257427675,10
112,13.0,5.312459150169742,10
113,13.4,5.481281277625191,10
114,13.6,5.103375789067903,10
115,13.7,4.8545511292669135,10
116,13.8,4.802776974487434,10
117,14.0,4.944132324730441,10
118,14.3,4.967673276069772,10
119,14.3,5.578729445153459,10
120,14.4,5.420127099780759,10
121,14.6,5.738757124441958,10
122,14.8,5.865151319446072,10
123,14.9,5.820461990063827,10
124,15.0,6.182412330330469,10
