t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.2,0.42163702135578396,10
4,0.2,0.42163702135578396,10
5,0.3,0.4830458915396479,10
6,0.7,0.6749485577105528,10
7,1.1,0.875595035770913,10
8,1.3,1.3374935098492586,10
9,1.9,1.449137674618944,10
10,2.1,1.66332999331662,10
11,2.4,1.7126976771553508,10
12,2.5,1.4337208778404378,10
13,2.6,1.429840705968481,10
14,2.5,1.7159383568311668,10
15,2.6,1.6465452046971292,10
16,2.7,1.8287822299126937,10
17,2.9,2.0789954839350235,10
18,3.0,2.211083193570267,10
19,3.2,2.3475755815545347,10
20,3.4,2.170509412813294,10
21,3.2,2.2010098692292237,10
22,3.5,2.273030282830976,10
23,3.8,2.573367875415838,10
24,4.0,2.748737083745107,10
25,3.7,2.7100635498903793,10
26,3.7,2.7100635498903793,10
27,3.5,3.100179206289712,10
28,3.3,3.3349995835415367,10
29,3.5,3.5978388574871505,10
30,3.4,3.6270588023294517,10
31,3.2,3.614784456460256,10
32,3.6,3.470510689285432,10
33,3.7,3.3015148038438356,10
34,4.0,3.1622776601683795,10
35,4.0,3.1269438398822866,10
36,3.8,3.0840089349921005,10
37,3.9,3.3482997343593826,10
38,3.7,3.3681514877517675,10
39,3.5,3.1710495984067415,10
40,3.8,3.4896672875473067,10
41,3.6,3.627058802329452,10
42,3.9,3.725288952252936,10
43,3.8,3.5213633723318014,10
44,3.9,3.3149493041204847,10
45,3.6,3.3065591380365986,10
46,3.8,3.3928028399998595,10
47,3.9,3.6040101122068022,10
48,4.1,3.5418137224371984,10
49,4.1,3.3813212407775355,10
50,4.2,3.392802839999859,10
51,4.3,3.622460796505909,10
52,4.5,3.865804501581067,10
53,4.4,3.9496835316263,10
54,4.4,3.9496835316263,10
55,4.4,4.141926551202418,10
56,4.3,4.137900702315393,10
57,4.2,4.049691346263317,10
58,4.5,4.089281382128433,10
59,4.6,3.977715704047013,10
60,4.6,4.1952353926806065,10
61,4.5,3.8944404818493075,10
62,4.4,4.141926551202418,10
63,4.1,4.433458644845529,10
64,4.3,4.595891885393108,10
65,4.6,4.501851470969102,10
66,4.7,4.270050741306634,10
67,5.1,4.254409477236529,10
68,5.1,4.094712037087183,10
69,5.3,3.945461527713414,10
70,5.0,4.08248290463863,10
71,5.0,3.80058475033046,10
72,5.0,4.163331998932265,10
73,5.3,4.595891885393109,10
74,5.2,4.638007234913623,10
75,5.5,4.527692569068709,10
76,5.7,4.738729318662921,10
77,5.7,4.47337804249888,10
78,5.8,4.565571644870381,10
79,5.5,4.403281604540969,10
80,5.9,4.557045826702499,10
81,5.9,4.306326095924976,10
82,6.1,4.483302354291979,10
83,5.9,4.581363212940979,10
84,5.7,4.522781838156199,10
85,5.9,4.629614814791111,10
86,6.2,4.3410188256265885,10
87,6.2,4.391911757866827,10
88,6.2,4.661902329879224,10
89,6.3,4.808557187163549,10
90,6.0,4.371625682868,10
91,6.3,4.571651780264984,10
92,6.3,4.473378042498879,10
93,6.4,4.427188724235731,10
94,6.2,4.315347288715269,10
95,6.2,4.366539438350085,10
96,6.4,4.477102237434884,10
97,6.4,4.550946177566937,10
98,6.3,4.595891885393109,10
99,6.1,4.483302354291978,10
100,6.6,4.575295983139598,10
101,6.6,4.501851470969102,10
102,6.7,4.620004810002306,10
103,6.9,4.508017549014447,10
104,6.5,4.672615256292062,10
105,6.6,4.880801391392834,10
106,6.6,4.623610902506587,10
107,6.9,4.605552204797066,10
108,7.1,4.771442828607157,10
109,7.2,4.638007234913623,10
110,7.4,4.6475800154489,10
111,7.5,5.01663898109747,10
112,7.6,5.146735750831676,10
113,7.7,5.034326612809745,10
114,7.5,5.01663898109747,10
115,7.6,5.125101625008686,10
116,7.5,4.927248499698161,10
117,7.8,4.732863826479693,10
118,8.3,4.831608887776871,10
119,8.6,4.7422451316743315,10
120,8.7,4.738729318662922,10
121,8.7,4.715223571935199,10
122,8.6,4.5995168828427575,10
123,8.7,4.3982319680121975,10
124,8.9,4.458450154232722,10
125,9.1,4.886489310105751,10
126,9.0,4.642796092394707,10
127,9.0,4.69041575982343,10
128,9.2,4.3410188256265885,10
129,8.9,4.357624225296267,10
130,8.8,4.4671641514002545,10
131,8.8,4.7093288033198295,10
132,8.9,5.065131346328104,10
133,9.2,5.223876806442595,10
134,9.2,5.3499740393970345,10
135,9.2,5.553777493242275,10
136,9.0,5.395471352079548,10
137,9.0,5.557777333511022,10
138,8.9,5.6656861896861175,10
139,9.1,6.045200116161949,10
140,9.1,6.045200116161949,10
141,9.1,5.704773829385741,10
142,9.1,5.546770832355224,10
143,9.0,5.5377492419453835,10
144,8.9,5.646040894093647,10
145,8.7,5.63816360962405,10
146,9.0,5.395471352079548,10
147,9.1,5.606543795720617,10
148,9.2,5.633234713140696,10
149,9.0,5.497474167490214,10
150,9.1,5.626327003965869,10
151,9.1,5.626327003965869,10
152,9.0,5.477225575051661,10
153,9.2,5.493430419854044,10
154,9.2,5.672545969648706,10
155,9.4,5.872724145478731,10
156,9.4,5.9292120518291105,10
