t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.2,0.42163702135578396,10
4,0.4,0.5163977794943223,10
5,0.4,0.5163977794943223,10
6,0.7,0.8232726023485646,10
7,1.0,0.816496580927726,10
8,1.5,0.97182531580755,10
9,1.7,1.0593499054713802,10
10,2.0,1.247219128924647,10
11,2.1,1.3703203194062976,10
12,2.1,1.1972189997378646,10
13,2.4,1.1737877907772674,10
14,2.8,1.3165611772087666,10
15,2.9,1.3703203194062978,10
16,3.3,1.636391694484477,10
17,3.3,1.5670212364724212,10
18,3.4,1.6465452046971292,10
19,3.8,1.5491933384829668,10
20,3.9,1.5238839267549948,10
21,4.0,1.632993161855452,10
22,4.2,1.6865480854231356,10
23,4.4,1.6465452046971292,10
24,4.4,1.505545305418162,10
25,4.4,1.776388345929897,10
26,4.3,1.766981104093143,10
27,4.5,1.8408935028645435,10
28,4.6,2.1705094128132942,10
29,4.6,2.1705094128132942,10
30,5.0,2.260776661041756,10
31,4.9,2.2335820757001272,10
32,5.2,2.485513584307633,10
33,5.2,2.485513584307633,10
34,5.3,2.5841396591085743,10
35,5.4,2.6749870196985173,10
36,5.5,2.9533408577782247,10
37,5.6,3.3065591380365986,10
38,5.7,3.198958163736021,10
39,5.8,3.259175083088085,10
40,5.9,3.4464152068167557,10
41,6.1,3.5418137224371984,10
42,6.1,3.5418137224371984,10
43,6.4,3.5962943891363137,10
44,6.5,3.6590830666833583,10
45,6.5,3.6590830666833583,10
46,6.8,3.6147844564602556,10
47,7.0,3.9440531887330774,10
48,7.1,3.573047252229764,10
49,7.3,3.653004851412662,10
50,7.2,3.675746333890726,10
51,7.2,3.675746333890726,10
52,7.2,3.8815804341359037,10
53,7.2,3.8528488738133038,10
54,7.4,4.033195589934446,10
55,7.7,4.001388647846033,10
56,7.6,4.115013163202924,10
57,7.8,4.049691346263317,10
58,7.9,4.201851443775179,10
59,8.2,4.1041983924323695,10
60,8.6,4.087922591134904,10
61,8.8,4.237399621885521,10
62,9.1,4.121757985239902,10
63,9.4,4.247875285886398,10
64,9.7,4.4234225060089685,10
65,9.9,4.38304815295373,10
66,9.8,4.391911757866827,10
67,9.9,4.383048152953731,10
68,10.1,4.280446497997869,10
69,10.1,4.0674862562084275,10
70,10.3,4.029061098237818,10
71,10.4,3.9214509786273974,10
72,10.5,4.06201920231798,10
73,10.8,4.263540521418528,10
74,10.6,4.427188724235731,10
75,10.8,4.391911757866827,10
76,10.8,4.366539438350084,10
77,11.0,4.447221354708778,10
78,10.9,4.508017549014447,10
79,11.0,4.47213595499958,10
80,11.1,4.38304815295373,10
81,11.2,4.077035960378842,10
82,11.3,4.029061098237818,10
83,11.3,4.164666186436128,10
84,11.5,4.196559437338057,10
85,11.6,4.141926551202418,10
86,11.9,3.900142447541001,10
87,12.1,4.0124805295477755,10
88,12.2,3.9665266081716046,10
89,12.4,4.168666186896929,10
90,12.3,4.029061098237818,10
91,12.3,4.029061098237818,10
92,12.3,4.164666186436129,10
93,12.3,4.164666186436129,10
94,12.2,4.184627953726724,10
95,12.5,4.352521619066865,10
96,12.8,4.756282395129858,10
97,13.0,4.69041575982343,10
98,13.2,4.685675570881488,10
99,13.5,4.672615256292062,10
100,13.4,4.550946177566937,10
101,13.6,4.351245032554858,10
102,13.7,4.24394994210713,10
103,13.6,4.351245032554858,10
104,13.7,4.270050741306634,10
105,13.7,4.270050741306634,10
106,13.9,4.653553003411002,10
107,14.1,4.794672969962486,10
108,14.1,4.508017549014447,10
109,14.3,4.547282460742656,10
110,14.1,4.677368680976279,10
111,14.1,4.748099034818507,10
112,14.1,4.771442828607157,10
113,14.1,4.581363212940979,10
114,14.3,4.667856991049414,10
115,14.5,4.648775226993784,10
116,14.6,4.765617600176404,10
117,14.7,4.9899899799498595,10
118,14.9,4.931756504757937,10
119,15.2,4.685675570881488,10
120,15.4,4.718756898449704,10
121,15.4,4.718756898449704,10
122,15.5,4.881939505292269,10
123,15.6,5.232377832092956,10
124,15.9,4.998888765404656,10
125,16.0,5.033222956847166,10
126,16.2,5.159672685570493,10
127,16.3,5.355163655555055,10
128,16.5,5.254627590144816,10
129,16.4,5.295700562196133,10
130,16.5,5.275730597114805,10
131,16.6,5.146735750831676,10
132,16.7,5.375872022286245,10
133,16.7,5.229191567005788,10
134,16.7,5.1001089312985375,10
135,16.8,4.962078417580905,10
136,16.9,4.886489310105751,10
137,17.2,5.00666222813829,10
138,17.3,4.9899899799498595,10
139,17.3,4.9899899799498595,10
140,17.3,4.808557187163549,10
141,17.6,4.7422451316743315,10
142,17.5,4.813176359397884,10
143,17.5,4.904646323187388,10
144,17.6,4.993328882953068,10
145,17.7,4.90011337737313,10
146,18.0,4.737556801183965,10
147,18.3,4.47337804249888,10
148,18.7,4.347413023856832,10
149,19.1,4.332051092342595,10
150,19.4,4.4522154285504,10
151,19.7,4.4484703987875305,10
152,20.1,4.094712037087183,10
153,20.2,4.1041983924323695,10
154,20.3,4.029061098237818,10
155,20.4,4.247875285886397,10
156,20.4,4.115013163202923,10
