Q_diff,Q_router,Q_oracle
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
1,2,1
2,3,1
2,3,1
2,3,1
2,3,1
2,3,1
2,3,1
2,3,1
3,3,0
2,3,1
3,3,0
2,3,1
2,3,1
2,2,0
1,2,1
1,2,1
2,3,1
2,2,0
2,3,1
2,2,0
2,2,0
2,3,1
3,4,1
3,4,1
3,3,0
2,3,1
2,3,1
3,4,1
3,4,1
3,3,0
2,3,1
2,3,1
2,3,1
3,4,1
4,4,0
3,4,1
3,4,1
3,4,1
3,4,1
4,5,1
4,4,0
4,5,1
4,5,1
4,5,1
4,5,1
4,4,0
3,4,1
4,4,0
3,4,1
3,4,1
3,4,1
3,4,1
3,4,1
3,4,1
3,4,1
3,4,1
3,4,1
3,4,1
4,5,1
4,5,1
4,5,1
4,5,1
4,5,1
5,6,1
5,6,1
5,6,1
5,6,1
5,6,1
5,6,1
5,6,1
5,6,1
5,5,0
4,5,1
4,5,1
5,6,1
5,6,1
5,6,1
5,7,2
5,7,2
6,8,2
6,7,1
7,8,1
7,8,1
7,8,1
7,8,1
7,8,1
7,8,1
8,9,1
9,10,1
9,10,1
9,9,0
8,9,1
8,9,1
8,9,1
8,9,1
8,9,1
8,9,1
8,9,1
8,9,1
8,9,1
9,9,0
9,10,1
9,10,1
9,10,1
9,10,1
10,11,1
10,11,1
10,11,1
10,11,1
10,11,1
10,11,1
10,12,2
10,12,2
10,12,2
10,12,2
10,12,2
10,11,1
9,11,2
9,11,2
9,11,2
9,10,1
8,10,2
9,11,2
9,11,2
9,10,1
8,10,2
8,10,2
9,11,2
9,11,2
10,12,2
10,12,2
10,12,2
10,12,2
10,12,2
10,12,2
11,13,2
11,13,2
11,13,2
11,13,2
12,14,2
12,14,2
12,14,2
12,14,2
12,14,2
12,14,2
12,14,2
12,14,2
12,14,2
12,14,2
12,14,2
12,14,2
12,14,2
13,15,2
13,15,2
13,15,2
13,14,1
12,14,2
12,13,1
12,14,2
12,14,2
12,14,2
13,15,2
13,15,2
13,15,2
13,15,2
13,15,2
13,15,2
13,15,2
13,15,2
13,15,2
13,15,2
13,14,1
12,14,2
12,14,2
12,13,1
12,14,2
12,14,2
12,14,2
12,14,2
12,14,2
12,14,2
12,13,1
12,14,2
12,14,2
12,14,2
13,15,2
13,15,2
14,16,2
14,16,2
14,16,2
14,16,2
14,16,2
15,17,2
16,18,2
16,18,2
16,17,1
15,17,2
15,18,3
16,19,3
17,20,3
17,20,3
17,20,3
18,21,3
18,20,2
18,20,2
18,20,2
18,20,2
18,20,2
18,19,1
18,19,1
18,19,1
18,19,1
18,19,1
18,18,0
18,19,1
18,19,1
18,19,1
18,19,1
19,19,0
19,20,1
19,20,1
19,20,1
19,20,1
19,20,1
20,21,1
20,21,1
20,21,1
20,21,1
20,21,1
20,21,1
20,20,0
19,20,1
19,19,0
18,19,1
18,19,1
18,19,1
19,20,1
19,20,1
19,20,1
19,19,0
19,20,1
19,19,0
18,19,1
18,19,1
18,19,1
18,19,1
19,20,1
20,21,1
20,21,1
20,20,0
19,20,1
19,20,1
19,19,0
18,19,1
18,19,1
18,19,1
19,20,1
19,21,2
19,21,2
19,21,2
19,21,2
19,21,2
19,21,2
19,21,2
19,21,2
20,22,2
20,22,2
20,22,2
20,22,2
20,21,1
21,22,1
21,22,1
21,22,1
21,22,1
21,22,1
21,22,1
22,23,1
22,23,1
22,22,0
22,23,1
22,22,0
21,22,1
21,22,1
22,23,1
22,22,0
21,22,1
21,22,1
21,22,1
22,22,0
22,23,1
22,23,1
22,23,1
22,23,1
22,23,1
22,22,0
22,23,1
22,23,1
22,23,1
23,24,1
24,25,1
24,25,1
24,25,1
24,25,1
24,25,1
24,25,1
24,25,1
24,24,0
23,24,1
23,23,0
22,23,1
22,23,1
22,23,1
22,23,1
22,23,1
22,23,1
22,23,1
23,24,1
23,24,1
23,24,1
23,24,1
23,24,1
23,24,1
23,24,1
23,24,1
23,24,1
23,24,1
23,24,1
23,24,1
23,24,1
23,24,1
23,24,1
24,25,1
24,25,1
25,26,1
25,25,0
25,26,1
25,26,1
25,26,1
25,25,0
24,25,1
24,25,1
24,25,1
24,24,0
24,25,1
24,25,1
24,25,1
25,26,1
25,26,1
25,26,1
25,26,1
25,26,1
25,26,1
25,25,0
24,25,1
24,25,1
24,25,1
24,25,1
24,25,1
24,25,1
25,26,1
25,26,1
25,26,1
25,26,1
25,26,1
25,26,1
25,26,1
25,26,1
25,25,0
25,26,1
25,27,2
26,28,2
26,28,2
26,28,2
26,27,1
26,27,1
26,28,2
27,29,2
27,29,2
27,30,3
27,30,3
27,30,3
28,31,3
28,30,2
28,31,3
28,30,2
28,31,3
28,31,3
28,31,3
28,31,3
28,30,2
28,30,2
28,30,2
28,30,2
28,29,1
28,30,2
28,30,2
28,30,2
29,31,2
29,31,2
29,31,2
29,30,1
29,31,2
29,30,1
28,30,2
28,30,2
28,30,2
29,31,2
30,32,2
30,32,2
30,32,2
30,32,2
31,33,2
31,33,2
31,33,2
32,34,2
32,34,2
32,33,1
31,33,2
31,33,2
31,33,2
31,33,2
32,34,2
32,34,2
32,34,2
32,34,2
32,34,2
32,34,2
32,34,2
32,34,2
33,35,2
33,35,2
34,36,2
34,36,2
34,36,2
34,36,2
34,36,2
34,36,2
34,36,2
34,36,2
34,36,2
34,36,2
34,36,2
34,36,2
34,35,1
34,36,2
34,36,2
34,36,2
34,36,2
35,37,2
35,37,2
35,37,2
35,37,2
35,37,2
35,37,2
35,37,2
35,37,2
36,38,2
36,37,1
35,37,2
35,37,2
35,37,2
35,37,2
35,37,2
35,37,2
35,37,2
35,37,2
35,37,2
35,37,2
35,37,2
35,37,2
35,38,3
36,39,3
36,39,3
36,39,3
36,39,3
36,39,3
36,39,3
36,38,2
36,38,2
36,39,3
36,39,3
36,39,3
36,39,3
36,39,3
36,39,3
36,39,3
37,40,3
37,40,3
37,40,3
37,40,3
37,40,3
37,39,2
36,39,3
37,40,3
37,40,3
38,41,3
38,41,3
39,41,2
39,41,2
40,42,2
40,42,2
40,42,2
40,42,2
40,42,2
40,42,2
40,42,2
40,42,2
41,43,2
41,42,1
41,43,2
41,43,2
