t,Q_diff_mean,Q_diff_sd,n_runs
1,0.0,0.0,10
2,0.1,0.31622776601683794,10
3,0.1,0.31622776601683794,10
4,0.1,0.31622776601683794,10
5,0.0,0.0,10
6,0.1,0.31622776601683794,10
7,0.2,0.6324555320336759,10
8,0.4,0.6992058987801011,10
9,0.6,0.6992058987801011,10
10,0.8,1.0327955589886446,10
11,1.0,1.1547005383792515,10
12,1.2,1.3165611772087664,10
13,1.5,1.2692955176439846,10
14,1.5,1.2692955176439846,10
15,1.6,1.429840705968481,10
16,1.6,1.429840705968481,10
17,1.7,1.6363916944844767,10
18,1.7,1.6363916944844767,10
19,1.8,1.6193277068654826,10
20,1.8,1.6193277068654826,10
21,1.9,1.5951314818673865,10
22,2.1,1.8529256146249728,10
23,2.2,1.9888578520235065,10
24,2.1,1.7919573407620817,10
25,1.8,1.6193277068654828,10
26,2.0,1.4907119849998598,10
27,2.0,1.4907119849998598,10
28,2.3,1.7669811040931427,10
29,2.3,1.7669811040931427,10
30,2.1,1.728840330651992,10
31,2.1,1.728840330651992,10
32,2.3,1.766981104093143,10
33,2.4,1.7126976771553508,10
34,2.6,1.9550504398153574,10
35,2.8,1.9321835661585918,10
36,3.0,2.160246899469287,10
37,3.0,2.1081851067789197,10
38,2.9,2.183269719175042,10
39,3.0,2.1081851067789197,10
40,3.1,2.078995483935024,10
41,3.1,2.078995483935024,10
42,3.2,1.9321835661585918,10
43,3.2,1.9321835661585918,10
44,3.2,1.9321835661585918,10
45,3.2,1.9321835661585918,10
46,3.2,1.9321835661585918,10
47,3.2,1.9321835661585918,10
48,3.2,2.043961295567452,10
49,3.3,2.0027758514399734,10
50,3.5,2.0138409955990952,10
51,3.5,2.068278940998476,10
52,3.7,2.406010991015812,10
53,3.9,2.3309511649396115,10
54,4.0,2.309401076758503,10
55,4.0,2.309401076758503,10
56,4.0,2.449489742783178,10
57,4.2,2.3944379994757297,10
58,4.0,2.3570226039551585,10
59,4.0,2.3570226039551585,10
60,4.0,2.3570226039551585,10
61,4.2,2.250925735484551,10
62,4.2,2.250925735484551,10
63,4.2,2.250925735484551,10
64,4.2,2.250925735484551,10
65,4.3,2.1628170930011112,10
66,4.6,2.4585451886114362,10
67,4.5,2.5055493963954847,10
68,4.6,2.7568097504180447,10
69,4.6,2.7568097504180447,10
70,4.6,2.7568097504180447,10
71,4.7,2.7100635498903793,10
72,4.8,2.6583202716502514,10
73,4.8,2.6583202716502514,10
74,4.7,2.7100635498903793,10
75,4.7,2.7100635498903793,10
76,4.6,2.716206504995115,10
77,4.8,2.699794230842212,10
78,4.8,2.699794230842212,10
79,4.9,2.726414006223804,10
80,4.9,2.726414006223804,10
81,4.8,2.7406406388125957,10
82,4.7,2.9078437983419185,10
83,4.8,2.9363620727393656,10
84,4.9,2.8848262031225076,10
85,4.9,2.8848262031225076,10
86,4.9,2.8848262031225076,10
87,4.8,2.9363620727393656,10
88,4.7,2.9832867780352594,10
89,4.7,2.79085809185793,10
90,4.8,2.8596814119369625,10
91,4.8,2.8596814119369625,10
92,5.0,2.748737083745107,10
93,5.0,2.748737083745107,10
94,5.0,2.748737083745107,10
95,5.0,2.748737083745107,10
96,5.2,3.0840089349921005,10
97,5.1,3.142893217686178,10
98,5.1,3.142893217686178,10
99,5.3,3.3681514877517675,10
100,5.2,3.3928028399998595,10
101,5.3,3.3681514877517675,10
102,5.3,3.465704994818675,10
103,5.4,3.533962208186286,10
104,5.4,3.533962208186286,10
105,5.4,3.4058772731852804,10
106,5.4,3.4058772731852804,10
107,5.6,3.5023801430836525,10
108,5.7,3.4657049948186747,10
109,5.6,3.533962208186286,10
110,5.6,3.533962208186286,10
111,5.6,3.533962208186286,10
112,5.6,3.533962208186286,10
113,5.7,3.831158803518562,10
114,5.7,3.831158803518562,10
115,5.8,3.823901439919996,10
116,5.8,3.823901439919996,10
117,5.8,3.823901439919996,10
118,5.8,3.794733192202055,10
119,5.9,3.8427420765212266,10
120,5.8,3.9384147967311813,10
121,6.0,3.858612300930075,10
122,6.1,3.9001424475410014,10
123,6.0,3.9157800414902435,10
124,6.1,3.984692933938295,10
125,6.0,4.109609335312651,10
126,6.1,4.04007700696685,10
127,6.1,4.04007700696685,10
128,6.2,4.104198392432369,10
129,6.2,4.104198392432369,10
130,6.3,4.001388647846033,10
131,6.3,4.001388647846033,10
132,6.5,4.006938426723769,10
133,6.5,4.006938426723769,10
134,6.5,4.006938426723769,10
135,6.5,4.006938426723769,10
136,6.6,4.087922591134905,10
137,6.7,4.001388647846033,10
138,6.9,3.956710193526379,10
139,6.9,3.956710193526379,10
140,6.9,3.956710193526379,10
141,6.9,3.956710193526379,10
142,6.9,3.9285281382896233,10
143,6.8,3.8528488738133038,10
144,6.9,3.8137179293236207,10
145,6.8,3.9665266081716046,10
146,6.9,4.04007700696685,10
147,6.9,4.04007700696685,10
148,6.9,4.04007700696685,10
149,6.9,4.04007700696685,10
150,6.9,4.04007700696685,10
151,6.9,4.04007700696685,10
152,6.9,4.04007700696685,10
153,7.0,4.242640687119285,10
154,7.1,4.38304815295373,10
